['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,HAR,2,ULTRASOFT,1.0,103976000000,1.0,True,1,True
Toro Rosso,HAR,3,ULTRASOFT,1.0,102609000000,2.0,True,1,True
Toro Rosso,HAR,4,ULTRASOFT,1.0,103317000000,3.0,True,1,True
Toro Rosso,HAR,5,ULTRASOFT,1.0,102216000000,4.0,True,1,True
Toro Rosso,HAR,6,ULTRASOFT,1.0,102276000000,5.0,True,1,True
Toro Rosso,HAR,7,ULTRASOFT,1.0,102186000000,6.0,True,1,True
Toro Rosso,HAR,8,ULTRASOFT,1.0,101762000000,7.0,True,1,True
Toro Rosso,HAR,9,ULTRASOFT,1.0,101626000000,8.0,True,1,True
Toro Rosso,HAR,10,ULTRASOFT,1.0,106763000000,9.0,True,1,False
Toro Rosso,HAR,11,ULTRASOFT,1.0,118627000000,10.0,True,1,False
Toro Rosso,HAR,12,ULTRASOFT,1.0,99895000000,11.0,True,1,True
Toro Rosso,HAR,13,ULTRASOFT,1.0,100590000000,12.0,True,1,True
Toro Rosso,HAR,14,ULTRASOFT,1.0,100554000000,13.0,True,1,True
Toro Rosso,HAR,15,ULTRASOFT,1.0,100537000000,14.0,True,1,True
Toro Rosso,HAR,16,ULTRASOFT,1.0,100693000000,15.0,True,1,True
Toro Rosso,HAR,17,ULTRASOFT,1.0,100681000000,16.0,True,1,True
Toro Rosso,HAR,18,ULTRASOFT,1.0,100829000000,17.0,True,1,True
Toro Rosso,HAR,19,ULTRASOFT,1.0,100856000000,18.0,True,1,True
Toro Rosso,HAR,20,ULTRASOFT,1.0,100225000000,19.0,True,1,True
Toro Rosso,HAR,21,ULTRASOFT,1.0,100444000000,20.0,True,1,True
Toro Rosso,HAR,22,ULTRASOFT,1.0,100176000000,21.0,True,1,True
Toro Rosso,HAR,23,ULTRASOFT,1.0,100394000000,22.0,True,1,True
Toro Rosso,HAR,24,ULTRASOFT,1.0,99887000000,23.0,True,1,True
Toro Rosso,HAR,25,ULTRASOFT,1.0,100059000000,24.0,True,1,True
Toro Rosso,HAR,26,ULTRASOFT,1.0,100120000000,25.0,True,1,True
Toro Rosso,HAR,27,ULTRASOFT,1.0,100036000000,26.0,True,1,True
Toro Rosso,HAR,28,ULTRASOFT,1.0,100712000000,27.0,True,1,True
Toro Rosso,HAR,29,ULTRASOFT,1.0,114719000000,28.0,True,2,True
Toro Rosso,HAR,30,ULTRASOFT,1.0,115826000000,29.0,True,4,False
Toro Rosso,HAR,31,ULTRASOFT,1.0,None,30.0,True,4,False
Toro Rosso,HAR,32,ULTRASOFT,1.0,None,31.0,True,4,False
Toro Rosso,HAR,33,ULTRASOFT,1.0,107696000000,32.0,True,4,False
Toro Rosso,HAR,34,ULTRASOFT,1.0,100613000000,33.0,True,4,False
Toro Rosso,HAR,35,ULTRASOFT,1.0,100530000000,34.0,True,4,False
Toro Rosso,HAR,36,ULTRASOFT,1.0,100136000000,35.0,True,1,False
Toro Rosso,HAR,37,ULTRASOFT,1.0,100408000000,36.0,True,1,True
Toro Rosso,HAR,38,ULTRASOFT,1.0,100270000000,37.0,True,1,True
Toro Rosso,HAR,39,ULTRASOFT,1.0,100165000000,38.0,True,1,True
Toro Rosso,HAR,40,ULTRASOFT,1.0,100170000000,39.0,True,1,True
Toro Rosso,HAR,41,ULTRASOFT,1.0,99881000000,40.0,True,1,True
Toro Rosso,HAR,42,ULTRASOFT,1.0,99958000000,41.0,True,1,True
Toro Rosso,HAR,43,ULTRASOFT,1.0,99806000000,42.0,True,2,True
Toro Rosso,HAR,44,ULTRASOFT,1.0,100045000000,43.0,True,1,True
Toro Rosso,HAR,45,ULTRASOFT,1.0,100170000000,44.0,True,1,True
Toro Rosso,HAR,46,ULTRASOFT,1.0,99854000000,45.0,True,1,True
Toro Rosso,HAR,47,SOFT,3.0,99971000000,1.0,True,1,True
Toro Rosso,HAR,48,SOFT,3.0,99888000000,2.0,True,1,True
Toro Rosso,HAR,49,SOFT,3.0,100786000000,3.0,True,1,True
Toro Rosso,HAR,50,SOFT,3.0,99376000000,4.0,True,1,True
Toro Rosso,HAR,51,SOFT,3.0,105667000000,5.0,True,1,False
