['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,LEC,2,SOFT,1.0,103172000000,1.0,True,1,True
Sauber,LEC,3,SOFT,1.0,102543000000,2.0,True,1,True
Sauber,LEC,4,SOFT,1.0,102212000000,3.0,True,1,True
Sauber,LEC,5,SOFT,1.0,102101000000,4.0,True,1,True
Sauber,LEC,6,SOFT,1.0,102016000000,5.0,True,1,True
Sauber,LEC,7,SOFT,1.0,101687000000,6.0,True,1,True
Sauber,LEC,8,SOFT,1.0,101776000000,7.0,True,1,True
Sauber,LEC,9,SOFT,1.0,101613000000,8.0,True,1,True
Sauber,LEC,10,SOFT,1.0,101550000000,9.0,True,1,True
Sauber,LEC,11,SOFT,1.0,101858000000,10.0,True,1,True
Sauber,LEC,12,SOFT,1.0,101283000000,11.0,True,1,True
Sauber,LEC,13,SOFT,1.0,101317000000,12.0,True,1,True
Sauber,LEC,14,SOFT,1.0,102003000000,13.0,True,1,True
Sauber,LEC,15,SOFT,1.0,101583000000,14.0,True,1,True
Sauber,LEC,16,SOFT,1.0,102030000000,15.0,True,1,True
Sauber,LEC,17,SOFT,1.0,101498000000,16.0,True,1,True
Sauber,LEC,18,SOFT,1.0,101280000000,17.0,True,1,True
Sauber,LEC,19,SOFT,1.0,101410000000,18.0,True,1,True
Sauber,LEC,20,SOFT,1.0,102431000000,19.0,True,1,True
Sauber,LEC,21,SOFT,1.0,107280000000,20.0,True,1,False
Sauber,LEC,22,SOFT,1.0,118719000000,21.0,True,1,False
Sauber,LEC,23,SOFT,1.0,98808000000,22.0,True,1,True
Sauber,LEC,24,SOFT,1.0,99325000000,23.0,True,1,True
Sauber,LEC,25,SOFT,1.0,99681000000,24.0,True,1,True
Sauber,LEC,26,SOFT,1.0,99751000000,25.0,True,1,True
Sauber,LEC,27,SOFT,1.0,99813000000,26.0,True,1,True
Sauber,LEC,28,SOFT,1.0,108884000000,27.0,True,1,True
Sauber,LEC,29,SOFT,1.0,100903000000,28.0,True,2,True
Sauber,LEC,30,SOFT,1.0,107180000000,29.0,True,4,False
Sauber,LEC,31,SOFT,1.0,None,30.0,True,4,False
Sauber,LEC,32,SOFT,1.0,None,31.0,True,4,False
Sauber,LEC,33,SOFT,1.0,110825000000,32.0,True,4,False
Sauber,LEC,34,SOFT,1.0,100772000000,33.0,True,4,False
Sauber,LEC,35,SOFT,1.0,100429000000,34.0,True,4,False
Sauber,LEC,36,SOFT,1.0,100384000000,35.0,True,1,False
Sauber,LEC,37,SOFT,1.0,100416000000,36.0,True,1,True
Sauber,LEC,38,SOFT,1.0,100655000000,37.0,True,1,True
Sauber,LEC,39,SOFT,1.0,100009000000,38.0,True,1,True
Sauber,LEC,40,SOFT,1.0,100887000000,39.0,True,1,True
Sauber,LEC,41,SOFT,1.0,100046000000,40.0,True,1,True
Sauber,LEC,42,SOFT,1.0,99843000000,41.0,True,1,True
Sauber,LEC,43,SOFT,1.0,99866000000,42.0,True,2,True
Sauber,LEC,44,SOFT,1.0,100111000000,43.0,True,1,True
Sauber,LEC,45,SOFT,1.0,99749000000,44.0,True,1,True
Sauber,LEC,46,SOFT,1.0,99926000000,45.0,True,1,True
Sauber,LEC,47,MEDIUM,2.0,100026000000,1.0,True,1,True
Sauber,LEC,48,MEDIUM,2.0,99628000000,2.0,True,1,True
Sauber,LEC,49,MEDIUM,2.0,100799000000,3.0,True,1,True
Sauber,LEC,50,MEDIUM,2.0,99982000000,4.0,True,1,True
Sauber,LEC,51,MEDIUM,2.0,99852000000,5.0,True,1,True
Sauber,LEC,52,MEDIUM,2.0,100028000000,6.0,True,1,True
Sauber,LEC,53,MEDIUM,2.0,99859000000,7.0,True,1,True
Sauber,LEC,54,MEDIUM,2.0,99885000000,8.0,True,1,True
Sauber,LEC,55,MEDIUM,2.0,99924000000,9.0,True,1,True
Sauber,LEC,56,MEDIUM,2.0,100250000000,10.0,True,1,True
