['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Force India,OCO,2,SOFT,1.0,102285000000,1.0,True,1,True
Force India,OCO,3,SOFT,1.0,101553000000,2.0,True,1,True
Force India,OCO,4,SOFT,1.0,101328000000,3.0,True,1,True
Force India,OCO,5,SOFT,1.0,101533000000,4.0,True,1,True
Force India,OCO,6,SOFT,1.0,100567000000,5.0,True,1,True
Force India,OCO,7,SOFT,1.0,100486000000,6.0,True,1,True
Force India,OCO,8,SOFT,1.0,100841000000,7.0,True,1,True
Force India,OCO,9,SOFT,1.0,100925000000,8.0,True,1,True
Force India,OCO,10,SOFT,1.0,100538000000,9.0,True,1,True
Force India,OCO,11,SOFT,1.0,104877000000,10.0,True,1,False
Force India,OCO,12,SOFT,1.0,117232000000,11.0,True,1,False
Force India,OCO,13,SOFT,1.0,99711000000,12.0,True,1,True
Force India,OCO,14,SOFT,1.0,100075000000,13.0,True,1,True
Force India,OCO,15,SOFT,1.0,100248000000,14.0,True,1,True
Force India,OCO,16,SOFT,1.0,100725000000,15.0,True,1,True
Force India,OCO,17,SOFT,1.0,100666000000,16.0,True,1,True
Force India,OCO,18,SOFT,1.0,100330000000,17.0,True,1,True
Force India,OCO,19,SOFT,1.0,101031000000,18.0,True,1,True
Force India,OCO,20,SOFT,1.0,99662000000,19.0,True,1,True
Force India,OCO,21,SOFT,1.0,99645000000,20.0,True,1,True
Force India,OCO,22,SOFT,1.0,99638000000,21.0,True,1,True
Force India,OCO,23,SOFT,1.0,99791000000,22.0,True,1,True
Force India,OCO,24,SOFT,1.0,100639000000,23.0,True,1,True
Force India,OCO,25,SOFT,1.0,100410000000,24.0,True,1,True
Force India,OCO,26,SOFT,1.0,99375000000,25.0,True,1,True
Force India,OCO,27,SOFT,1.0,99334000000,26.0,True,1,True
Force India,OCO,28,SOFT,1.0,99524000000,27.0,True,1,True
Force India,OCO,29,SOFT,1.0,99594000000,28.0,True,1,True
Force India,OCO,30,SOFT,1.0,99707000000,29.0,True,2,True
Force India,OCO,31,SOFT,1.0,128026000000,30.0,True,4,False
Force India,OCO,32,SOFT,1.0,149617000000,31.0,True,4,False
Force India,OCO,33,SOFT,1.0,110953000000,32.0,True,4,False
Force India,OCO,34,SOFT,1.0,134172000000,33.0,True,4,False
Force India,OCO,35,SOFT,1.0,140680000000,34.0,True,4,False
Force India,OCO,36,SOFT,1.0,101266000000,35.0,True,1,False
Force India,OCO,37,SOFT,1.0,100271000000,36.0,True,1,True
Force India,OCO,38,SOFT,1.0,99379000000,37.0,True,1,True
Force India,OCO,39,SOFT,1.0,99427000000,38.0,True,1,True
Force India,OCO,40,SOFT,1.0,98748000000,39.0,True,1,True
Force India,OCO,41,SOFT,1.0,98783000000,40.0,True,1,True
Force India,OCO,42,SOFT,1.0,98740000000,41.0,True,1,True
Force India,OCO,43,SOFT,1.0,98658000000,42.0,True,2,True
Force India,OCO,44,SOFT,1.0,98598000000,43.0,True,1,True
Force India,OCO,45,SOFT,1.0,98821000000,44.0,True,1,True
Force India,OCO,46,SOFT,1.0,98035000000,45.0,True,1,True
Force India,OCO,47,SOFT,2.0,97985000000,1.0,True,1,True
Force India,OCO,48,ULTRASOFT,3.0,98015000000,1.0,True,1,True
Force India,OCO,49,ULTRASOFT,3.0,98240000000,2.0,True,1,True
Force India,OCO,50,ULTRASOFT,3.0,98078000000,3.0,True,1,True
Force India,OCO,51,ULTRASOFT,3.0,98259000000,4.0,True,1,True
Force India,OCO,52,ULTRASOFT,3.0,99440000000,5.0,True,1,True
Force India,OCO,53,ULTRASOFT,3.0,98934000000,6.0,True,1,True
Force India,OCO,54,ULTRASOFT,3.0,98170000000,7.0,True,1,True
Force India,OCO,55,ULTRASOFT,3.0,98382000000,8.0,True,1,True
Force India,OCO,56,ULTRASOFT,3.0,98763000000,9.0,True,1,True
