['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Force India,PER,2,ULTRASOFT,1.0,102503000000,4.0,False,1,True
Force India,PER,3,ULTRASOFT,1.0,101960000000,5.0,False,1,True
Force India,PER,4,ULTRASOFT,1.0,101303000000,6.0,False,1,True
Force India,PER,5,ULTRASOFT,1.0,101351000000,7.0,False,1,True
Force India,PER,6,ULTRASOFT,1.0,101639000000,8.0,False,1,True
Force India,PER,7,ULTRASOFT,1.0,101471000000,9.0,False,1,True
Force India,PER,8,ULTRASOFT,1.0,101436000000,10.0,False,1,True
Force India,PER,9,ULTRASOFT,1.0,101685000000,11.0,False,1,True
Force India,PER,10,ULTRASOFT,1.0,100919000000,12.0,False,1,True
Force India,PER,11,ULTRASOFT,1.0,101734000000,13.0,False,1,True
Force India,PER,12,ULTRASOFT,1.0,105555000000,14.0,False,1,False
Force India,PER,13,ULTRASOFT,1.0,116712000000,15.0,False,1,False
Force India,PER,14,ULTRASOFT,1.0,99004000000,16.0,False,1,True
Force India,PER,15,ULTRASOFT,1.0,99260000000,17.0,False,1,True
Force India,PER,16,ULTRASOFT,1.0,100226000000,18.0,False,1,True
Force India,PER,17,ULTRASOFT,1.0,100013000000,19.0,False,1,True
Force India,PER,18,ULTRASOFT,1.0,99889000000,20.0,False,1,True
Force India,PER,19,ULTRASOFT,1.0,100298000000,21.0,False,1,True
Force India,PER,20,ULTRASOFT,1.0,100395000000,22.0,False,1,True
Force India,PER,21,ULTRASOFT,1.0,100206000000,23.0,False,1,True
Force India,PER,22,ULTRASOFT,1.0,99337000000,24.0,False,1,True
Force India,PER,23,ULTRASOFT,1.0,99365000000,25.0,False,1,True
Force India,PER,24,ULTRASOFT,1.0,99517000000,26.0,False,1,True
Force India,PER,25,ULTRASOFT,1.0,100655000000,27.0,False,1,True
Force India,PER,26,ULTRASOFT,1.0,99600000000,28.0,False,1,True
Force India,PER,27,ULTRASOFT,1.0,99497000000,29.0,False,1,True
Force India,PER,28,ULTRASOFT,1.0,100038000000,30.0,False,1,True
Force India,PER,29,ULTRASOFT,1.0,99582000000,31.0,False,1,True
Force India,PER,30,ULTRASOFT,1.0,99937000000,32.0,False,2,True
Force India,PER,31,ULTRASOFT,1.0,125423000000,33.0,False,4,False
Force India,PER,32,ULTRASOFT,1.0,139679000000,34.0,False,4,False
Force India,PER,33,ULTRASOFT,1.0,123743000000,35.0,False,4,False
Force India,PER,34,ULTRASOFT,1.0,132578000000,36.0,False,4,False
Force India,PER,35,ULTRASOFT,1.0,139734000000,37.0,False,4,False
Force India,PER,36,ULTRASOFT,1.0,101210000000,38.0,False,1,False
Force India,PER,37,ULTRASOFT,1.0,100062000000,39.0,False,1,True
Force India,PER,38,ULTRASOFT,1.0,99287000000,40.0,False,1,True
Force India,PER,39,ULTRASOFT,1.0,99297000000,41.0,False,1,True
Force India,PER,40,ULTRASOFT,1.0,98950000000,42.0,False,1,True
Force India,PER,41,ULTRASOFT,1.0,98582000000,43.0,False,1,True
Force India,PER,42,ULTRASOFT,1.0,98835000000,44.0,False,1,True
Force India,PER,43,ULTRASOFT,1.0,98718000000,45.0,False,2,True
Force India,PER,44,ULTRASOFT,1.0,98665000000,46.0,False,1,True
Force India,PER,45,ULTRASOFT,1.0,99014000000,47.0,False,1,True
Force India,PER,46,ULTRASOFT,1.0,97882000000,48.0,False,1,True
Force India,PER,47,SOFT,2.0,97889000000,1.0,True,1,True
Force India,PER,48,SOFT,3.0,98335000000,1.0,True,1,True
Force India,PER,49,SOFT,3.0,98042000000,2.0,True,1,True
Force India,PER,50,SOFT,3.0,97939000000,3.0,True,1,True
Force India,PER,51,SOFT,3.0,98360000000,4.0,True,1,True
Force India,PER,52,SOFT,3.0,98123000000,5.0,True,1,True
Force India,PER,53,SOFT,3.0,98230000000,6.0,True,1,True
Force India,PER,54,SOFT,3.0,97673000000,7.0,True,1,True
Force India,PER,55,SOFT,3.0,98094000000,8.0,True,1,True
Force India,PER,56,SOFT,3.0,101593000000,9.0,True,1,True
