['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,RAI,2,SOFT,1.0,99580000000,4.0,False,1,True
Ferrari,RAI,3,SOFT,1.0,99219000000,5.0,False,1,True
Ferrari,RAI,4,SOFT,1.0,99566000000,6.0,False,1,True
Ferrari,RAI,5,SOFT,1.0,99717000000,7.0,False,1,True
Ferrari,RAI,6,SOFT,1.0,99272000000,8.0,False,1,True
Ferrari,RAI,7,SOFT,1.0,99281000000,9.0,False,1,True
Ferrari,RAI,8,SOFT,1.0,99598000000,10.0,False,1,True
Ferrari,RAI,9,SOFT,1.0,99297000000,11.0,False,1,True
Ferrari,RAI,10,SOFT,1.0,99201000000,12.0,False,1,True
Ferrari,RAI,11,SOFT,1.0,99511000000,13.0,False,1,True
Ferrari,RAI,12,SOFT,1.0,99131000000,14.0,False,1,True
Ferrari,RAI,13,SOFT,1.0,99263000000,15.0,False,1,True
Ferrari,RAI,14,SOFT,1.0,99623000000,16.0,False,1,True
Ferrari,RAI,15,SOFT,1.0,99620000000,17.0,False,1,True
Ferrari,RAI,16,SOFT,1.0,99386000000,18.0,False,1,True
Ferrari,RAI,17,SOFT,1.0,99431000000,19.0,False,1,True
Ferrari,RAI,18,SOFT,1.0,99012000000,20.0,False,1,True
Ferrari,RAI,19,SOFT,1.0,99162000000,21.0,False,1,True
Ferrari,RAI,20,SOFT,1.0,99238000000,22.0,False,1,True
Ferrari,RAI,21,SOFT,1.0,99162000000,23.0,False,1,True
Ferrari,RAI,22,SOFT,1.0,99378000000,24.0,False,1,True
Ferrari,RAI,23,SOFT,1.0,99316000000,25.0,False,1,True
Ferrari,RAI,24,SOFT,1.0,99667000000,26.0,False,1,True
Ferrari,RAI,25,SOFT,1.0,99257000000,27.0,False,1,True
Ferrari,RAI,26,SOFT,1.0,99335000000,28.0,False,1,True
Ferrari,RAI,27,SOFT,1.0,106198000000,29.0,False,1,False
Ferrari,RAI,28,SOFT,1.0,116265000000,30.0,False,1,False
Ferrari,RAI,29,SOFT,1.0,96910000000,31.0,False,1,True
Ferrari,RAI,30,SOFT,1.0,97648000000,32.0,False,2,True
Ferrari,RAI,31,SOFT,1.0,109405000000,33.0,False,4,False
Ferrari,RAI,32,SOFT,1.0,139243000000,34.0,False,4,False
Ferrari,RAI,33,SOFT,1.0,None,35.0,False,4,False
Ferrari,RAI,34,SOFT,1.0,145212000000,36.0,False,4,False
Ferrari,RAI,35,SOFT,1.0,145140000000,37.0,False,4,False
Ferrari,RAI,36,SOFT,1.0,99019000000,38.0,False,1,False
Ferrari,RAI,37,SOFT,1.0,98991000000,39.0,False,1,True
Ferrari,RAI,38,SOFT,1.0,97942000000,40.0,False,1,True
Ferrari,RAI,39,SOFT,1.0,97778000000,41.0,False,1,True
Ferrari,RAI,40,SOFT,1.0,98102000000,42.0,False,1,True
Ferrari,RAI,41,SOFT,1.0,97369000000,43.0,False,1,True
Ferrari,RAI,42,SOFT,1.0,97398000000,44.0,False,1,True
Ferrari,RAI,43,SOFT,1.0,97720000000,45.0,False,2,True
Ferrari,RAI,44,SOFT,1.0,97031000000,46.0,False,1,True
Ferrari,RAI,45,SOFT,1.0,96866000000,47.0,False,1,True
Ferrari,RAI,46,SOFT,1.0,96883000000,48.0,False,1,True
Ferrari,RAI,47,SOFT,1.0,96673000000,49.0,False,1,True
Ferrari,RAI,48,MEDIUM,2.0,96456000000,1.0,True,1,True
Ferrari,RAI,49,MEDIUM,2.0,96675000000,2.0,True,1,True
Ferrari,RAI,50,MEDIUM,2.0,96670000000,3.0,True,1,True
Ferrari,RAI,51,MEDIUM,2.0,97354000000,4.0,True,1,True
Ferrari,RAI,52,MEDIUM,2.0,97130000000,5.0,True,1,True
Ferrari,RAI,53,MEDIUM,2.0,97351000000,6.0,True,1,True
Ferrari,RAI,54,MEDIUM,2.0,97260000000,7.0,True,1,True
Ferrari,RAI,55,MEDIUM,2.0,97269000000,8.0,True,1,True
Ferrari,RAI,56,MEDIUM,2.0,97144000000,9.0,True,1,True
