['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,RIC,2,ULTRASOFT,1.0,100480000000,4.0,False,1,True
Red Bull Racing,RIC,3,ULTRASOFT,1.0,100059000000,5.0,False,1,True
Red Bull Racing,RIC,4,ULTRASOFT,1.0,100085000000,6.0,False,1,True
Red Bull Racing,RIC,5,ULTRASOFT,1.0,99715000000,7.0,False,1,True
Red Bull Racing,RIC,6,ULTRASOFT,1.0,99225000000,8.0,False,1,True
Red Bull Racing,RIC,7,ULTRASOFT,1.0,99222000000,9.0,False,1,True
Red Bull Racing,RIC,8,ULTRASOFT,1.0,99211000000,10.0,False,1,True
Red Bull Racing,RIC,9,ULTRASOFT,1.0,99255000000,11.0,False,1,True
Red Bull Racing,RIC,10,ULTRASOFT,1.0,99166000000,12.0,False,1,True
Red Bull Racing,RIC,11,ULTRASOFT,1.0,99364000000,13.0,False,1,True
Red Bull Racing,RIC,12,ULTRASOFT,1.0,99275000000,14.0,False,1,True
Red Bull Racing,RIC,13,ULTRASOFT,1.0,99557000000,15.0,False,1,True
Red Bull Racing,RIC,14,ULTRASOFT,1.0,99455000000,16.0,False,1,True
Red Bull Racing,RIC,15,ULTRASOFT,1.0,99744000000,17.0,False,1,True
Red Bull Racing,RIC,16,ULTRASOFT,1.0,99371000000,18.0,False,1,True
Red Bull Racing,RIC,17,ULTRASOFT,1.0,104248000000,19.0,False,1,False
Red Bull Racing,RIC,18,ULTRASOFT,1.0,116635000000,20.0,False,1,False
Red Bull Racing,RIC,19,ULTRASOFT,1.0,98295000000,21.0,False,1,True
Red Bull Racing,RIC,20,ULTRASOFT,1.0,98159000000,22.0,False,1,True
Red Bull Racing,RIC,21,ULTRASOFT,1.0,98045000000,23.0,False,1,True
Red Bull Racing,RIC,22,ULTRASOFT,1.0,97838000000,24.0,False,1,True
Red Bull Racing,RIC,23,ULTRASOFT,1.0,97948000000,25.0,False,1,True
Red Bull Racing,RIC,24,ULTRASOFT,1.0,97823000000,26.0,False,1,True
Red Bull Racing,RIC,25,ULTRASOFT,1.0,97557000000,27.0,False,1,True
Red Bull Racing,RIC,26,ULTRASOFT,1.0,97649000000,28.0,False,1,True
Red Bull Racing,RIC,27,ULTRASOFT,1.0,97689000000,29.0,False,1,True
Red Bull Racing,RIC,28,ULTRASOFT,1.0,97540000000,30.0,False,1,True
Red Bull Racing,RIC,29,ULTRASOFT,1.0,97934000000,31.0,False,1,True
Red Bull Racing,RIC,30,ULTRASOFT,1.0,98173000000,32.0,False,2,True
Red Bull Racing,RIC,31,ULTRASOFT,1.0,108178000000,33.0,False,4,False
Red Bull Racing,RIC,32,ULTRASOFT,1.0,None,34.0,False,4,False
Red Bull Racing,RIC,33,ULTRASOFT,1.0,None,35.0,False,4,False
Red Bull Racing,RIC,34,ULTRASOFT,1.0,145281000000,36.0,False,4,False
Red Bull Racing,RIC,35,ULTRASOFT,1.0,145287000000,37.0,False,4,False
Red Bull Racing,RIC,36,ULTRASOFT,1.0,98699000000,38.0,False,1,False
Red Bull Racing,RIC,37,ULTRASOFT,1.0,97696000000,39.0,False,1,True
Red Bull Racing,RIC,38,ULTRASOFT,1.0,97018000000,40.0,False,1,True
Red Bull Racing,RIC,39,ULTRASOFT,1.0,97326000000,41.0,False,1,True
Red Bull Racing,RIC,40,ULTRASOFT,1.0,96967000000,42.0,False,1,True
Red Bull Racing,RIC,41,ULTRASOFT,1.0,96608000000,43.0,False,1,True
Red Bull Racing,RIC,42,ULTRASOFT,1.0,97199000000,44.0,False,1,True
Red Bull Racing,RIC,43,ULTRASOFT,1.0,96970000000,45.0,False,2,True
Red Bull Racing,RIC,44,ULTRASOFT,1.0,96901000000,46.0,False,1,True
Red Bull Racing,RIC,45,ULTRASOFT,1.0,96750000000,47.0,False,1,True
Red Bull Racing,RIC,46,ULTRASOFT,1.0,96221000000,48.0,False,1,True
Red Bull Racing,RIC,47,ULTRASOFT,1.0,95983000000,49.0,False,1,True
Red Bull Racing,RIC,48,SOFT,3.0,97238000000,1.0,True,1,True
Red Bull Racing,RIC,49,SOFT,3.0,97019000000,2.0,True,1,True
Red Bull Racing,RIC,50,SOFT,3.0,96833000000,3.0,True,1,True
Red Bull Racing,RIC,51,SOFT,3.0,96728000000,4.0,True,1,True
Red Bull Racing,RIC,52,SOFT,3.0,96772000000,5.0,True,1,True
Red Bull Racing,RIC,53,SOFT,3.0,96587000000,6.0,True,1,True
Red Bull Racing,RIC,54,SOFT,3.0,96430000000,7.0,True,1,True
Red Bull Racing,RIC,55,SOFT,3.0,95785000000,8.0,True,1,True
Red Bull Racing,RIC,56,SOFT,3.0,96741000000,9.0,True,1,True
