['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,SIR,2,SOFT,1.0,102776000000,1.0,True,1,True
Williams,SIR,3,SOFT,1.0,102127000000,2.0,True,1,True
Williams,SIR,4,SOFT,1.0,102946000000,3.0,True,1,True
Williams,SIR,5,SOFT,1.0,102487000000,4.0,True,1,True
Williams,SIR,6,SOFT,1.0,101443000000,5.0,True,1,True
Williams,SIR,7,SOFT,1.0,101254000000,6.0,True,1,True
Williams,SIR,8,SOFT,1.0,101413000000,7.0,True,1,True
Williams,SIR,9,SOFT,1.0,101377000000,8.0,True,1,True
Williams,SIR,10,SOFT,1.0,100955000000,9.0,True,1,True
Williams,SIR,11,SOFT,1.0,101381000000,10.0,True,1,True
Williams,SIR,12,SOFT,1.0,101229000000,11.0,True,1,True
Williams,SIR,13,SOFT,1.0,100946000000,12.0,True,1,True
Williams,SIR,14,SOFT,1.0,101139000000,13.0,True,1,True
Williams,SIR,15,SOFT,1.0,101328000000,14.0,True,1,True
Williams,SIR,16,SOFT,1.0,101300000000,15.0,True,1,True
Williams,SIR,17,SOFT,1.0,102265000000,16.0,True,1,True
Williams,SIR,18,SOFT,1.0,100881000000,17.0,True,1,True
Williams,SIR,19,SOFT,1.0,100845000000,18.0,True,1,True
Williams,SIR,20,SOFT,1.0,101392000000,19.0,True,1,True
Williams,SIR,21,SOFT,1.0,101009000000,20.0,True,1,True
Williams,SIR,22,SOFT,1.0,100657000000,21.0,True,1,True
Williams,SIR,23,SOFT,1.0,100736000000,22.0,True,1,True
Williams,SIR,24,SOFT,1.0,100961000000,23.0,True,1,True
Williams,SIR,25,SOFT,1.0,102635000000,24.0,True,1,True
Williams,SIR,26,SOFT,1.0,101733000000,25.0,True,1,True
Williams,SIR,27,SOFT,1.0,100930000000,26.0,True,1,True
Williams,SIR,28,SOFT,1.0,105487000000,27.0,True,1,False
Williams,SIR,29,SOFT,1.0,120603000000,28.0,True,2,False
Williams,SIR,30,SOFT,1.0,99257000000,29.0,True,1,True
Williams,SIR,31,SOFT,1.0,135653000000,30.0,True,4,False
Williams,SIR,32,SOFT,1.0,134718000000,31.0,True,4,False
Williams,SIR,33,SOFT,1.0,108838000000,32.0,True,4,False
Williams,SIR,34,SOFT,1.0,121832000000,33.0,True,4,False
Williams,SIR,35,SOFT,1.0,132363000000,34.0,True,4,False
Williams,SIR,36,SOFT,1.0,102418000000,35.0,True,1,False
Williams,SIR,37,SOFT,1.0,101396000000,36.0,True,1,True
Williams,SIR,38,SOFT,1.0,100482000000,37.0,True,1,True
Williams,SIR,39,SOFT,1.0,99737000000,38.0,True,1,True
Williams,SIR,40,SOFT,1.0,99628000000,39.0,True,1,True
Williams,SIR,41,SOFT,1.0,99293000000,40.0,True,1,True
Williams,SIR,42,SOFT,1.0,99005000000,41.0,True,1,True
Williams,SIR,43,SOFT,1.0,99325000000,42.0,True,2,True
Williams,SIR,44,SOFT,1.0,99209000000,43.0,True,1,True
Williams,SIR,45,SOFT,1.0,99117000000,44.0,True,1,True
Williams,SIR,46,SOFT,1.0,99040000000,45.0,True,1,True
Williams,SIR,47,MEDIUM,2.0,98624000000,1.0,True,1,True
Williams,SIR,48,SOFT,3.0,98673000000,2.0,False,1,True
Williams,SIR,49,SOFT,3.0,99108000000,3.0,False,1,True
Williams,SIR,50,SOFT,3.0,98641000000,4.0,False,1,True
Williams,SIR,51,SOFT,3.0,98778000000,5.0,False,1,True
Williams,SIR,52,SOFT,3.0,98632000000,6.0,False,1,True
Williams,SIR,53,SOFT,3.0,98996000000,7.0,False,1,True
Williams,SIR,54,SOFT,3.0,98716000000,8.0,False,1,True
Williams,SIR,55,SOFT,3.0,99162000000,9.0,False,1,True
Williams,SIR,56,SOFT,3.0,98969000000,10.0,False,1,True
