['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,STR,2,SOFT,1.0,102471000000,1.0,True,1,True
Williams,STR,3,SOFT,1.0,101216000000,2.0,True,1,True
Williams,STR,4,SOFT,1.0,101681000000,3.0,True,1,True
Williams,STR,5,SOFT,1.0,101624000000,4.0,True,1,True
Williams,STR,6,SOFT,1.0,102148000000,5.0,True,1,True
Williams,STR,7,SOFT,1.0,101559000000,6.0,True,1,True
Williams,STR,8,SOFT,1.0,101240000000,7.0,True,1,True
Williams,STR,9,SOFT,1.0,101525000000,8.0,True,1,True
Williams,STR,10,SOFT,1.0,100852000000,9.0,True,1,True
Williams,STR,11,SOFT,1.0,101495000000,10.0,True,1,True
Williams,STR,12,SOFT,1.0,101182000000,11.0,True,1,True
Williams,STR,13,SOFT,1.0,100749000000,12.0,True,1,True
Williams,STR,14,SOFT,1.0,100804000000,13.0,True,1,True
Williams,STR,15,SOFT,1.0,101288000000,14.0,True,1,True
Williams,STR,16,SOFT,1.0,101168000000,15.0,True,1,True
Williams,STR,17,SOFT,1.0,101317000000,16.0,True,1,True
Williams,STR,18,SOFT,1.0,100927000000,17.0,True,1,True
Williams,STR,19,SOFT,1.0,100547000000,18.0,True,1,True
Williams,STR,20,SOFT,1.0,100672000000,19.0,True,1,True
Williams,STR,21,SOFT,1.0,100633000000,20.0,True,1,True
Williams,STR,22,SOFT,1.0,101080000000,21.0,True,1,True
Williams,STR,23,SOFT,1.0,105569000000,22.0,True,1,False
Williams,STR,24,SOFT,1.0,118041000000,23.0,True,1,False
Williams,STR,25,SOFT,1.0,100520000000,24.0,True,1,True
Williams,STR,26,SOFT,1.0,99925000000,25.0,True,1,True
Williams,STR,27,SOFT,1.0,100282000000,26.0,True,1,True
Williams,STR,28,SOFT,1.0,99406000000,27.0,True,1,True
Williams,STR,29,SOFT,1.0,99485000000,28.0,True,2,True
Williams,STR,30,SOFT,1.0,100071000000,29.0,True,2,True
Williams,STR,31,SOFT,1.0,130652000000,30.0,True,4,False
Williams,STR,32,SOFT,1.0,134004000000,31.0,True,4,False
Williams,STR,33,SOFT,1.0,109171000000,32.0,True,4,False
Williams,STR,34,SOFT,1.0,133431000000,33.0,True,4,False
Williams,STR,35,SOFT,1.0,140312000000,34.0,True,4,False
Williams,STR,36,SOFT,1.0,102839000000,35.0,True,1,False
Williams,STR,37,SOFT,1.0,101083000000,36.0,True,1,True
Williams,STR,38,SOFT,1.0,100133000000,37.0,True,1,True
Williams,STR,39,SOFT,1.0,99193000000,38.0,True,1,True
Williams,STR,40,SOFT,1.0,99358000000,39.0,True,1,True
Williams,STR,41,SOFT,1.0,98925000000,40.0,True,1,True
Williams,STR,42,SOFT,1.0,99591000000,41.0,True,1,True
Williams,STR,43,SOFT,1.0,98951000000,42.0,True,2,True
Williams,STR,44,SOFT,1.0,99171000000,43.0,True,1,True
Williams,STR,45,SOFT,1.0,99322000000,44.0,True,1,True
Williams,STR,46,SOFT,1.0,99287000000,45.0,True,1,True
Williams,STR,47,MEDIUM,2.0,99030000000,1.0,True,1,True
Williams,STR,48,MEDIUM,2.0,98546000000,2.0,True,1,True
Williams,STR,49,MEDIUM,2.0,98968000000,3.0,True,1,True
Williams,STR,50,MEDIUM,2.0,98665000000,4.0,True,1,True
Williams,STR,51,MEDIUM,2.0,98812000000,5.0,True,1,True
Williams,STR,52,MEDIUM,2.0,98576000000,6.0,True,1,True
Williams,STR,53,MEDIUM,2.0,98857000000,7.0,True,1,True
Williams,STR,54,MEDIUM,2.0,98500000000,8.0,True,1,True
Williams,STR,55,MEDIUM,2.0,98745000000,9.0,True,1,False
Williams,STR,56,MEDIUM,2.0,99276000000,10.0,True,1,True
