['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,VAN,2,SOFT,1.0,102970000000,1.0,True,1,True
McLaren,VAN,3,SOFT,1.0,102165000000,2.0,True,1,True
McLaren,VAN,4,SOFT,1.0,102778000000,3.0,True,1,True
McLaren,VAN,5,SOFT,1.0,100677000000,4.0,True,1,True
McLaren,VAN,6,SOFT,1.0,101397000000,5.0,True,1,True
McLaren,VAN,7,SOFT,1.0,100933000000,6.0,True,1,True
McLaren,VAN,8,SOFT,1.0,100786000000,7.0,True,1,True
McLaren,VAN,9,SOFT,1.0,101479000000,8.0,True,1,True
McLaren,VAN,10,SOFT,1.0,101343000000,9.0,True,1,True
McLaren,VAN,11,SOFT,1.0,101234000000,10.0,True,1,True
McLaren,VAN,12,SOFT,1.0,101263000000,11.0,True,1,True
McLaren,VAN,13,SOFT,1.0,100857000000,12.0,True,1,True
McLaren,VAN,14,SOFT,1.0,101133000000,13.0,True,1,True
McLaren,VAN,15,SOFT,1.0,101101000000,14.0,True,1,True
McLaren,VAN,16,SOFT,1.0,100919000000,15.0,True,1,True
McLaren,VAN,17,SOFT,1.0,100836000000,16.0,True,1,True
McLaren,VAN,18,SOFT,1.0,100402000000,17.0,True,1,True
McLaren,VAN,19,SOFT,1.0,100264000000,18.0,True,1,True
McLaren,VAN,20,SOFT,1.0,100643000000,19.0,True,1,True
McLaren,VAN,21,SOFT,1.0,101406000000,20.0,True,1,True
McLaren,VAN,22,SOFT,1.0,105395000000,21.0,True,1,False
McLaren,VAN,23,SOFT,1.0,118347000000,22.0,True,1,False
McLaren,VAN,24,SOFT,1.0,98873000000,23.0,True,1,True
McLaren,VAN,25,SOFT,1.0,99569000000,24.0,True,1,True
McLaren,VAN,26,SOFT,1.0,99695000000,25.0,True,1,True
McLaren,VAN,27,SOFT,1.0,99641000000,26.0,True,1,True
McLaren,VAN,28,SOFT,1.0,99484000000,27.0,True,1,True
McLaren,VAN,29,SOFT,1.0,99397000000,28.0,True,2,True
McLaren,VAN,30,SOFT,1.0,99763000000,29.0,True,2,True
McLaren,VAN,31,SOFT,1.0,128950000000,30.0,True,4,False
McLaren,VAN,32,SOFT,1.0,133659000000,31.0,True,4,False
McLaren,VAN,33,SOFT,1.0,110933000000,32.0,True,4,False
McLaren,VAN,34,SOFT,1.0,134437000000,33.0,True,4,False
McLaren,VAN,35,SOFT,1.0,141609000000,34.0,True,4,False
McLaren,VAN,36,SOFT,1.0,103065000000,35.0,True,1,False
McLaren,VAN,37,SOFT,1.0,100412000000,36.0,True,1,True
McLaren,VAN,38,SOFT,1.0,99572000000,37.0,True,1,True
McLaren,VAN,39,SOFT,1.0,99364000000,38.0,True,1,True
McLaren,VAN,40,SOFT,1.0,99393000000,39.0,True,1,True
McLaren,VAN,41,SOFT,1.0,99016000000,40.0,True,1,True
McLaren,VAN,42,SOFT,1.0,98876000000,41.0,True,1,True
McLaren,VAN,43,SOFT,1.0,98795000000,42.0,True,2,True
McLaren,VAN,44,SOFT,1.0,98610000000,43.0,True,1,True
McLaren,VAN,45,SOFT,1.0,98902000000,44.0,True,1,True
McLaren,VAN,46,SOFT,1.0,99344000000,45.0,True,1,True
McLaren,VAN,47,MEDIUM,2.0,98834000000,1.0,True,1,True
McLaren,VAN,48,MEDIUM,2.0,98870000000,2.0,True,1,True
McLaren,VAN,49,MEDIUM,2.0,98583000000,3.0,True,1,True
McLaren,VAN,50,MEDIUM,2.0,98279000000,4.0,True,1,True
McLaren,VAN,51,MEDIUM,2.0,98493000000,5.0,True,1,True
McLaren,VAN,52,MEDIUM,2.0,98390000000,6.0,True,1,True
McLaren,VAN,53,MEDIUM,2.0,None,7.0,True,1,False
McLaren,VAN,54,MEDIUM,2.0,98137000000,8.0,True,1,True
McLaren,VAN,55,MEDIUM,2.0,98379000000,9.0,True,1,True
McLaren,VAN,56,MEDIUM,2.0,98681000000,10.0,True,1,True
