['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,VER,2,ULTRASOFT,1.0,99367000000,4.0,False,1,True
Red Bull Racing,VER,3,ULTRASOFT,1.0,99319000000,5.0,False,1,True
Red Bull Racing,VER,4,ULTRASOFT,1.0,99421000000,6.0,False,1,True
Red Bull Racing,VER,5,ULTRASOFT,1.0,99416000000,7.0,False,1,True
Red Bull Racing,VER,6,ULTRASOFT,1.0,99101000000,8.0,False,1,True
Red Bull Racing,VER,7,ULTRASOFT,1.0,99094000000,9.0,False,1,True
Red Bull Racing,VER,8,ULTRASOFT,1.0,99345000000,10.0,False,1,True
Red Bull Racing,VER,9,ULTRASOFT,1.0,99219000000,11.0,False,1,True
Red Bull Racing,VER,10,ULTRASOFT,1.0,99184000000,12.0,False,1,True
Red Bull Racing,VER,11,ULTRASOFT,1.0,99448000000,13.0,False,1,True
Red Bull Racing,VER,12,ULTRASOFT,1.0,99145000000,14.0,False,1,True
Red Bull Racing,VER,13,ULTRASOFT,1.0,99068000000,15.0,False,1,True
Red Bull Racing,VER,14,ULTRASOFT,1.0,99450000000,16.0,False,1,True
Red Bull Racing,VER,15,ULTRASOFT,1.0,99431000000,17.0,False,1,True
Red Bull Racing,VER,16,ULTRASOFT,1.0,99357000000,18.0,False,1,True
Red Bull Racing,VER,17,ULTRASOFT,1.0,104048000000,19.0,False,1,False
Red Bull Racing,VER,18,ULTRASOFT,1.0,116316000000,20.0,False,1,False
Red Bull Racing,VER,19,ULTRASOFT,1.0,97755000000,21.0,False,1,True
Red Bull Racing,VER,20,ULTRASOFT,1.0,98450000000,22.0,False,1,True
Red Bull Racing,VER,21,ULTRASOFT,1.0,98187000000,23.0,False,1,True
Red Bull Racing,VER,22,ULTRASOFT,1.0,97854000000,24.0,False,1,True
Red Bull Racing,VER,23,ULTRASOFT,1.0,97676000000,25.0,False,1,True
Red Bull Racing,VER,24,ULTRASOFT,1.0,98386000000,26.0,False,1,True
Red Bull Racing,VER,25,ULTRASOFT,1.0,97787000000,27.0,False,1,True
Red Bull Racing,VER,26,ULTRASOFT,1.0,97562000000,28.0,False,1,True
Red Bull Racing,VER,27,ULTRASOFT,1.0,97542000000,29.0,False,1,True
Red Bull Racing,VER,28,ULTRASOFT,1.0,97639000000,30.0,False,1,True
Red Bull Racing,VER,29,ULTRASOFT,1.0,97724000000,31.0,False,1,True
Red Bull Racing,VER,30,ULTRASOFT,1.0,98247000000,32.0,False,2,True
Red Bull Racing,VER,31,ULTRASOFT,1.0,105059000000,33.0,False,4,False
Red Bull Racing,VER,32,ULTRASOFT,1.0,None,34.0,False,4,False
Red Bull Racing,VER,33,ULTRASOFT,1.0,None,35.0,False,4,False
Red Bull Racing,VER,34,ULTRASOFT,1.0,145615000000,36.0,False,4,False
Red Bull Racing,VER,35,ULTRASOFT,1.0,145473000000,37.0,False,4,False
Red Bull Racing,VER,36,ULTRASOFT,1.0,99092000000,38.0,False,1,False
Red Bull Racing,VER,37,ULTRASOFT,1.0,97580000000,39.0,False,1,True
Red Bull Racing,VER,38,ULTRASOFT,1.0,97386000000,40.0,False,1,True
Red Bull Racing,VER,39,ULTRASOFT,1.0,99563000000,41.0,False,1,True
Red Bull Racing,VER,40,ULTRASOFT,1.0,97477000000,42.0,False,1,True
Red Bull Racing,VER,41,ULTRASOFT,1.0,97176000000,43.0,False,1,True
Red Bull Racing,VER,42,ULTRASOFT,1.0,96671000000,44.0,False,1,True
Red Bull Racing,VER,43,ULTRASOFT,1.0,103068000000,45.0,False,2,True
Red Bull Racing,VER,44,ULTRASOFT,1.0,96952000000,46.0,False,1,True
Red Bull Racing,VER,45,ULTRASOFT,1.0,97391000000,47.0,False,1,True
Red Bull Racing,VER,46,ULTRASOFT,1.0,96887000000,48.0,False,1,True
Red Bull Racing,VER,47,MEDIUM,2.0,96678000000,1.0,True,1,True
Red Bull Racing,VER,48,SOFT,3.0,96289000000,1.0,True,1,True
Red Bull Racing,VER,49,SOFT,3.0,96280000000,2.0,True,1,True
Red Bull Racing,VER,50,SOFT,3.0,96206000000,3.0,True,1,True
Red Bull Racing,VER,51,SOFT,3.0,96362000000,4.0,True,1,True
Red Bull Racing,VER,52,SOFT,3.0,96717000000,5.0,True,1,True
Red Bull Racing,VER,53,SOFT,3.0,97060000000,6.0,True,1,True
Red Bull Racing,VER,54,SOFT,3.0,97234000000,7.0,True,1,True
Red Bull Racing,VER,55,SOFT,3.0,97088000000,8.0,True,1,True
Red Bull Racing,VER,56,SOFT,3.0,97265000000,9.0,True,1,True
