['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,VET,2,nan,nan,98417000000,nan,nan,1,True
Ferrari,VET,3,SOFT,1.0,98472000000,4.0,False,1,True
Ferrari,VET,4,SOFT,1.0,99025000000,5.0,False,1,True
Ferrari,VET,5,SOFT,1.0,98869000000,6.0,False,1,True
Ferrari,VET,6,SOFT,1.0,98620000000,7.0,False,1,True
Ferrari,VET,7,SOFT,1.0,98658000000,8.0,False,1,True
Ferrari,VET,8,SOFT,1.0,98819000000,9.0,False,1,True
Ferrari,VET,9,SOFT,1.0,98774000000,10.0,False,1,True
Ferrari,VET,10,SOFT,1.0,98750000000,11.0,False,1,True
Ferrari,VET,11,SOFT,1.0,98761000000,12.0,False,1,True
Ferrari,VET,12,SOFT,1.0,98796000000,13.0,False,1,True
Ferrari,VET,13,SOFT,1.0,98755000000,14.0,False,1,True
Ferrari,VET,14,SOFT,1.0,99006000000,15.0,False,1,True
Ferrari,VET,15,SOFT,1.0,98916000000,16.0,False,1,True
Ferrari,VET,16,SOFT,1.0,99220000000,17.0,False,1,True
Ferrari,VET,17,SOFT,1.0,99454000000,18.0,False,1,True
Ferrari,VET,18,SOFT,1.0,99488000000,19.0,False,1,True
Ferrari,VET,19,SOFT,1.0,99405000000,20.0,False,1,True
Ferrari,VET,20,SOFT,1.0,104136000000,21.0,False,1,False
Ferrari,VET,21,SOFT,1.0,115982000000,22.0,False,1,False
Ferrari,VET,22,SOFT,1.0,97735000000,23.0,False,1,True
Ferrari,VET,23,SOFT,1.0,97504000000,24.0,False,1,True
Ferrari,VET,24,SOFT,1.0,97479000000,25.0,False,1,True
Ferrari,VET,25,SOFT,1.0,97750000000,26.0,False,1,True
Ferrari,VET,26,SOFT,1.0,97827000000,27.0,False,1,True
Ferrari,VET,27,SOFT,1.0,98534000000,28.0,False,1,True
Ferrari,VET,28,SOFT,1.0,98019000000,29.0,False,1,True
Ferrari,VET,29,SOFT,1.0,97822000000,30.0,False,1,True
Ferrari,VET,30,SOFT,1.0,98639000000,31.0,False,2,True
Ferrari,VET,31,SOFT,1.0,102680000000,32.0,False,4,False
Ferrari,VET,32,SOFT,1.0,None,33.0,False,4,False
Ferrari,VET,33,SOFT,1.0,None,34.0,False,4,False
Ferrari,VET,34,SOFT,1.0,148497000000,35.0,False,4,False
Ferrari,VET,35,SOFT,1.0,146282000000,36.0,False,4,False
Ferrari,VET,36,SOFT,1.0,98558000000,37.0,False,1,False
Ferrari,VET,37,SOFT,1.0,97489000000,38.0,False,1,True
Ferrari,VET,38,SOFT,1.0,97822000000,39.0,False,1,True
Ferrari,VET,39,SOFT,1.0,97602000000,40.0,False,1,True
Ferrari,VET,40,SOFT,1.0,97563000000,41.0,False,1,True
Ferrari,VET,41,SOFT,1.0,97518000000,42.0,False,1,True
Ferrari,VET,42,SOFT,1.0,98487000000,43.0,False,1,True
Ferrari,VET,43,SOFT,1.0,105796000000,44.0,False,2,True
Ferrari,VET,44,SOFT,1.0,100615000000,45.0,False,1,True
Ferrari,VET,45,SOFT,1.0,98188000000,46.0,False,1,True
Ferrari,VET,46,SOFT,1.0,97742000000,47.0,False,1,True
Ferrari,VET,47,MEDIUM,2.0,97852000000,1.0,True,1,True
Ferrari,VET,48,MEDIUM,2.0,97841000000,2.0,True,1,True
Ferrari,VET,49,MEDIUM,2.0,98239000000,3.0,True,1,True
Ferrari,VET,50,MEDIUM,2.0,98178000000,4.0,True,1,True
Ferrari,VET,51,MEDIUM,2.0,98211000000,5.0,True,1,True
Ferrari,VET,52,MEDIUM,2.0,98216000000,6.0,True,1,True
Ferrari,VET,53,MEDIUM,2.0,98523000000,7.0,True,1,True
Ferrari,VET,54,MEDIUM,2.0,98396000000,8.0,True,1,True
Ferrari,VET,55,MEDIUM,2.0,100608000000,9.0,True,1,True
Ferrari,VET,56,MEDIUM,2.0,99232000000,10.0,True,1,True
