['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,BOT,2.0,SOFT,2.0,112453000000,1.0,True,4,False
Mercedes,BOT,3.0,SOFT,2.0,129285000000,2.0,True,4,False
Mercedes,BOT,4.0,SOFT,2.0,None,3.0,True,4,False
Mercedes,BOT,5.0,SOFT,2.0,125433000000,4.0,True,4,False
Mercedes,BOT,6.0,SOFT,2.0,100877000000,5.0,True,2,False
Mercedes,BOT,7.0,SOFT,2.0,101645000000,6.0,True,1,True
Mercedes,BOT,8.0,SOFT,2.0,100857000000,7.0,True,1,True
Mercedes,BOT,9.0,SOFT,2.0,99754000000,8.0,True,1,True
Mercedes,BOT,10.0,SOFT,2.0,99687000000,9.0,True,1,True
Mercedes,BOT,11.0,SOFT,2.0,98594000000,10.0,True,1,True
Mercedes,BOT,12.0,SOFT,2.0,98930000000,11.0,True,1,True
Mercedes,BOT,13.0,SOFT,2.0,98411000000,12.0,True,1,True
Mercedes,BOT,14.0,SOFT,2.0,99345000000,13.0,True,1,True
Mercedes,BOT,15.0,SOFT,2.0,99809000000,14.0,True,1,True
Mercedes,BOT,16.0,SOFT,2.0,98113000000,15.0,True,1,True
Mercedes,BOT,17.0,SOFT,2.0,98665000000,16.0,True,1,True
Mercedes,BOT,18.0,SOFT,2.0,98544000000,17.0,True,1,True
Mercedes,BOT,19.0,SOFT,2.0,98506000000,18.0,True,1,True
Mercedes,BOT,20.0,SOFT,2.0,98045000000,19.0,True,1,True
Mercedes,BOT,21.0,SOFT,2.0,97574000000,20.0,True,1,True
Mercedes,BOT,22.0,SOFT,2.0,97420000000,21.0,True,1,True
Mercedes,BOT,23.0,SOFT,2.0,97629000000,22.0,True,1,True
Mercedes,BOT,24.0,SOFT,2.0,98371000000,23.0,True,1,True
Mercedes,BOT,25.0,SOFT,2.0,98519000000,24.0,True,1,True
Mercedes,BOT,26.0,SOFT,2.0,98393000000,25.0,True,1,True
Mercedes,BOT,27.0,SOFT,2.0,98263000000,26.0,True,1,True
Mercedes,BOT,28.0,SOFT,2.0,97759000000,27.0,True,1,True
Mercedes,BOT,29.0,SOFT,2.0,97408000000,28.0,True,1,True
Mercedes,BOT,30.0,SOFT,2.0,97123000000,29.0,True,1,True
Mercedes,BOT,31.0,SOFT,2.0,97061000000,30.0,True,1,True
Mercedes,BOT,32.0,SOFT,2.0,97268000000,31.0,True,1,True
Mercedes,BOT,33.0,SOFT,2.0,97112000000,32.0,True,1,True
Mercedes,BOT,34.0,SOFT,2.0,96932000000,33.0,True,1,True
Mercedes,BOT,35.0,SOFT,2.0,97214000000,34.0,True,1,True
Mercedes,BOT,36.0,SOFT,2.0,96190000000,35.0,True,1,True
Mercedes,BOT,37.0,SOFT,2.0,96459000000,36.0,True,1,True
Mercedes,BOT,38.0,SOFT,2.0,96456000000,37.0,True,1,True
Mercedes,BOT,39.0,SOFT,2.0,123532000000,38.0,True,1,False
Mercedes,BOT,40.0,SUPERSOFT,3.0,98568000000,1.0,True,1,False
Mercedes,BOT,41.0,SUPERSOFT,3.0,94225000000,2.0,True,1,True
Mercedes,BOT,42.0,SUPERSOFT,3.0,95147000000,3.0,True,1,True
Mercedes,BOT,43.0,SUPERSOFT,3.0,95728000000,4.0,True,1,True
Mercedes,BOT,44.0,SUPERSOFT,3.0,95298000000,5.0,True,1,True
Mercedes,BOT,45.0,SUPERSOFT,3.0,95237000000,6.0,True,1,True
Mercedes,BOT,46.0,SUPERSOFT,3.0,95495000000,7.0,True,1,True
Mercedes,BOT,47.0,SUPERSOFT,3.0,95254000000,8.0,True,1,True
Mercedes,BOT,48.0,SUPERSOFT,3.0,96061000000,9.0,True,1,True
Mercedes,BOT,49.0,SUPERSOFT,3.0,95950000000,10.0,True,1,True
Mercedes,BOT,50.0,SUPERSOFT,3.0,96649000000,11.0,True,2,True
Mercedes,BOT,51.0,SUPERSOFT,3.0,123195000000,12.0,True,26,False
Mercedes,BOT,52.0,SUPERSOFT,3.0,112809000000,13.0,True,672,False
Mercedes,BOT,53.0,SUPERSOFT,3.0,96111000000,14.0,True,2,True
