['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,LEC,2.0,ULTRASOFT,1.0,None,4.0,False,4,False
Sauber,LEC,3.0,ULTRASOFT,1.0,149252000000,5.0,False,4,False
Sauber,LEC,4.0,ULTRASOFT,1.0,148654000000,6.0,False,4,False
Sauber,LEC,5.0,ULTRASOFT,1.0,141006000000,7.0,False,4,False
Sauber,LEC,6.0,ULTRASOFT,1.0,101670000000,8.0,False,2,False
Sauber,LEC,7.0,ULTRASOFT,1.0,100460000000,9.0,False,1,True
Sauber,LEC,8.0,ULTRASOFT,1.0,99292000000,10.0,False,1,True
Sauber,LEC,9.0,ULTRASOFT,1.0,99539000000,11.0,False,1,True
Sauber,LEC,10.0,ULTRASOFT,1.0,99566000000,12.0,False,1,True
Sauber,LEC,11.0,ULTRASOFT,1.0,99364000000,13.0,False,1,True
Sauber,LEC,12.0,ULTRASOFT,1.0,99383000000,14.0,False,1,True
Sauber,LEC,13.0,ULTRASOFT,1.0,98501000000,15.0,False,1,True
Sauber,LEC,14.0,ULTRASOFT,1.0,98645000000,16.0,False,1,True
Sauber,LEC,15.0,ULTRASOFT,1.0,98724000000,17.0,False,1,True
Sauber,LEC,16.0,ULTRASOFT,1.0,98751000000,18.0,False,1,True
Sauber,LEC,17.0,ULTRASOFT,1.0,99339000000,19.0,False,1,True
Sauber,LEC,18.0,ULTRASOFT,1.0,98693000000,20.0,False,1,True
Sauber,LEC,19.0,ULTRASOFT,1.0,98724000000,21.0,False,1,True
Sauber,LEC,20.0,ULTRASOFT,1.0,98380000000,22.0,False,1,True
Sauber,LEC,21.0,ULTRASOFT,1.0,98721000000,23.0,False,1,True
Sauber,LEC,22.0,ULTRASOFT,1.0,98484000000,24.0,False,1,True
Sauber,LEC,23.0,ULTRASOFT,1.0,98498000000,25.0,False,1,True
Sauber,LEC,24.0,ULTRASOFT,1.0,101154000000,26.0,False,1,True
Sauber,LEC,25.0,ULTRASOFT,1.0,98810000000,27.0,False,1,True
Sauber,LEC,26.0,ULTRASOFT,1.0,98487000000,28.0,False,1,True
Sauber,LEC,27.0,ULTRASOFT,1.0,98477000000,29.0,False,1,True
Sauber,LEC,28.0,ULTRASOFT,1.0,99738000000,30.0,False,1,True
Sauber,LEC,29.0,ULTRASOFT,1.0,98508000000,31.0,False,1,True
Sauber,LEC,30.0,ULTRASOFT,1.0,98942000000,32.0,False,1,True
Sauber,LEC,31.0,ULTRASOFT,1.0,121015000000,33.0,False,1,False
Sauber,LEC,32.0,SUPERSOFT,2.0,99981000000,1.0,True,1,False
Sauber,LEC,33.0,SUPERSOFT,2.0,96582000000,2.0,True,1,True
Sauber,LEC,34.0,SUPERSOFT,2.0,97057000000,3.0,True,1,True
Sauber,LEC,35.0,SUPERSOFT,2.0,97765000000,4.0,True,1,True
Sauber,LEC,36.0,SUPERSOFT,2.0,96879000000,5.0,True,1,True
Sauber,LEC,37.0,SUPERSOFT,2.0,97186000000,6.0,True,1,True
Sauber,LEC,38.0,SUPERSOFT,2.0,97843000000,7.0,True,1,True
Sauber,LEC,39.0,SUPERSOFT,2.0,97168000000,8.0,True,1,True
Sauber,LEC,40.0,SUPERSOFT,2.0,97008000000,9.0,True,1,True
Sauber,LEC,41.0,SUPERSOFT,2.0,96596000000,10.0,True,1,True
Sauber,LEC,42.0,SUPERSOFT,2.0,96458000000,11.0,True,1,True
Sauber,LEC,43.0,SUPERSOFT,2.0,96186000000,12.0,True,1,True
Sauber,LEC,44.0,SUPERSOFT,2.0,96198000000,13.0,True,1,True
Sauber,LEC,45.0,SUPERSOFT,2.0,95977000000,14.0,True,1,True
Sauber,LEC,46.0,SUPERSOFT,2.0,96156000000,15.0,True,1,True
Sauber,LEC,47.0,SUPERSOFT,2.0,96220000000,16.0,True,1,True
Sauber,LEC,48.0,SUPERSOFT,2.0,96254000000,17.0,True,1,True
Sauber,LEC,49.0,SUPERSOFT,2.0,96277000000,18.0,True,1,True
Sauber,LEC,50.0,SUPERSOFT,2.0,96641000000,19.0,True,2,True
Sauber,LEC,51.0,SUPERSOFT,2.0,128709000000,20.0,True,26,False
Sauber,LEC,52.0,SUPERSOFT,2.0,106338000000,21.0,True,672,False
Sauber,LEC,53.0,SUPERSOFT,2.0,96405000000,22.0,True,2,True
