['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Force India,PER,2.0,SOFT,1.0,None,1.0,True,4,False
Force India,PER,3.0,SOFT,1.0,147577000000,2.0,True,4,False
Force India,PER,4.0,SOFT,1.0,149420000000,3.0,True,4,False
Force India,PER,5.0,SOFT,1.0,138486000000,4.0,True,4,False
Force India,PER,6.0,SOFT,1.0,100842000000,5.0,True,2,False
Force India,PER,7.0,SOFT,1.0,101589000000,6.0,True,1,True
Force India,PER,8.0,SOFT,1.0,99494000000,7.0,True,1,True
Force India,PER,9.0,SOFT,1.0,99365000000,8.0,True,1,True
Force India,PER,10.0,SOFT,1.0,99923000000,9.0,True,1,True
Force India,PER,11.0,SOFT,1.0,100055000000,10.0,True,1,True
Force India,PER,12.0,SOFT,1.0,99991000000,11.0,True,1,True
Force India,PER,13.0,SOFT,1.0,100431000000,12.0,True,1,True
Force India,PER,14.0,SOFT,1.0,100586000000,13.0,True,1,True
Force India,PER,15.0,SOFT,1.0,101463000000,14.0,True,1,True
Force India,PER,16.0,SOFT,1.0,99039000000,15.0,True,1,True
Force India,PER,17.0,SOFT,1.0,98848000000,16.0,True,1,True
Force India,PER,18.0,SOFT,1.0,98761000000,17.0,True,1,True
Force India,PER,19.0,SOFT,1.0,98612000000,18.0,True,1,True
Force India,PER,20.0,SOFT,1.0,98896000000,19.0,True,1,True
Force India,PER,21.0,SOFT,1.0,98696000000,20.0,True,1,True
Force India,PER,22.0,SOFT,1.0,98730000000,21.0,True,1,True
Force India,PER,23.0,SOFT,1.0,98514000000,22.0,True,1,True
Force India,PER,24.0,SOFT,1.0,98855000000,23.0,True,1,True
Force India,PER,25.0,SOFT,1.0,98319000000,24.0,True,1,True
Force India,PER,26.0,SOFT,1.0,98481000000,25.0,True,1,True
Force India,PER,27.0,SOFT,1.0,98480000000,26.0,True,1,True
Force India,PER,28.0,SOFT,1.0,None,27.0,True,1,False
