['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,RIC,2.0,SUPERSOFT,1.0,None,6.0,False,4,False
Red Bull Racing,RIC,3.0,SUPERSOFT,1.0,148927000000,7.0,False,4,False
Red Bull Racing,RIC,4.0,SUPERSOFT,1.0,148945000000,8.0,False,4,False
Red Bull Racing,RIC,5.0,SUPERSOFT,1.0,142740000000,9.0,False,4,False
Red Bull Racing,RIC,6.0,SUPERSOFT,1.0,98921000000,10.0,False,2,False
Red Bull Racing,RIC,7.0,SUPERSOFT,1.0,98985000000,11.0,False,1,True
Red Bull Racing,RIC,8.0,SUPERSOFT,1.0,98696000000,12.0,False,1,True
Red Bull Racing,RIC,9.0,SUPERSOFT,1.0,98281000000,13.0,False,1,True
Red Bull Racing,RIC,10.0,SUPERSOFT,1.0,97998000000,14.0,False,1,True
Red Bull Racing,RIC,11.0,SUPERSOFT,1.0,97588000000,15.0,False,1,True
Red Bull Racing,RIC,12.0,SUPERSOFT,1.0,97298000000,16.0,False,1,True
Red Bull Racing,RIC,13.0,SUPERSOFT,1.0,97026000000,17.0,False,1,True
Red Bull Racing,RIC,14.0,SUPERSOFT,1.0,97101000000,18.0,False,1,False
Red Bull Racing,RIC,15.0,SUPERSOFT,1.0,97055000000,19.0,False,1,True
Red Bull Racing,RIC,16.0,SUPERSOFT,1.0,97071000000,20.0,False,1,True
Red Bull Racing,RIC,17.0,SUPERSOFT,1.0,96925000000,21.0,False,1,True
Red Bull Racing,RIC,18.0,SUPERSOFT,1.0,96814000000,22.0,False,1,True
Red Bull Racing,RIC,19.0,SUPERSOFT,1.0,96608000000,23.0,False,1,True
Red Bull Racing,RIC,20.0,SUPERSOFT,1.0,96562000000,24.0,False,1,True
Red Bull Racing,RIC,21.0,SUPERSOFT,1.0,96461000000,25.0,False,1,True
Red Bull Racing,RIC,22.0,SUPERSOFT,1.0,96465000000,26.0,False,1,True
Red Bull Racing,RIC,23.0,SUPERSOFT,1.0,96624000000,27.0,False,1,True
Red Bull Racing,RIC,24.0,SUPERSOFT,1.0,96647000000,28.0,False,1,True
Red Bull Racing,RIC,25.0,SUPERSOFT,1.0,96578000000,29.0,False,1,True
Red Bull Racing,RIC,26.0,SUPERSOFT,1.0,96792000000,30.0,False,1,True
Red Bull Racing,RIC,27.0,SUPERSOFT,1.0,97200000000,31.0,False,1,True
Red Bull Racing,RIC,28.0,SUPERSOFT,1.0,117778000000,32.0,False,1,False
Red Bull Racing,RIC,29.0,SOFT,2.0,99818000000,1.0,True,1,False
Red Bull Racing,RIC,30.0,SOFT,2.0,96068000000,2.0,True,1,True
Red Bull Racing,RIC,31.0,SOFT,2.0,96206000000,3.0,True,1,True
Red Bull Racing,RIC,32.0,SOFT,2.0,95891000000,4.0,True,1,True
Red Bull Racing,RIC,33.0,SOFT,2.0,95844000000,5.0,True,1,True
Red Bull Racing,RIC,34.0,SOFT,2.0,95678000000,6.0,True,1,True
Red Bull Racing,RIC,35.0,SOFT,2.0,95884000000,7.0,True,1,True
Red Bull Racing,RIC,36.0,SOFT,2.0,95481000000,8.0,True,1,True
Red Bull Racing,RIC,37.0,SOFT,2.0,95382000000,9.0,True,1,True
Red Bull Racing,RIC,38.0,SOFT,2.0,95443000000,10.0,True,1,True
Red Bull Racing,RIC,39.0,SOFT,2.0,95475000000,11.0,True,1,True
Red Bull Racing,RIC,40.0,SOFT,2.0,95573000000,12.0,True,1,True
Red Bull Racing,RIC,41.0,SOFT,2.0,96450000000,13.0,True,1,True
Red Bull Racing,RIC,42.0,SOFT,2.0,96362000000,14.0,True,1,True
Red Bull Racing,RIC,43.0,SOFT,2.0,96898000000,15.0,True,1,True
Red Bull Racing,RIC,44.0,SOFT,2.0,96852000000,16.0,True,1,True
Red Bull Racing,RIC,45.0,SOFT,2.0,97968000000,17.0,True,1,True
Red Bull Racing,RIC,46.0,SOFT,2.0,95690000000,18.0,True,1,True
Red Bull Racing,RIC,47.0,SOFT,2.0,98034000000,19.0,True,1,True
Red Bull Racing,RIC,48.0,SOFT,2.0,95724000000,20.0,True,1,True
Red Bull Racing,RIC,49.0,SOFT,2.0,95868000000,21.0,True,1,True
Red Bull Racing,RIC,50.0,SOFT,2.0,96425000000,22.0,True,2,True
Red Bull Racing,RIC,51.0,SOFT,2.0,111395000000,23.0,True,26,False
Red Bull Racing,RIC,52.0,SOFT,2.0,125604000000,24.0,True,672,False
Red Bull Racing,RIC,53.0,SOFT,2.0,99940000000,25.0,True,2,True
