['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,SIR,2.0,SOFT,2.0,134396000000,1.0,True,4,False
Williams,SIR,3.0,SOFT,2.0,148796000000,2.0,True,4,False
Williams,SIR,4.0,SOFT,2.0,None,3.0,True,4,False
Williams,SIR,5.0,SOFT,2.0,128533000000,4.0,True,4,False
Williams,SIR,6.0,SOFT,2.0,103207000000,5.0,True,2,False
Williams,SIR,7.0,SOFT,2.0,101585000000,6.0,True,1,True
Williams,SIR,8.0,SOFT,2.0,101957000000,7.0,True,1,True
Williams,SIR,9.0,SOFT,2.0,101791000000,8.0,True,1,True
Williams,SIR,10.0,SOFT,2.0,101352000000,9.0,True,1,True
Williams,SIR,11.0,SOFT,2.0,102214000000,10.0,True,1,True
Williams,SIR,12.0,SOFT,2.0,101123000000,11.0,True,1,True
Williams,SIR,13.0,SOFT,2.0,99850000000,12.0,True,1,True
Williams,SIR,14.0,SOFT,2.0,99855000000,13.0,True,1,True
Williams,SIR,15.0,SOFT,2.0,99975000000,14.0,True,1,True
Williams,SIR,16.0,SOFT,2.0,99684000000,15.0,True,1,True
Williams,SIR,17.0,SOFT,2.0,99481000000,16.0,True,1,True
Williams,SIR,18.0,SOFT,2.0,99740000000,17.0,True,1,True
Williams,SIR,19.0,SOFT,2.0,99720000000,18.0,True,1,True
Williams,SIR,20.0,SOFT,2.0,99526000000,19.0,True,1,True
Williams,SIR,21.0,SOFT,2.0,99469000000,20.0,True,1,True
Williams,SIR,22.0,SOFT,2.0,98925000000,21.0,True,1,True
Williams,SIR,23.0,SOFT,2.0,98972000000,22.0,True,1,True
Williams,SIR,24.0,SOFT,2.0,98998000000,23.0,True,1,True
Williams,SIR,25.0,SOFT,2.0,98835000000,24.0,True,1,True
Williams,SIR,26.0,SOFT,2.0,98712000000,25.0,True,1,True
Williams,SIR,27.0,SOFT,2.0,98690000000,26.0,True,1,True
Williams,SIR,28.0,SOFT,2.0,98688000000,27.0,True,1,True
Williams,SIR,29.0,SOFT,2.0,98826000000,28.0,True,1,True
Williams,SIR,30.0,SOFT,2.0,98711000000,29.0,True,1,True
Williams,SIR,31.0,SOFT,2.0,98951000000,30.0,True,1,True
Williams,SIR,32.0,SOFT,2.0,99172000000,31.0,True,1,True
Williams,SIR,33.0,SOFT,2.0,98805000000,32.0,True,1,True
Williams,SIR,34.0,SOFT,2.0,98322000000,33.0,True,1,True
Williams,SIR,35.0,SOFT,2.0,98300000000,34.0,True,1,True
Williams,SIR,36.0,SOFT,2.0,99839000000,35.0,True,1,True
Williams,SIR,37.0,SOFT,2.0,98790000000,36.0,True,1,True
Williams,SIR,38.0,SOFT,2.0,99182000000,37.0,True,1,True
Williams,SIR,39.0,SOFT,2.0,98529000000,38.0,True,1,True
Williams,SIR,40.0,SOFT,2.0,99934000000,39.0,True,1,True
Williams,SIR,41.0,SOFT,2.0,100833000000,40.0,True,1,True
Williams,SIR,42.0,SOFT,2.0,99566000000,41.0,True,1,True
Williams,SIR,43.0,SOFT,2.0,99745000000,42.0,True,1,True
Williams,SIR,44.0,SOFT,2.0,101209000000,43.0,True,1,True
Williams,SIR,45.0,SOFT,2.0,100198000000,44.0,True,1,True
Williams,SIR,46.0,SOFT,2.0,100302000000,45.0,True,1,True
Williams,SIR,47.0,SOFT,2.0,100941000000,46.0,True,1,True
Williams,SIR,48.0,SOFT,2.0,100494000000,47.0,True,1,True
Williams,SIR,49.0,SOFT,2.0,100752000000,48.0,True,2,True
Williams,SIR,50.0,SOFT,2.0,116276000000,49.0,True,26,False
Williams,SIR,51.0,SOFT,2.0,123234000000,50.0,True,672,False
Williams,SIR,52.0,SOFT,2.0,100198000000,51.0,True,2,True
