['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,STR,2.0,SOFT,2.0,141266000000,1.0,True,4,False
Williams,STR,3.0,SOFT,2.0,148910000000,2.0,True,4,False
Williams,STR,4.0,SOFT,2.0,None,3.0,True,4,False
Williams,STR,5.0,SOFT,2.0,129667000000,4.0,True,4,False
Williams,STR,6.0,SOFT,2.0,101430000000,5.0,True,2,False
Williams,STR,7.0,SOFT,2.0,102095000000,6.0,True,1,True
Williams,STR,8.0,SOFT,2.0,102764000000,7.0,True,1,True
Williams,STR,9.0,SOFT,2.0,101763000000,8.0,True,1,True
Williams,STR,10.0,SOFT,2.0,101167000000,9.0,True,1,True
Williams,STR,11.0,SOFT,2.0,100777000000,10.0,True,1,True
Williams,STR,12.0,SOFT,2.0,100265000000,11.0,True,1,True
Williams,STR,13.0,SOFT,2.0,100498000000,12.0,True,1,True
Williams,STR,14.0,SOFT,2.0,100021000000,13.0,True,1,True
Williams,STR,15.0,SOFT,2.0,99884000000,14.0,True,1,True
Williams,STR,16.0,SOFT,2.0,99566000000,15.0,True,1,True
Williams,STR,17.0,SOFT,2.0,99452000000,16.0,True,1,True
Williams,STR,18.0,SOFT,2.0,100617000000,17.0,True,1,True
Williams,STR,19.0,SOFT,2.0,99983000000,18.0,True,1,True
Williams,STR,20.0,SOFT,2.0,99371000000,19.0,True,1,True
Williams,STR,21.0,SOFT,2.0,99480000000,20.0,True,1,True
Williams,STR,22.0,SOFT,2.0,99045000000,21.0,True,1,True
Williams,STR,23.0,SOFT,2.0,99001000000,22.0,True,1,True
Williams,STR,24.0,SOFT,2.0,98913000000,23.0,True,1,True
Williams,STR,25.0,SOFT,2.0,98787000000,24.0,True,1,True
Williams,STR,26.0,SOFT,2.0,98894000000,25.0,True,1,True
Williams,STR,27.0,SOFT,2.0,98579000000,26.0,True,1,True
Williams,STR,28.0,SOFT,2.0,98620000000,27.0,True,1,True
Williams,STR,29.0,SOFT,2.0,98683000000,28.0,True,1,True
Williams,STR,30.0,SOFT,2.0,98803000000,29.0,True,1,True
Williams,STR,31.0,SOFT,2.0,99081000000,30.0,True,1,True
Williams,STR,32.0,SOFT,2.0,99399000000,31.0,True,1,True
Williams,STR,33.0,SOFT,2.0,98747000000,32.0,True,1,True
Williams,STR,34.0,SOFT,2.0,98378000000,33.0,True,1,True
Williams,STR,35.0,SOFT,2.0,98319000000,34.0,True,1,True
Williams,STR,36.0,SOFT,2.0,99237000000,35.0,True,1,True
Williams,STR,37.0,SOFT,2.0,99839000000,36.0,True,1,True
Williams,STR,38.0,SOFT,2.0,98980000000,37.0,True,1,True
Williams,STR,39.0,SOFT,2.0,98799000000,38.0,True,1,True
Williams,STR,40.0,SOFT,2.0,99619000000,39.0,True,1,True
Williams,STR,41.0,SOFT,2.0,101185000000,40.0,True,1,True
Williams,STR,42.0,SOFT,2.0,99358000000,41.0,True,1,True
Williams,STR,43.0,SOFT,2.0,99777000000,42.0,True,1,True
Williams,STR,44.0,SOFT,2.0,100859000000,43.0,True,1,True
Williams,STR,45.0,SOFT,2.0,100678000000,44.0,True,1,True
Williams,STR,46.0,SOFT,2.0,99927000000,45.0,True,1,True
Williams,STR,47.0,SOFT,2.0,100080000000,46.0,True,1,True
Williams,STR,48.0,SOFT,2.0,100714000000,47.0,True,1,True
