['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,VAN,2.0,SUPERSOFT,1.0,None,1.0,True,4,False
McLaren,VAN,3.0,SUPERSOFT,1.0,148221000000,2.0,True,4,False
McLaren,VAN,4.0,SUPERSOFT,1.0,None,3.0,True,4,False
McLaren,VAN,5.0,SUPERSOFT,1.0,133241000000,4.0,True,4,False
McLaren,VAN,6.0,SUPERSOFT,1.0,101323000000,5.0,True,2,False
McLaren,VAN,7.0,SUPERSOFT,1.0,101971000000,6.0,True,1,True
McLaren,VAN,8.0,SUPERSOFT,1.0,100919000000,7.0,True,1,True
McLaren,VAN,9.0,SUPERSOFT,1.0,100963000000,8.0,True,1,True
McLaren,VAN,10.0,SUPERSOFT,1.0,100086000000,9.0,True,1,True
McLaren,VAN,11.0,SUPERSOFT,1.0,100980000000,10.0,True,1,True
McLaren,VAN,12.0,SUPERSOFT,1.0,100084000000,11.0,True,1,True
McLaren,VAN,13.0,SUPERSOFT,1.0,99240000000,12.0,True,1,True
McLaren,VAN,14.0,SUPERSOFT,1.0,99645000000,13.0,True,1,True
McLaren,VAN,15.0,SUPERSOFT,1.0,99374000000,14.0,True,1,True
McLaren,VAN,16.0,SUPERSOFT,1.0,99232000000,15.0,True,1,True
McLaren,VAN,17.0,SUPERSOFT,1.0,99279000000,16.0,True,1,True
McLaren,VAN,18.0,SUPERSOFT,1.0,99147000000,17.0,True,1,True
McLaren,VAN,19.0,SUPERSOFT,1.0,98829000000,18.0,True,1,True
McLaren,VAN,20.0,SUPERSOFT,1.0,98638000000,19.0,True,1,True
McLaren,VAN,21.0,SUPERSOFT,1.0,99182000000,20.0,True,1,True
McLaren,VAN,22.0,SUPERSOFT,1.0,98874000000,21.0,True,1,True
McLaren,VAN,23.0,SUPERSOFT,1.0,98683000000,22.0,True,1,True
McLaren,VAN,24.0,SUPERSOFT,1.0,98717000000,23.0,True,1,True
McLaren,VAN,25.0,SUPERSOFT,1.0,98476000000,24.0,True,1,True
McLaren,VAN,26.0,SUPERSOFT,1.0,98488000000,25.0,True,1,True
McLaren,VAN,27.0,SUPERSOFT,1.0,98396000000,26.0,True,1,True
McLaren,VAN,28.0,SUPERSOFT,1.0,98261000000,27.0,True,1,True
McLaren,VAN,29.0,SUPERSOFT,1.0,98048000000,28.0,True,1,True
McLaren,VAN,30.0,SUPERSOFT,1.0,98316000000,29.0,True,1,True
McLaren,VAN,31.0,SUPERSOFT,1.0,98277000000,30.0,True,1,True
McLaren,VAN,32.0,SUPERSOFT,1.0,97854000000,31.0,True,1,True
McLaren,VAN,33.0,SUPERSOFT,1.0,97781000000,32.0,True,1,True
McLaren,VAN,34.0,SUPERSOFT,1.0,97763000000,33.0,True,1,True
McLaren,VAN,35.0,SUPERSOFT,1.0,99058000000,34.0,True,1,True
McLaren,VAN,36.0,SUPERSOFT,1.0,98105000000,35.0,True,1,True
McLaren,VAN,37.0,SUPERSOFT,1.0,99030000000,36.0,True,1,True
McLaren,VAN,38.0,SUPERSOFT,1.0,97845000000,37.0,True,1,True
McLaren,VAN,39.0,SUPERSOFT,1.0,97706000000,38.0,True,1,True
McLaren,VAN,40.0,SUPERSOFT,1.0,118682000000,39.0,True,1,False
McLaren,VAN,41.0,ULTRASOFT,2.0,102411000000,1.0,True,1,False
McLaren,VAN,42.0,ULTRASOFT,2.0,97687000000,2.0,True,1,True
McLaren,VAN,43.0,ULTRASOFT,2.0,97372000000,3.0,True,1,True
McLaren,VAN,44.0,ULTRASOFT,2.0,97212000000,4.0,True,1,True
McLaren,VAN,45.0,ULTRASOFT,2.0,96844000000,5.0,True,1,True
McLaren,VAN,46.0,ULTRASOFT,2.0,96761000000,6.0,True,1,True
McLaren,VAN,47.0,ULTRASOFT,2.0,96698000000,7.0,True,1,True
McLaren,VAN,48.0,ULTRASOFT,2.0,96675000000,8.0,True,1,True
McLaren,VAN,49.0,ULTRASOFT,2.0,97694000000,9.0,True,2,True
McLaren,VAN,50.0,ULTRASOFT,2.0,107282000000,10.0,True,26,False
McLaren,VAN,51.0,ULTRASOFT,2.0,129993000000,11.0,True,672,False
McLaren,VAN,52.0,ULTRASOFT,2.0,97982000000,12.0,True,2,True
