['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,VER,2.0,SUPERSOFT,1.0,None,4.0,False,4,False
Red Bull Racing,VER,3.0,SUPERSOFT,1.0,148906000000,5.0,False,4,False
Red Bull Racing,VER,4.0,SUPERSOFT,1.0,149073000000,6.0,False,4,False
Red Bull Racing,VER,5.0,SUPERSOFT,1.0,144069000000,7.0,False,4,False
Red Bull Racing,VER,6.0,SUPERSOFT,1.0,98055000000,8.0,False,2,False
Red Bull Racing,VER,7.0,SUPERSOFT,1.0,97728000000,9.0,False,1,True
Red Bull Racing,VER,8.0,SUPERSOFT,1.0,97546000000,10.0,False,1,True
Red Bull Racing,VER,9.0,SUPERSOFT,1.0,97588000000,11.0,False,1,True
Red Bull Racing,VER,10.0,SUPERSOFT,1.0,97756000000,12.0,False,1,True
Red Bull Racing,VER,11.0,SUPERSOFT,1.0,97704000000,13.0,False,1,True
Red Bull Racing,VER,12.0,SUPERSOFT,1.0,97455000000,14.0,False,1,True
Red Bull Racing,VER,13.0,SUPERSOFT,1.0,97402000000,15.0,False,1,True
Red Bull Racing,VER,14.0,SUPERSOFT,1.0,97413000000,16.0,False,1,True
Red Bull Racing,VER,15.0,SUPERSOFT,1.0,97151000000,17.0,False,1,True
Red Bull Racing,VER,16.0,SUPERSOFT,1.0,97134000000,18.0,False,1,True
Red Bull Racing,VER,17.0,SUPERSOFT,1.0,96959000000,19.0,False,1,True
Red Bull Racing,VER,18.0,SUPERSOFT,1.0,96749000000,20.0,False,1,True
Red Bull Racing,VER,19.0,SUPERSOFT,1.0,96806000000,21.0,False,1,True
Red Bull Racing,VER,20.0,SUPERSOFT,1.0,96954000000,22.0,False,1,True
Red Bull Racing,VER,21.0,SUPERSOFT,1.0,96633000000,23.0,False,1,True
Red Bull Racing,VER,22.0,SUPERSOFT,1.0,96802000000,24.0,False,1,True
Red Bull Racing,VER,23.0,SUPERSOFT,1.0,96863000000,25.0,False,1,True
Red Bull Racing,VER,24.0,SUPERSOFT,1.0,97046000000,26.0,False,1,True
Red Bull Racing,VER,25.0,SUPERSOFT,1.0,117620000000,27.0,False,1,False
Red Bull Racing,VER,26.0,SOFT,2.0,99203000000,1.0,True,1,False
Red Bull Racing,VER,27.0,SOFT,2.0,95914000000,2.0,True,1,True
Red Bull Racing,VER,28.0,SOFT,2.0,95946000000,3.0,True,1,True
Red Bull Racing,VER,29.0,SOFT,2.0,95706000000,4.0,True,1,True
Red Bull Racing,VER,30.0,SOFT,2.0,95757000000,5.0,True,1,True
Red Bull Racing,VER,31.0,SOFT,2.0,95925000000,6.0,True,1,True
Red Bull Racing,VER,32.0,SOFT,2.0,95598000000,7.0,True,1,True
Red Bull Racing,VER,33.0,SOFT,2.0,95704000000,8.0,True,1,True
Red Bull Racing,VER,34.0,SOFT,2.0,95581000000,9.0,True,1,True
Red Bull Racing,VER,35.0,SOFT,2.0,95357000000,10.0,True,1,True
Red Bull Racing,VER,36.0,SOFT,2.0,95155000000,11.0,True,1,True
Red Bull Racing,VER,37.0,SOFT,2.0,95210000000,12.0,True,1,True
Red Bull Racing,VER,38.0,SOFT,2.0,95446000000,13.0,True,1,True
Red Bull Racing,VER,39.0,SOFT,2.0,95620000000,14.0,True,1,True
Red Bull Racing,VER,40.0,SOFT,2.0,95511000000,15.0,True,1,True
Red Bull Racing,VER,41.0,SOFT,2.0,95065000000,16.0,True,1,True
Red Bull Racing,VER,42.0,SOFT,2.0,96507000000,17.0,True,1,True
Red Bull Racing,VER,43.0,SOFT,2.0,95227000000,18.0,True,1,True
Red Bull Racing,VER,44.0,SOFT,2.0,95118000000,19.0,True,1,True
Red Bull Racing,VER,45.0,SOFT,2.0,94695000000,20.0,True,1,True
Red Bull Racing,VER,46.0,SOFT,2.0,94789000000,21.0,True,1,True
Red Bull Racing,VER,47.0,SOFT,2.0,94275000000,22.0,True,1,True
Red Bull Racing,VER,48.0,SOFT,2.0,94905000000,23.0,True,1,True
Red Bull Racing,VER,49.0,SOFT,2.0,94967000000,24.0,True,1,True
Red Bull Racing,VER,50.0,SOFT,2.0,94968000000,25.0,True,1,True
Red Bull Racing,VER,51.0,SOFT,2.0,96032000000,26.0,True,2,True
Red Bull Racing,VER,52.0,SOFT,2.0,131165000000,27.0,True,26,False
Red Bull Racing,VER,53.0,SOFT,2.0,105995000000,28.0,True,672,False
