['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,VET,2.0,SOFT,2.0,129901000000,1.0,True,4,False
Ferrari,VET,3.0,SOFT,2.0,148587000000,2.0,True,4,False
Ferrari,VET,4.0,SOFT,2.0,None,3.0,True,4,False
Ferrari,VET,5.0,SOFT,2.0,126336000000,4.0,True,4,False
Ferrari,VET,6.0,SOFT,2.0,100687000000,5.0,True,2,False
Ferrari,VET,7.0,SOFT,2.0,100011000000,6.0,True,1,True
Ferrari,VET,8.0,SOFT,2.0,101150000000,7.0,True,1,True
Ferrari,VET,9.0,SOFT,2.0,98232000000,8.0,True,1,True
Ferrari,VET,10.0,SOFT,2.0,98460000000,9.0,True,1,True
Ferrari,VET,11.0,SOFT,2.0,99291000000,10.0,True,1,True
Ferrari,VET,12.0,SOFT,2.0,99638000000,11.0,True,1,True
Ferrari,VET,13.0,SOFT,2.0,98519000000,12.0,True,1,True
Ferrari,VET,14.0,SOFT,2.0,97644000000,13.0,True,1,True
Ferrari,VET,15.0,SOFT,2.0,97358000000,14.0,True,1,True
Ferrari,VET,16.0,SOFT,2.0,97562000000,15.0,True,1,True
Ferrari,VET,17.0,SOFT,2.0,97317000000,16.0,True,1,True
Ferrari,VET,18.0,SOFT,2.0,97316000000,17.0,True,1,True
Ferrari,VET,19.0,SOFT,2.0,97434000000,18.0,True,1,True
Ferrari,VET,20.0,SOFT,2.0,97187000000,19.0,True,1,True
Ferrari,VET,21.0,SOFT,2.0,96995000000,20.0,True,1,True
Ferrari,VET,22.0,SOFT,2.0,96806000000,21.0,True,1,True
Ferrari,VET,23.0,SOFT,2.0,96896000000,22.0,True,1,True
Ferrari,VET,24.0,SOFT,2.0,96663000000,23.0,True,1,True
Ferrari,VET,25.0,SOFT,2.0,96282000000,24.0,True,1,True
Ferrari,VET,26.0,SOFT,2.0,97183000000,25.0,True,1,True
Ferrari,VET,27.0,SOFT,2.0,96518000000,26.0,True,1,True
Ferrari,VET,28.0,SOFT,2.0,96558000000,27.0,True,1,True
Ferrari,VET,29.0,SOFT,2.0,96516000000,28.0,True,1,True
Ferrari,VET,30.0,SOFT,2.0,96324000000,29.0,True,1,True
Ferrari,VET,31.0,SOFT,2.0,96640000000,30.0,True,1,True
Ferrari,VET,32.0,SOFT,2.0,96312000000,31.0,True,1,True
Ferrari,VET,33.0,SOFT,2.0,96373000000,32.0,True,1,True
Ferrari,VET,34.0,SOFT,2.0,97457000000,33.0,True,1,True
Ferrari,VET,35.0,SOFT,2.0,97116000000,34.0,True,1,True
Ferrari,VET,36.0,SOFT,2.0,96876000000,35.0,True,1,True
Ferrari,VET,37.0,SOFT,2.0,97485000000,36.0,True,1,True
Ferrari,VET,38.0,SOFT,2.0,97410000000,37.0,True,1,True
Ferrari,VET,39.0,SOFT,2.0,98070000000,38.0,True,1,True
Ferrari,VET,40.0,SOFT,2.0,125085000000,39.0,True,1,False
Ferrari,VET,41.0,ULTRASOFT,3.0,98746000000,4.0,False,1,False
Ferrari,VET,42.0,ULTRASOFT,3.0,94485000000,5.0,False,1,True
Ferrari,VET,43.0,ULTRASOFT,3.0,95153000000,6.0,False,1,True
Ferrari,VET,44.0,ULTRASOFT,3.0,94793000000,7.0,False,1,True
Ferrari,VET,45.0,ULTRASOFT,3.0,94579000000,8.0,False,1,True
Ferrari,VET,46.0,ULTRASOFT,3.0,94801000000,9.0,False,1,True
Ferrari,VET,47.0,ULTRASOFT,3.0,95868000000,10.0,False,1,True
Ferrari,VET,48.0,ULTRASOFT,3.0,96311000000,11.0,False,1,True
Ferrari,VET,49.0,ULTRASOFT,3.0,96397000000,12.0,False,1,True
Ferrari,VET,50.0,ULTRASOFT,3.0,97647000000,13.0,False,2,True
Ferrari,VET,51.0,ULTRASOFT,3.0,115452000000,14.0,False,26,False
Ferrari,VET,52.0,ULTRASOFT,3.0,121057000000,15.0,False,672,False
Ferrari,VET,53.0,ULTRASOFT,3.0,95239000000,16.0,False,2,True
