['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,ERI,2,SOFT,1.0,82237000000,1.0,True,1,True
Sauber,ERI,3,SOFT,1.0,80849000000,2.0,True,1,True
Sauber,ERI,4,SOFT,1.0,80368000000,3.0,True,1,True
Sauber,ERI,5,SOFT,1.0,80293000000,4.0,True,1,True
Sauber,ERI,6,SOFT,1.0,80349000000,5.0,True,1,True
Sauber,ERI,7,SOFT,1.0,80430000000,6.0,True,1,True
Sauber,ERI,8,SOFT,1.0,80969000000,7.0,True,1,True
Sauber,ERI,9,SOFT,1.0,81611000000,8.0,True,1,True
Sauber,ERI,10,SOFT,1.0,80920000000,9.0,True,1,True
Sauber,ERI,11,SOFT,1.0,80356000000,10.0,True,1,True
Sauber,ERI,12,SOFT,1.0,80191000000,11.0,True,1,True
Sauber,ERI,13,SOFT,1.0,80586000000,12.0,True,1,True
Sauber,ERI,14,SOFT,1.0,80711000000,13.0,True,1,True
Sauber,ERI,15,SOFT,1.0,80665000000,14.0,True,1,False
Sauber,ERI,16,SOFT,1.0,80777000000,15.0,True,1,True
Sauber,ERI,17,SOFT,1.0,80726000000,16.0,True,1,True
Sauber,ERI,18,SOFT,1.0,80473000000,17.0,True,1,True
Sauber,ERI,19,SOFT,1.0,80512000000,18.0,True,1,True
Sauber,ERI,20,SOFT,1.0,80565000000,19.0,True,1,True
Sauber,ERI,21,SOFT,1.0,80935000000,20.0,True,1,True
Sauber,ERI,22,SOFT,1.0,81809000000,21.0,True,1,True
Sauber,ERI,23,SOFT,1.0,80212000000,22.0,True,1,True
Sauber,ERI,24,SOFT,1.0,80068000000,23.0,True,1,True
Sauber,ERI,25,SOFT,1.0,80135000000,24.0,True,1,True
Sauber,ERI,26,SOFT,1.0,80146000000,25.0,True,1,True
Sauber,ERI,27,SOFT,1.0,80187000000,26.0,True,1,True
Sauber,ERI,28,SOFT,1.0,80743000000,27.0,True,2,True
Sauber,ERI,29,SOFT,1.0,80987000000,28.0,True,2,True
Sauber,ERI,30,SOFT,1.0,81205000000,29.0,True,1,True
Sauber,ERI,31,SOFT,1.0,80418000000,30.0,True,1,True
Sauber,ERI,32,SOFT,1.0,79734000000,31.0,True,1,True
Sauber,ERI,33,SOFT,1.0,80832000000,32.0,True,1,True
Sauber,ERI,34,SOFT,1.0,80803000000,33.0,True,1,True
Sauber,ERI,35,SOFT,1.0,79967000000,34.0,True,1,True
Sauber,ERI,36,SOFT,1.0,79591000000,35.0,True,1,True
Sauber,ERI,37,SOFT,1.0,79866000000,36.0,True,1,True
Sauber,ERI,38,SOFT,1.0,83374000000,37.0,True,1,False
Sauber,ERI,39,ULTRASOFT,2.0,92922000000,1.0,True,1,False
Sauber,ERI,40,ULTRASOFT,2.0,78589000000,2.0,True,1,True
Sauber,ERI,41,ULTRASOFT,2.0,79293000000,3.0,True,1,True
Sauber,ERI,42,ULTRASOFT,2.0,79005000000,4.0,True,1,True
Sauber,ERI,43,ULTRASOFT,2.0,78918000000,5.0,True,1,True
Sauber,ERI,44,ULTRASOFT,2.0,80382000000,6.0,True,1,True
Sauber,ERI,45,ULTRASOFT,2.0,80977000000,7.0,True,1,True
Sauber,ERI,46,ULTRASOFT,2.0,79639000000,8.0,True,1,True
Sauber,ERI,47,ULTRASOFT,2.0,79719000000,9.0,True,2,True
Sauber,ERI,48,ULTRASOFT,2.0,81921000000,10.0,True,2,True
Sauber,ERI,49,ULTRASOFT,2.0,84396000000,11.0,True,1,True
Sauber,ERI,50,ULTRASOFT,2.0,91411000000,12.0,True,2,True
Sauber,ERI,51,ULTRASOFT,2.0,102921000000,13.0,True,24,False
Sauber,ERI,52,ULTRASOFT,2.0,118496000000,14.0,True,4,False
Sauber,ERI,53,ULTRASOFT,2.0,129080000000,15.0,True,4,False
Sauber,ERI,54,ULTRASOFT,2.0,106648000000,16.0,True,4,False
Sauber,ERI,55,ULTRASOFT,2.0,91730000000,17.0,True,4,False
Sauber,ERI,56,ULTRASOFT,2.0,87762000000,18.0,True,4,False
Sauber,ERI,57,ULTRASOFT,2.0,96506000000,19.0,True,4,False
Sauber,ERI,58,ULTRASOFT,2.0,79797000000,20.0,True,1,False
Sauber,ERI,59,ULTRASOFT,2.0,78797000000,21.0,True,1,True
Sauber,ERI,60,ULTRASOFT,2.0,78858000000,22.0,True,1,True
Sauber,ERI,61,ULTRASOFT,2.0,78627000000,23.0,True,1,True
Sauber,ERI,62,ULTRASOFT,2.0,78611000000,24.0,True,1,True
Sauber,ERI,63,ULTRASOFT,2.0,78156000000,25.0,True,1,True
Sauber,ERI,64,ULTRASOFT,2.0,78893000000,26.0,True,1,True
Sauber,ERI,65,ULTRASOFT,2.0,77745000000,27.0,True,1,True
Sauber,ERI,66,ULTRASOFT,2.0,78057000000,28.0,True,1,True
Sauber,ERI,67,ULTRASOFT,2.0,78337000000,29.0,True,1,True
