['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,GAS,2,SOFT,1.0,83165000000,1.0,True,1,True
Toro Rosso,GAS,3,SOFT,1.0,83420000000,2.0,True,1,True
Toro Rosso,GAS,4,SOFT,1.0,81012000000,3.0,True,1,True
Toro Rosso,GAS,5,SOFT,1.0,81399000000,4.0,True,1,True
Toro Rosso,GAS,6,SOFT,1.0,81024000000,5.0,True,1,True
Toro Rosso,GAS,7,SOFT,1.0,81166000000,6.0,True,1,True
Toro Rosso,GAS,8,SOFT,1.0,81169000000,7.0,True,1,True
Toro Rosso,GAS,9,SOFT,1.0,81188000000,8.0,True,1,True
Toro Rosso,GAS,10,SOFT,1.0,80932000000,9.0,True,1,True
Toro Rosso,GAS,11,SOFT,1.0,81001000000,10.0,True,1,True
Toro Rosso,GAS,12,SOFT,1.0,80466000000,11.0,True,1,True
Toro Rosso,GAS,13,SOFT,1.0,80781000000,12.0,True,1,True
Toro Rosso,GAS,14,SOFT,1.0,80889000000,13.0,True,1,True
Toro Rosso,GAS,15,SOFT,1.0,81531000000,14.0,True,1,True
Toro Rosso,GAS,16,SOFT,1.0,81516000000,15.0,True,1,True
Toro Rosso,GAS,17,SOFT,1.0,80614000000,16.0,True,1,True
Toro Rosso,GAS,18,SOFT,1.0,80159000000,17.0,True,1,True
Toro Rosso,GAS,19,SOFT,1.0,80528000000,18.0,True,1,True
Toro Rosso,GAS,20,SOFT,1.0,80581000000,19.0,True,1,True
Toro Rosso,GAS,21,SOFT,1.0,80735000000,20.0,True,1,True
Toro Rosso,GAS,22,SOFT,1.0,81539000000,21.0,True,1,True
Toro Rosso,GAS,23,SOFT,1.0,81191000000,22.0,True,1,True
Toro Rosso,GAS,24,SOFT,1.0,81125000000,23.0,True,1,True
Toro Rosso,GAS,25,SOFT,1.0,80797000000,24.0,True,1,True
Toro Rosso,GAS,26,SOFT,1.0,80896000000,25.0,True,1,True
Toro Rosso,GAS,27,SOFT,1.0,81653000000,26.0,True,1,True
Toro Rosso,GAS,28,SOFT,1.0,80193000000,27.0,True,2,True
Toro Rosso,GAS,29,SOFT,1.0,79176000000,28.0,True,2,True
Toro Rosso,GAS,30,SOFT,1.0,79736000000,29.0,True,1,True
Toro Rosso,GAS,31,SOFT,1.0,79485000000,30.0,True,1,True
Toro Rosso,GAS,32,SOFT,1.0,79189000000,31.0,True,1,True
Toro Rosso,GAS,33,SOFT,1.0,79417000000,32.0,True,1,True
Toro Rosso,GAS,34,SOFT,1.0,79439000000,33.0,True,1,True
Toro Rosso,GAS,35,SOFT,1.0,82126000000,34.0,True,1,True
Toro Rosso,GAS,36,SOFT,1.0,79956000000,35.0,True,1,True
Toro Rosso,GAS,37,SOFT,1.0,80851000000,36.0,True,1,True
Toro Rosso,GAS,38,SOFT,1.0,80720000000,37.0,True,1,True
Toro Rosso,GAS,39,SOFT,1.0,79963000000,38.0,True,1,True
Toro Rosso,GAS,40,SOFT,1.0,81802000000,39.0,True,1,True
Toro Rosso,GAS,41,SOFT,1.0,81329000000,40.0,True,1,True
Toro Rosso,GAS,42,SOFT,1.0,80870000000,41.0,True,1,True
Toro Rosso,GAS,43,SOFT,1.0,84298000000,42.0,True,1,False
Toro Rosso,GAS,44,WET,2.0,104174000000,1.0,True,1,False
Toro Rosso,GAS,45,WET,2.0,94544000000,2.0,True,1,True
Toro Rosso,GAS,46,WET,2.0,107804000000,3.0,True,2,False
Toro Rosso,GAS,47,ULTRASOFT,3.0,99221000000,1.0,True,2,False
Toro Rosso,GAS,48,ULTRASOFT,3.0,86673000000,2.0,True,1,True
Toro Rosso,GAS,49,ULTRASOFT,3.0,95164000000,3.0,True,2,True
Toro Rosso,GAS,50,ULTRASOFT,3.0,109341000000,4.0,True,24,False
Toro Rosso,GAS,51,ULTRASOFT,3.0,119833000000,5.0,True,4,False
Toro Rosso,GAS,52,ULTRASOFT,3.0,111354000000,6.0,True,4,False
Toro Rosso,GAS,53,ULTRASOFT,3.0,106687000000,7.0,True,4,False
Toro Rosso,GAS,54,ULTRASOFT,3.0,89133000000,8.0,True,4,False
Toro Rosso,GAS,55,ULTRASOFT,3.0,85168000000,9.0,True,4,False
Toro Rosso,GAS,56,ULTRASOFT,3.0,96432000000,10.0,True,4,False
Toro Rosso,GAS,57,ULTRASOFT,3.0,84184000000,11.0,True,1,False
Toro Rosso,GAS,58,ULTRASOFT,3.0,80669000000,12.0,True,1,True
Toro Rosso,GAS,59,ULTRASOFT,3.0,78584000000,13.0,True,1,True
Toro Rosso,GAS,60,ULTRASOFT,3.0,78336000000,14.0,True,1,True
Toro Rosso,GAS,61,ULTRASOFT,3.0,78121000000,15.0,True,1,True
Toro Rosso,GAS,62,ULTRASOFT,3.0,78770000000,16.0,True,1,True
Toro Rosso,GAS,63,ULTRASOFT,3.0,78256000000,17.0,True,1,True
Toro Rosso,GAS,64,ULTRASOFT,3.0,78148000000,18.0,True,1,True
Toro Rosso,GAS,65,ULTRASOFT,3.0,78442000000,19.0,True,1,True
Toro Rosso,GAS,66,ULTRASOFT,3.0,77762000000,20.0,True,1,True
