['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2,ULTRASOFT,1.0,80914000000,5.0,False,1,True
Haas F1 Team,GRO,3,ULTRASOFT,1.0,80461000000,6.0,False,1,True
Haas F1 Team,GRO,4,ULTRASOFT,1.0,80124000000,7.0,False,1,True
Haas F1 Team,GRO,5,ULTRASOFT,1.0,80247000000,8.0,False,1,True
Haas F1 Team,GRO,6,ULTRASOFT,1.0,80375000000,9.0,False,1,True
Haas F1 Team,GRO,7,ULTRASOFT,1.0,81555000000,10.0,False,1,True
Haas F1 Team,GRO,8,ULTRASOFT,1.0,81366000000,11.0,False,1,True
Haas F1 Team,GRO,9,ULTRASOFT,1.0,80649000000,12.0,False,1,True
Haas F1 Team,GRO,10,ULTRASOFT,1.0,80690000000,13.0,False,1,True
Haas F1 Team,GRO,11,ULTRASOFT,1.0,80265000000,14.0,False,1,True
Haas F1 Team,GRO,12,ULTRASOFT,1.0,80429000000,15.0,False,1,True
Haas F1 Team,GRO,13,ULTRASOFT,1.0,80765000000,16.0,False,1,True
Haas F1 Team,GRO,14,ULTRASOFT,1.0,80039000000,17.0,False,1,True
Haas F1 Team,GRO,15,ULTRASOFT,1.0,80164000000,18.0,False,1,True
Haas F1 Team,GRO,16,ULTRASOFT,1.0,80264000000,19.0,False,1,True
Haas F1 Team,GRO,17,ULTRASOFT,1.0,79737000000,20.0,False,1,True
Haas F1 Team,GRO,18,ULTRASOFT,1.0,79953000000,21.0,False,1,True
Haas F1 Team,GRO,19,ULTRASOFT,1.0,79909000000,22.0,False,1,True
Haas F1 Team,GRO,20,ULTRASOFT,1.0,79945000000,23.0,False,1,True
Haas F1 Team,GRO,21,ULTRASOFT,1.0,83258000000,24.0,False,1,False
Haas F1 Team,GRO,22,MEDIUM,2.0,95865000000,1.0,True,1,False
Haas F1 Team,GRO,23,MEDIUM,2.0,79058000000,2.0,True,1,True
Haas F1 Team,GRO,24,MEDIUM,2.0,79076000000,3.0,True,1,True
Haas F1 Team,GRO,25,MEDIUM,2.0,79705000000,4.0,True,1,True
Haas F1 Team,GRO,26,MEDIUM,2.0,78889000000,5.0,True,1,True
Haas F1 Team,GRO,27,MEDIUM,2.0,79348000000,6.0,True,1,True
Haas F1 Team,GRO,28,MEDIUM,2.0,80045000000,7.0,True,2,True
Haas F1 Team,GRO,29,MEDIUM,2.0,78675000000,8.0,True,2,True
Haas F1 Team,GRO,30,MEDIUM,2.0,79478000000,9.0,True,1,True
Haas F1 Team,GRO,31,MEDIUM,2.0,79312000000,10.0,True,1,True
