['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,HAM,2,SOFT,1.0,81034000000,1.0,True,1,True
Mercedes,HAM,3,SOFT,1.0,79972000000,2.0,True,1,True
Mercedes,HAM,4,SOFT,1.0,79676000000,3.0,True,1,True
Mercedes,HAM,5,SOFT,1.0,80444000000,4.0,True,1,True
Mercedes,HAM,6,SOFT,1.0,79236000000,5.0,True,1,True
Mercedes,HAM,7,SOFT,1.0,80649000000,6.0,True,1,True
Mercedes,HAM,8,SOFT,1.0,79365000000,7.0,True,1,True
Mercedes,HAM,9,SOFT,1.0,79401000000,8.0,True,1,True
Mercedes,HAM,10,SOFT,1.0,80081000000,9.0,True,1,True
Mercedes,HAM,11,SOFT,1.0,78607000000,10.0,True,1,True
Mercedes,HAM,12,SOFT,1.0,78873000000,11.0,True,1,True
Mercedes,HAM,13,SOFT,1.0,79301000000,12.0,True,1,True
Mercedes,HAM,14,SOFT,1.0,78029000000,13.0,True,1,True
Mercedes,HAM,15,SOFT,1.0,78657000000,14.0,True,1,True
Mercedes,HAM,16,SOFT,1.0,78180000000,15.0,True,1,True
Mercedes,HAM,17,SOFT,1.0,78021000000,16.0,True,1,True
Mercedes,HAM,18,SOFT,1.0,78146000000,17.0,True,1,True
Mercedes,HAM,19,SOFT,1.0,78065000000,18.0,True,1,True
Mercedes,HAM,20,SOFT,1.0,78136000000,19.0,True,1,True
Mercedes,HAM,21,SOFT,1.0,77929000000,20.0,True,1,True
Mercedes,HAM,22,SOFT,1.0,78062000000,21.0,True,1,True
Mercedes,HAM,23,SOFT,1.0,77948000000,22.0,True,1,True
Mercedes,HAM,24,SOFT,1.0,77799000000,23.0,True,1,True
Mercedes,HAM,25,SOFT,1.0,77834000000,24.0,True,1,True
Mercedes,HAM,26,SOFT,1.0,78701000000,25.0,True,1,True
Mercedes,HAM,27,SOFT,1.0,77890000000,26.0,True,1,True
Mercedes,HAM,28,SOFT,1.0,78116000000,27.0,True,1,True
Mercedes,HAM,29,SOFT,1.0,78856000000,28.0,True,2,True
Mercedes,HAM,30,SOFT,1.0,77523000000,29.0,True,2,True
Mercedes,HAM,31,SOFT,1.0,77661000000,30.0,True,1,True
Mercedes,HAM,32,SOFT,1.0,78070000000,31.0,True,1,True
Mercedes,HAM,33,SOFT,1.0,77820000000,32.0,True,1,True
Mercedes,HAM,34,SOFT,1.0,78235000000,33.0,True,1,True
Mercedes,HAM,35,SOFT,1.0,78948000000,34.0,True,1,True
Mercedes,HAM,36,SOFT,1.0,78492000000,35.0,True,1,True
Mercedes,HAM,37,SOFT,1.0,78714000000,36.0,True,1,True
Mercedes,HAM,38,SOFT,1.0,78061000000,37.0,True,1,True
Mercedes,HAM,39,SOFT,1.0,78012000000,38.0,True,1,True
Mercedes,HAM,40,SOFT,1.0,77870000000,39.0,True,1,True
Mercedes,HAM,41,SOFT,1.0,78244000000,40.0,True,1,True
Mercedes,HAM,42,SOFT,1.0,81893000000,41.0,True,1,False
Mercedes,HAM,43,ULTRASOFT,2.0,91116000000,1.0,True,1,False
Mercedes,HAM,44,ULTRASOFT,2.0,77465000000,2.0,True,1,True
Mercedes,HAM,45,ULTRASOFT,2.0,77251000000,3.0,True,1,True
Mercedes,HAM,46,ULTRASOFT,2.0,79386000000,4.0,True,1,True
Mercedes,HAM,47,ULTRASOFT,2.0,76957000000,5.0,True,1,True
Mercedes,HAM,48,ULTRASOFT,2.0,77792000000,6.0,True,2,True
Mercedes,HAM,49,ULTRASOFT,2.0,78899000000,7.0,True,2,True
Mercedes,HAM,50,ULTRASOFT,2.0,81122000000,8.0,True,1,True
Mercedes,HAM,51,ULTRASOFT,2.0,89258000000,9.0,True,2,True
Mercedes,HAM,52,ULTRASOFT,2.0,102488000000,10.0,True,24,False
Mercedes,HAM,53,ULTRASOFT,2.0,129219000000,11.0,True,4,False
Mercedes,HAM,54,ULTRASOFT,2.0,129292000000,12.0,True,4,False
Mercedes,HAM,55,ULTRASOFT,2.0,137019000000,13.0,True,4,False
Mercedes,HAM,56,ULTRASOFT,2.0,128933000000,14.0,True,4,False
Mercedes,HAM,57,ULTRASOFT,2.0,117415000000,15.0,True,4,False
Mercedes,HAM,58,ULTRASOFT,2.0,76596000000,16.0,True,1,False
Mercedes,HAM,59,ULTRASOFT,2.0,75745000000,17.0,True,1,True
Mercedes,HAM,60,ULTRASOFT,2.0,76374000000,18.0,True,1,True
Mercedes,HAM,61,ULTRASOFT,2.0,76070000000,19.0,True,1,True
Mercedes,HAM,62,ULTRASOFT,2.0,76188000000,20.0,True,1,True
Mercedes,HAM,63,ULTRASOFT,2.0,75708000000,21.0,True,1,True
Mercedes,HAM,64,ULTRASOFT,2.0,75831000000,22.0,True,1,True
Mercedes,HAM,65,ULTRASOFT,2.0,75758000000,23.0,True,1,True
Mercedes,HAM,66,ULTRASOFT,2.0,75545000000,24.0,True,1,True
Mercedes,HAM,67,ULTRASOFT,2.0,75808000000,25.0,True,1,True
