['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,HAR,2,SOFT,1.0,83088000000,1.0,True,1,True
Toro Rosso,HAR,3,SOFT,1.0,81717000000,2.0,True,1,True
Toro Rosso,HAR,4,SOFT,1.0,81666000000,3.0,True,1,True
Toro Rosso,HAR,5,SOFT,1.0,81409000000,4.0,True,1,True
Toro Rosso,HAR,6,SOFT,1.0,81130000000,5.0,True,1,True
Toro Rosso,HAR,7,SOFT,1.0,80968000000,6.0,True,1,True
Toro Rosso,HAR,8,SOFT,1.0,81028000000,7.0,True,1,True
Toro Rosso,HAR,9,SOFT,1.0,81061000000,8.0,True,1,True
Toro Rosso,HAR,10,SOFT,1.0,80796000000,9.0,True,1,True
Toro Rosso,HAR,11,SOFT,1.0,80563000000,10.0,True,1,True
Toro Rosso,HAR,12,SOFT,1.0,80667000000,11.0,True,1,True
Toro Rosso,HAR,13,SOFT,1.0,80458000000,12.0,True,1,True
Toro Rosso,HAR,14,SOFT,1.0,80416000000,13.0,True,1,True
Toro Rosso,HAR,15,SOFT,1.0,81228000000,14.0,True,1,True
Toro Rosso,HAR,16,SOFT,1.0,81280000000,15.0,True,1,True
Toro Rosso,HAR,17,SOFT,1.0,80905000000,16.0,True,1,True
Toro Rosso,HAR,18,SOFT,1.0,80569000000,17.0,True,1,True
Toro Rosso,HAR,19,SOFT,1.0,80747000000,18.0,True,1,True
Toro Rosso,HAR,20,SOFT,1.0,81185000000,19.0,True,1,True
Toro Rosso,HAR,21,SOFT,1.0,80377000000,20.0,True,1,True
Toro Rosso,HAR,22,SOFT,1.0,82489000000,21.0,True,1,True
Toro Rosso,HAR,23,SOFT,1.0,81144000000,22.0,True,1,True
Toro Rosso,HAR,24,SOFT,1.0,81806000000,23.0,True,1,True
Toro Rosso,HAR,25,SOFT,1.0,80751000000,24.0,True,1,True
Toro Rosso,HAR,26,SOFT,1.0,80053000000,25.0,True,1,True
Toro Rosso,HAR,27,SOFT,1.0,80789000000,26.0,True,1,True
Toro Rosso,HAR,28,SOFT,1.0,84204000000,27.0,True,2,False
Toro Rosso,HAR,29,MEDIUM,2.0,93781000000,1.0,True,2,False
Toro Rosso,HAR,30,MEDIUM,2.0,79284000000,2.0,True,1,True
Toro Rosso,HAR,31,MEDIUM,2.0,80841000000,3.0,True,1,True
Toro Rosso,HAR,32,MEDIUM,2.0,79055000000,4.0,True,1,True
Toro Rosso,HAR,33,MEDIUM,2.0,79407000000,5.0,True,1,True
Toro Rosso,HAR,34,MEDIUM,2.0,80543000000,6.0,True,1,True
Toro Rosso,HAR,35,MEDIUM,2.0,78804000000,7.0,True,1,True
Toro Rosso,HAR,36,MEDIUM,2.0,78563000000,8.0,True,1,True
Toro Rosso,HAR,37,MEDIUM,2.0,78889000000,9.0,True,1,True
Toro Rosso,HAR,38,MEDIUM,2.0,78875000000,10.0,True,1,True
Toro Rosso,HAR,39,MEDIUM,2.0,79111000000,11.0,True,1,True
Toro Rosso,HAR,40,MEDIUM,2.0,79055000000,12.0,True,1,True
Toro Rosso,HAR,41,MEDIUM,2.0,79126000000,13.0,True,1,True
Toro Rosso,HAR,42,MEDIUM,2.0,80284000000,14.0,True,1,True
Toro Rosso,HAR,43,MEDIUM,2.0,80244000000,15.0,True,1,True
Toro Rosso,HAR,44,MEDIUM,2.0,81509000000,16.0,True,1,True
Toro Rosso,HAR,45,MEDIUM,2.0,85325000000,17.0,True,1,True
Toro Rosso,HAR,46,MEDIUM,2.0,80840000000,18.0,True,1,True
Toro Rosso,HAR,47,MEDIUM,2.0,81105000000,19.0,True,2,True
Toro Rosso,HAR,48,MEDIUM,2.0,82455000000,20.0,True,2,True
Toro Rosso,HAR,49,MEDIUM,2.0,88397000000,21.0,True,1,True
Toro Rosso,HAR,50,MEDIUM,2.0,96090000000,22.0,True,2,True
Toro Rosso,HAR,51,MEDIUM,2.0,110801000000,23.0,True,24,False
Toro Rosso,HAR,52,MEDIUM,2.0,122783000000,24.0,True,4,False
Toro Rosso,HAR,53,ULTRASOFT,3.0,107237000000,1.0,True,4,False
Toro Rosso,HAR,54,ULTRASOFT,3.0,101860000000,2.0,True,4,False
Toro Rosso,HAR,55,ULTRASOFT,3.0,87263000000,3.0,True,4,False
Toro Rosso,HAR,56,ULTRASOFT,3.0,85051000000,4.0,True,4,False
Toro Rosso,HAR,57,ULTRASOFT,3.0,96392000000,5.0,True,4,False
Toro Rosso,HAR,58,ULTRASOFT,3.0,80059000000,6.0,True,1,False
Toro Rosso,HAR,59,ULTRASOFT,3.0,78682000000,7.0,True,1,True
Toro Rosso,HAR,60,ULTRASOFT,3.0,78363000000,8.0,True,1,True
Toro Rosso,HAR,61,ULTRASOFT,3.0,78258000000,9.0,True,1,True
Toro Rosso,HAR,62,ULTRASOFT,3.0,79683000000,10.0,True,1,True
Toro Rosso,HAR,63,ULTRASOFT,3.0,79160000000,11.0,True,1,True
Toro Rosso,HAR,64,ULTRASOFT,3.0,78254000000,12.0,True,1,True
Toro Rosso,HAR,65,ULTRASOFT,3.0,77897000000,13.0,True,1,True
Toro Rosso,HAR,66,ULTRASOFT,3.0,77681000000,14.0,True,1,False
Toro Rosso,HAR,67,ULTRASOFT,3.0,78268000000,15.0,True,1,True
