['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,LEC,2,ULTRASOFT,1.0,81183000000,4.0,False,1,True
Sauber,LEC,3,ULTRASOFT,1.0,80537000000,5.0,False,1,True
Sauber,LEC,4,ULTRASOFT,1.0,81217000000,6.0,False,1,True
Sauber,LEC,5,ULTRASOFT,1.0,80206000000,7.0,False,1,True
Sauber,LEC,6,ULTRASOFT,1.0,80466000000,8.0,False,1,True
Sauber,LEC,7,ULTRASOFT,1.0,80555000000,9.0,False,1,True
Sauber,LEC,8,ULTRASOFT,1.0,81091000000,10.0,False,1,True
Sauber,LEC,9,ULTRASOFT,1.0,80802000000,11.0,False,1,True
Sauber,LEC,10,ULTRASOFT,1.0,80688000000,12.0,False,1,True
Sauber,LEC,11,ULTRASOFT,1.0,80375000000,13.0,False,1,True
Sauber,LEC,12,ULTRASOFT,1.0,80139000000,14.0,False,1,True
Sauber,LEC,13,ULTRASOFT,1.0,80702000000,15.0,False,1,True
Sauber,LEC,14,ULTRASOFT,1.0,80270000000,16.0,False,1,True
Sauber,LEC,15,ULTRASOFT,1.0,80557000000,17.0,False,1,True
Sauber,LEC,16,ULTRASOFT,1.0,80591000000,18.0,False,1,True
Sauber,LEC,17,ULTRASOFT,1.0,80117000000,19.0,False,1,True
Sauber,LEC,18,ULTRASOFT,1.0,80285000000,20.0,False,1,True
Sauber,LEC,19,ULTRASOFT,1.0,81358000000,21.0,False,1,True
Sauber,LEC,20,ULTRASOFT,1.0,83865000000,22.0,False,1,False
Sauber,LEC,21,SOFT,2.0,93192000000,1.0,True,1,False
Sauber,LEC,22,SOFT,2.0,80927000000,2.0,True,1,True
Sauber,LEC,23,SOFT,2.0,79654000000,3.0,True,1,True
Sauber,LEC,24,SOFT,2.0,80165000000,4.0,True,1,True
Sauber,LEC,25,SOFT,2.0,79811000000,5.0,True,1,True
Sauber,LEC,26,SOFT,2.0,79268000000,6.0,True,1,True
Sauber,LEC,27,SOFT,2.0,79534000000,7.0,True,1,True
Sauber,LEC,28,SOFT,2.0,79876000000,8.0,True,2,True
Sauber,LEC,29,SOFT,2.0,79286000000,9.0,True,2,True
Sauber,LEC,30,SOFT,2.0,79314000000,10.0,True,1,True
Sauber,LEC,31,SOFT,2.0,79412000000,11.0,True,1,True
Sauber,LEC,32,SOFT,2.0,79170000000,12.0,True,1,True
Sauber,LEC,33,SOFT,2.0,79572000000,13.0,True,1,True
Sauber,LEC,34,SOFT,2.0,78939000000,14.0,True,1,True
Sauber,LEC,35,SOFT,2.0,79250000000,15.0,True,1,True
Sauber,LEC,36,SOFT,2.0,79080000000,16.0,True,1,True
Sauber,LEC,37,SOFT,2.0,79189000000,17.0,True,1,True
Sauber,LEC,38,SOFT,2.0,79014000000,18.0,True,1,True
Sauber,LEC,39,SOFT,2.0,78590000000,19.0,True,1,True
Sauber,LEC,40,SOFT,2.0,79055000000,20.0,True,1,True
Sauber,LEC,41,SOFT,2.0,79046000000,21.0,True,1,True
Sauber,LEC,42,SOFT,2.0,80468000000,22.0,True,1,True
Sauber,LEC,43,SOFT,2.0,84533000000,23.0,True,1,False
Sauber,LEC,44,INTERMEDIATE,3.0,101876000000,1.0,True,1,False
Sauber,LEC,45,INTERMEDIATE,3.0,90735000000,2.0,True,1,True
Sauber,LEC,46,INTERMEDIATE,3.0,93091000000,3.0,True,1,False
Sauber,LEC,47,ULTRASOFT,4.0,98230000000,8.0,False,2,False
Sauber,LEC,48,ULTRASOFT,4.0,85539000000,9.0,False,2,True
Sauber,LEC,49,ULTRASOFT,4.0,102596000000,10.0,False,2,False
Sauber,LEC,50,ULTRASOFT,4.0,108561000000,11.0,False,24,False
Sauber,LEC,51,ULTRASOFT,4.0,127696000000,12.0,False,4,False
Sauber,LEC,52,ULTRASOFT,4.0,129832000000,13.0,False,4,False
Sauber,LEC,53,ULTRASOFT,4.0,104298000000,14.0,False,4,False
Sauber,LEC,54,ULTRASOFT,4.0,86981000000,15.0,False,4,False
Sauber,LEC,55,ULTRASOFT,4.0,87708000000,16.0,False,4,False
Sauber,LEC,56,ULTRASOFT,4.0,106497000000,17.0,False,4,False
Sauber,LEC,57,ULTRASOFT,4.0,90328000000,18.0,False,1,False
Sauber,LEC,58,ULTRASOFT,4.0,79649000000,19.0,False,1,True
Sauber,LEC,59,ULTRASOFT,4.0,79068000000,20.0,False,1,True
Sauber,LEC,60,ULTRASOFT,4.0,78871000000,21.0,False,1,True
Sauber,LEC,61,ULTRASOFT,4.0,78437000000,22.0,False,1,True
Sauber,LEC,62,ULTRASOFT,4.0,78162000000,23.0,False,1,True
Sauber,LEC,63,ULTRASOFT,4.0,78074000000,24.0,False,1,True
Sauber,LEC,64,ULTRASOFT,4.0,77852000000,25.0,False,1,True
Sauber,LEC,65,ULTRASOFT,4.0,77943000000,26.0,False,1,True
Sauber,LEC,66,ULTRASOFT,4.0,78043000000,27.0,False,1,True
