['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,MAG,2,ULTRASOFT,1.0,80464000000,5.0,False,1,True
Haas F1 Team,MAG,3,ULTRASOFT,1.0,80059000000,6.0,False,1,True
Haas F1 Team,MAG,4,ULTRASOFT,1.0,79957000000,7.0,False,1,True
Haas F1 Team,MAG,5,ULTRASOFT,1.0,79748000000,8.0,False,1,True
Haas F1 Team,MAG,6,ULTRASOFT,1.0,79941000000,9.0,False,1,True
Haas F1 Team,MAG,7,ULTRASOFT,1.0,79899000000,10.0,False,1,True
Haas F1 Team,MAG,8,ULTRASOFT,1.0,80387000000,11.0,False,1,True
Haas F1 Team,MAG,9,ULTRASOFT,1.0,80406000000,12.0,False,1,True
Haas F1 Team,MAG,10,ULTRASOFT,1.0,80051000000,13.0,False,1,True
Haas F1 Team,MAG,11,ULTRASOFT,1.0,79900000000,14.0,False,1,True
Haas F1 Team,MAG,12,ULTRASOFT,1.0,79746000000,15.0,False,1,True
Haas F1 Team,MAG,13,ULTRASOFT,1.0,79910000000,16.0,False,1,True
Haas F1 Team,MAG,14,ULTRASOFT,1.0,80870000000,17.0,False,1,True
Haas F1 Team,MAG,15,ULTRASOFT,1.0,80058000000,18.0,False,1,True
Haas F1 Team,MAG,16,ULTRASOFT,1.0,79942000000,19.0,False,1,True
Haas F1 Team,MAG,17,ULTRASOFT,1.0,79902000000,20.0,False,1,True
Haas F1 Team,MAG,18,ULTRASOFT,1.0,79839000000,21.0,False,1,True
Haas F1 Team,MAG,19,ULTRASOFT,1.0,79756000000,22.0,False,1,True
Haas F1 Team,MAG,20,ULTRASOFT,1.0,83179000000,23.0,False,1,False
Haas F1 Team,MAG,21,MEDIUM,2.0,93787000000,1.0,True,1,False
Haas F1 Team,MAG,22,MEDIUM,2.0,79749000000,2.0,True,1,True
Haas F1 Team,MAG,23,MEDIUM,2.0,79763000000,3.0,True,1,True
Haas F1 Team,MAG,24,MEDIUM,2.0,79762000000,4.0,True,1,True
Haas F1 Team,MAG,25,MEDIUM,2.0,79794000000,5.0,True,1,True
Haas F1 Team,MAG,26,MEDIUM,2.0,79905000000,6.0,True,1,True
Haas F1 Team,MAG,27,MEDIUM,2.0,80193000000,7.0,True,1,True
Haas F1 Team,MAG,28,MEDIUM,2.0,80525000000,8.0,True,2,True
Haas F1 Team,MAG,29,MEDIUM,2.0,80214000000,9.0,True,2,True
Haas F1 Team,MAG,30,MEDIUM,2.0,79599000000,10.0,True,1,True
Haas F1 Team,MAG,31,MEDIUM,2.0,79369000000,11.0,True,1,True
Haas F1 Team,MAG,32,MEDIUM,2.0,79032000000,12.0,True,1,True
Haas F1 Team,MAG,33,MEDIUM,2.0,79230000000,13.0,True,1,True
Haas F1 Team,MAG,34,MEDIUM,2.0,79059000000,14.0,True,1,True
Haas F1 Team,MAG,35,MEDIUM,2.0,79020000000,15.0,True,1,True
Haas F1 Team,MAG,36,MEDIUM,2.0,79062000000,16.0,True,1,True
Haas F1 Team,MAG,37,MEDIUM,2.0,78711000000,17.0,True,1,True
Haas F1 Team,MAG,38,MEDIUM,2.0,78850000000,18.0,True,1,True
Haas F1 Team,MAG,39,MEDIUM,2.0,78672000000,19.0,True,1,True
Haas F1 Team,MAG,40,MEDIUM,2.0,78795000000,20.0,True,1,True
Haas F1 Team,MAG,41,MEDIUM,2.0,78476000000,21.0,True,1,True
Haas F1 Team,MAG,42,MEDIUM,2.0,79023000000,22.0,True,1,True
Haas F1 Team,MAG,43,MEDIUM,2.0,79002000000,23.0,True,1,True
Haas F1 Team,MAG,44,MEDIUM,2.0,80405000000,24.0,True,1,True
Haas F1 Team,MAG,45,MEDIUM,2.0,81288000000,25.0,True,1,True
Haas F1 Team,MAG,46,MEDIUM,2.0,83617000000,26.0,True,1,True
Haas F1 Team,MAG,47,MEDIUM,2.0,81269000000,27.0,True,2,True
Haas F1 Team,MAG,48,MEDIUM,2.0,81774000000,28.0,True,1,True
Haas F1 Team,MAG,49,MEDIUM,2.0,86987000000,29.0,True,2,True
Haas F1 Team,MAG,50,MEDIUM,2.0,101120000000,30.0,True,2,True
Haas F1 Team,MAG,51,MEDIUM,2.0,107693000000,31.0,True,24,False
Haas F1 Team,MAG,52,INTERMEDIATE,3.0,145657000000,1.0,True,4,False
Haas F1 Team,MAG,53,INTERMEDIATE,3.0,119934000000,2.0,True,4,False
Haas F1 Team,MAG,54,INTERMEDIATE,3.0,105775000000,3.0,True,4,False
Haas F1 Team,MAG,55,INTERMEDIATE,3.0,94157000000,4.0,True,4,False
Haas F1 Team,MAG,56,ULTRASOFT,4.0,104848000000,3.0,False,4,False
Haas F1 Team,MAG,57,ULTRASOFT,4.0,79024000000,4.0,False,4,False
Haas F1 Team,MAG,58,ULTRASOFT,4.0,79796000000,5.0,False,1,False
Haas F1 Team,MAG,59,ULTRASOFT,4.0,78294000000,6.0,False,1,True
Haas F1 Team,MAG,60,ULTRASOFT,4.0,78499000000,7.0,False,1,True
Haas F1 Team,MAG,61,ULTRASOFT,4.0,78083000000,8.0,False,1,True
Haas F1 Team,MAG,62,ULTRASOFT,4.0,78040000000,9.0,False,1,True
Haas F1 Team,MAG,63,ULTRASOFT,4.0,77721000000,10.0,False,1,True
Haas F1 Team,MAG,64,ULTRASOFT,4.0,78129000000,11.0,False,1,True
Haas F1 Team,MAG,65,ULTRASOFT,4.0,77844000000,12.0,False,1,True
Haas F1 Team,MAG,66,ULTRASOFT,4.0,77697000000,13.0,False,1,True
Haas F1 Team,MAG,67,ULTRASOFT,4.0,78002000000,14.0,False,1,True
