['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Force India,OCO,2,ULTRASOFT,1.0,81919000000,1.0,True,1,True
Force India,OCO,3,ULTRASOFT,1.0,81212000000,2.0,True,1,True
Force India,OCO,4,ULTRASOFT,1.0,80751000000,3.0,True,1,True
Force India,OCO,5,ULTRASOFT,1.0,80502000000,4.0,True,1,True
Force India,OCO,6,ULTRASOFT,1.0,80254000000,5.0,True,1,True
Force India,OCO,7,ULTRASOFT,1.0,80553000000,6.0,True,1,True
Force India,OCO,8,ULTRASOFT,1.0,81003000000,7.0,True,1,True
Force India,OCO,9,ULTRASOFT,1.0,80791000000,8.0,True,1,True
Force India,OCO,10,ULTRASOFT,1.0,81630000000,9.0,True,1,True
Force India,OCO,11,ULTRASOFT,1.0,80355000000,10.0,True,1,True
Force India,OCO,12,ULTRASOFT,1.0,80178000000,11.0,True,1,True
Force India,OCO,13,ULTRASOFT,1.0,80354000000,12.0,True,1,True
Force India,OCO,14,ULTRASOFT,1.0,80717000000,13.0,True,1,True
Force India,OCO,15,ULTRASOFT,1.0,80969000000,14.0,True,1,True
Force India,OCO,16,ULTRASOFT,1.0,80792000000,15.0,True,1,True
Force India,OCO,17,ULTRASOFT,1.0,80597000000,16.0,True,1,True
Force India,OCO,18,ULTRASOFT,1.0,80637000000,17.0,True,1,True
Force India,OCO,19,ULTRASOFT,1.0,80509000000,18.0,True,1,True
Force India,OCO,20,ULTRASOFT,1.0,80705000000,19.0,True,1,True
Force India,OCO,21,ULTRASOFT,1.0,81036000000,20.0,True,1,True
Force India,OCO,22,ULTRASOFT,1.0,83652000000,21.0,True,1,True
Force India,OCO,23,ULTRASOFT,1.0,81069000000,22.0,True,1,True
Force India,OCO,24,ULTRASOFT,1.0,80622000000,23.0,True,1,True
Force India,OCO,25,ULTRASOFT,1.0,83903000000,24.0,True,1,False
Force India,OCO,26,SOFT,2.0,93846000000,1.0,True,1,False
Force India,OCO,27,SOFT,2.0,79596000000,2.0,True,1,True
Force India,OCO,28,SOFT,2.0,79521000000,3.0,True,2,True
Force India,OCO,29,SOFT,2.0,78887000000,4.0,True,2,True
Force India,OCO,30,SOFT,2.0,78837000000,5.0,True,1,True
Force India,OCO,31,SOFT,2.0,78753000000,6.0,True,1,True
Force India,OCO,32,SOFT,2.0,78801000000,7.0,True,1,True
Force India,OCO,33,SOFT,2.0,79829000000,8.0,True,1,True
Force India,OCO,34,SOFT,2.0,81135000000,9.0,True,1,True
Force India,OCO,35,SOFT,2.0,78801000000,10.0,True,1,True
Force India,OCO,36,SOFT,2.0,80927000000,11.0,True,1,True
Force India,OCO,37,SOFT,2.0,80316000000,12.0,True,1,True
Force India,OCO,38,SOFT,2.0,80418000000,13.0,True,1,True
Force India,OCO,39,SOFT,2.0,80543000000,14.0,True,1,True
Force India,OCO,40,SOFT,2.0,79227000000,15.0,True,1,True
Force India,OCO,41,SOFT,2.0,78686000000,16.0,True,1,True
Force India,OCO,42,SOFT,2.0,78687000000,17.0,True,1,True
Force India,OCO,43,SOFT,2.0,78982000000,18.0,True,1,True
Force India,OCO,44,SOFT,2.0,79528000000,19.0,True,1,True
Force India,OCO,45,SOFT,2.0,81726000000,20.0,True,1,True
Force India,OCO,46,SOFT,2.0,80450000000,21.0,True,1,True
Force India,OCO,47,SOFT,2.0,80534000000,22.0,True,2,True
Force India,OCO,48,SOFT,2.0,80671000000,23.0,True,2,True
Force India,OCO,49,SOFT,2.0,84800000000,24.0,True,1,True
Force India,OCO,50,SOFT,2.0,91474000000,25.0,True,2,True
Force India,OCO,51,SOFT,2.0,101217000000,26.0,True,24,False
Force India,OCO,52,SOFT,2.0,120091000000,27.0,True,4,False
Force India,OCO,53,SOFT,2.0,129098000000,28.0,True,4,False
Force India,OCO,54,SOFT,2.0,107632000000,29.0,True,4,False
Force India,OCO,55,SOFT,2.0,84723000000,30.0,True,4,False
Force India,OCO,56,SOFT,2.0,87632000000,31.0,True,4,False
Force India,OCO,57,SOFT,2.0,105469000000,32.0,True,4,False
Force India,OCO,58,SOFT,2.0,79938000000,33.0,True,1,False
Force India,OCO,59,SOFT,2.0,78974000000,34.0,True,1,True
Force India,OCO,60,SOFT,2.0,78709000000,35.0,True,1,True
Force India,OCO,61,SOFT,2.0,78831000000,36.0,True,1,True
Force India,OCO,62,SOFT,2.0,78553000000,37.0,True,1,True
Force India,OCO,63,SOFT,2.0,77995000000,38.0,True,1,True
Force India,OCO,64,SOFT,2.0,77941000000,39.0,True,1,False
Force India,OCO,65,SOFT,2.0,78056000000,40.0,True,1,True
Force India,OCO,66,SOFT,2.0,78736000000,41.0,True,1,True
Force India,OCO,67,SOFT,2.0,78380000000,42.0,True,1,True
