['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Force India,PER,2,ULTRASOFT,1.0,81113000000,4.0,False,1,True
Force India,PER,3,ULTRASOFT,1.0,80576000000,5.0,False,1,True
Force India,PER,4,ULTRASOFT,1.0,80237000000,6.0,False,1,True
Force India,PER,5,ULTRASOFT,1.0,80246000000,7.0,False,1,True
Force India,PER,6,ULTRASOFT,1.0,80316000000,8.0,False,1,True
Force India,PER,7,ULTRASOFT,1.0,79616000000,9.0,False,1,True
Force India,PER,8,ULTRASOFT,1.0,80225000000,10.0,False,1,True
Force India,PER,9,ULTRASOFT,1.0,81115000000,11.0,False,1,True
Force India,PER,10,ULTRASOFT,1.0,80650000000,12.0,False,1,True
Force India,PER,11,ULTRASOFT,1.0,80041000000,13.0,False,1,True
Force India,PER,12,ULTRASOFT,1.0,79903000000,14.0,False,1,True
Force India,PER,13,ULTRASOFT,1.0,80070000000,15.0,False,1,True
Force India,PER,14,ULTRASOFT,1.0,79999000000,16.0,False,1,True
Force India,PER,15,ULTRASOFT,1.0,80291000000,17.0,False,1,True
Force India,PER,16,ULTRASOFT,1.0,80164000000,18.0,False,1,True
Force India,PER,17,ULTRASOFT,1.0,79967000000,19.0,False,1,True
Force India,PER,18,ULTRASOFT,1.0,80054000000,20.0,False,1,True
Force India,PER,19,ULTRASOFT,1.0,79535000000,21.0,False,1,True
Force India,PER,20,ULTRASOFT,1.0,79603000000,22.0,False,1,True
Force India,PER,21,ULTRASOFT,1.0,79760000000,23.0,False,1,True
Force India,PER,22,ULTRASOFT,1.0,82980000000,24.0,False,1,False
Force India,PER,23,SOFT,2.0,99880000000,1.0,True,1,False
Force India,PER,24,SOFT,2.0,79319000000,2.0,True,1,True
Force India,PER,25,SOFT,2.0,79731000000,3.0,True,1,True
Force India,PER,26,SOFT,2.0,79000000000,4.0,True,1,True
Force India,PER,27,SOFT,2.0,79382000000,5.0,True,1,True
Force India,PER,28,SOFT,2.0,80023000000,6.0,True,2,True
Force India,PER,29,SOFT,2.0,79734000000,7.0,True,2,True
Force India,PER,30,SOFT,2.0,79179000000,8.0,True,1,True
Force India,PER,31,SOFT,2.0,78978000000,9.0,True,1,True
Force India,PER,32,SOFT,2.0,79043000000,10.0,True,1,True
Force India,PER,33,SOFT,2.0,79082000000,11.0,True,1,True
Force India,PER,34,SOFT,2.0,78705000000,12.0,True,1,True
Force India,PER,35,SOFT,2.0,78865000000,13.0,True,1,True
Force India,PER,36,SOFT,2.0,78960000000,14.0,True,1,True
Force India,PER,37,SOFT,2.0,79100000000,15.0,True,1,True
Force India,PER,38,SOFT,2.0,79031000000,16.0,True,1,True
Force India,PER,39,SOFT,2.0,78740000000,17.0,True,1,True
Force India,PER,40,SOFT,2.0,78860000000,18.0,True,1,True
Force India,PER,41,SOFT,2.0,78805000000,19.0,True,1,True
Force India,PER,42,SOFT,2.0,79114000000,20.0,True,1,True
Force India,PER,43,SOFT,2.0,79100000000,21.0,True,1,True
Force India,PER,44,SOFT,2.0,79937000000,22.0,True,1,True
Force India,PER,45,SOFT,2.0,81201000000,23.0,True,1,True
Force India,PER,46,SOFT,2.0,80531000000,24.0,True,1,True
Force India,PER,47,SOFT,2.0,81277000000,25.0,True,2,True
Force India,PER,48,SOFT,2.0,82921000000,26.0,True,2,True
Force India,PER,49,SOFT,2.0,84471000000,27.0,True,2,True
Force India,PER,50,SOFT,2.0,102678000000,28.0,True,2,True
Force India,PER,51,SOFT,2.0,102288000000,29.0,True,24,False
Force India,PER,52,SOFT,2.0,127983000000,30.0,True,4,False
Force India,PER,53,SOFT,2.0,129004000000,31.0,True,4,False
Force India,PER,54,SOFT,2.0,104873000000,32.0,True,4,False
Force India,PER,55,SOFT,2.0,86476000000,33.0,True,4,False
Force India,PER,56,SOFT,2.0,88143000000,34.0,True,4,False
Force India,PER,57,SOFT,2.0,106362000000,35.0,True,4,False
Force India,PER,58,SOFT,2.0,79724000000,36.0,True,1,False
Force India,PER,59,SOFT,2.0,78910000000,37.0,True,1,True
Force India,PER,60,SOFT,2.0,78603000000,38.0,True,1,True
Force India,PER,61,SOFT,2.0,78670000000,39.0,True,1,True
Force India,PER,62,SOFT,2.0,78248000000,40.0,True,1,True
Force India,PER,63,SOFT,2.0,78071000000,41.0,True,1,True
Force India,PER,64,SOFT,2.0,78063000000,42.0,True,1,True
Force India,PER,65,SOFT,2.0,78083000000,43.0,True,1,True
Force India,PER,66,SOFT,2.0,77867000000,44.0,True,1,True
Force India,PER,67,SOFT,2.0,79445000000,45.0,True,1,True
