['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,RAI,2,ULTRASOFT,1.0,78311000000,4.0,False,1,True
Ferrari,RAI,3,ULTRASOFT,1.0,78655000000,5.0,False,1,True
Ferrari,RAI,4,ULTRASOFT,1.0,78200000000,6.0,False,1,True
Ferrari,RAI,5,ULTRASOFT,1.0,78211000000,7.0,False,1,True
Ferrari,RAI,6,ULTRASOFT,1.0,78698000000,8.0,False,1,True
Ferrari,RAI,7,ULTRASOFT,1.0,78769000000,9.0,False,1,True
Ferrari,RAI,8,ULTRASOFT,1.0,79017000000,10.0,False,1,True
Ferrari,RAI,9,ULTRASOFT,1.0,78770000000,11.0,False,1,True
Ferrari,RAI,10,ULTRASOFT,1.0,78876000000,12.0,False,1,True
Ferrari,RAI,11,ULTRASOFT,1.0,78679000000,13.0,False,1,True
Ferrari,RAI,12,ULTRASOFT,1.0,78885000000,14.0,False,1,True
Ferrari,RAI,13,ULTRASOFT,1.0,78472000000,15.0,False,1,True
Ferrari,RAI,14,ULTRASOFT,1.0,81741000000,16.0,False,1,False
Ferrari,RAI,15,SOFT,2.0,92453000000,1.0,True,1,False
Ferrari,RAI,16,SOFT,2.0,77581000000,2.0,True,1,True
Ferrari,RAI,17,SOFT,2.0,77379000000,3.0,True,1,True
Ferrari,RAI,18,SOFT,2.0,77735000000,4.0,True,1,True
Ferrari,RAI,19,SOFT,2.0,78041000000,5.0,True,1,True
Ferrari,RAI,20,SOFT,2.0,78104000000,6.0,True,1,True
Ferrari,RAI,21,SOFT,2.0,78015000000,7.0,True,1,True
Ferrari,RAI,22,SOFT,2.0,77945000000,8.0,True,1,True
Ferrari,RAI,23,SOFT,2.0,78125000000,9.0,True,1,True
Ferrari,RAI,24,SOFT,2.0,78243000000,10.0,True,1,True
Ferrari,RAI,25,SOFT,2.0,77286000000,11.0,True,1,True
Ferrari,RAI,26,SOFT,2.0,77636000000,12.0,True,1,True
Ferrari,RAI,27,SOFT,2.0,78017000000,13.0,True,1,True
Ferrari,RAI,28,SOFT,2.0,78327000000,14.0,True,1,True
Ferrari,RAI,29,SOFT,2.0,79241000000,15.0,True,2,True
Ferrari,RAI,30,SOFT,2.0,77152000000,16.0,True,2,True
Ferrari,RAI,31,SOFT,2.0,77979000000,17.0,True,1,True
Ferrari,RAI,32,SOFT,2.0,78118000000,18.0,True,1,True
Ferrari,RAI,33,SOFT,2.0,78346000000,19.0,True,1,True
Ferrari,RAI,34,SOFT,2.0,78532000000,20.0,True,1,True
Ferrari,RAI,35,SOFT,2.0,78366000000,21.0,True,1,True
Ferrari,RAI,36,SOFT,2.0,78086000000,22.0,True,1,True
Ferrari,RAI,37,SOFT,2.0,77843000000,23.0,True,1,True
Ferrari,RAI,38,SOFT,2.0,78069000000,24.0,True,1,True
Ferrari,RAI,39,SOFT,2.0,79599000000,25.0,True,1,True
Ferrari,RAI,40,SOFT,2.0,77861000000,26.0,True,1,True
Ferrari,RAI,41,SOFT,2.0,78219000000,27.0,True,1,True
Ferrari,RAI,42,SOFT,2.0,77918000000,28.0,True,1,True
Ferrari,RAI,43,SOFT,2.0,78262000000,29.0,True,1,True
Ferrari,RAI,44,SOFT,2.0,78348000000,30.0,True,1,True
Ferrari,RAI,45,SOFT,2.0,79719000000,31.0,True,1,True
Ferrari,RAI,46,SOFT,2.0,81798000000,32.0,True,1,True
Ferrari,RAI,47,SOFT,2.0,79680000000,33.0,True,1,True
Ferrari,RAI,48,SOFT,2.0,80789000000,34.0,True,2,True
Ferrari,RAI,49,SOFT,2.0,80117000000,35.0,True,2,True
Ferrari,RAI,50,SOFT,2.0,82168000000,36.0,True,1,True
Ferrari,RAI,51,SOFT,2.0,93961000000,37.0,True,2,True
Ferrari,RAI,52,SOFT,2.0,103263000000,38.0,True,24,False
Ferrari,RAI,53,SOFT,2.0,131483000000,39.0,True,4,False
Ferrari,RAI,54,ULTRASOFT,3.0,138425000000,1.0,True,4,False
Ferrari,RAI,55,ULTRASOFT,3.0,129108000000,2.0,True,4,False
Ferrari,RAI,56,ULTRASOFT,3.0,129977000000,3.0,True,4,False
Ferrari,RAI,57,ULTRASOFT,3.0,115541000000,4.0,True,4,False
Ferrari,RAI,58,ULTRASOFT,3.0,77550000000,5.0,True,1,False
Ferrari,RAI,59,ULTRASOFT,3.0,76940000000,6.0,True,1,True
Ferrari,RAI,60,ULTRASOFT,3.0,76489000000,7.0,True,1,True
Ferrari,RAI,61,ULTRASOFT,3.0,76595000000,8.0,True,1,True
Ferrari,RAI,62,ULTRASOFT,3.0,76335000000,9.0,True,1,True
Ferrari,RAI,63,ULTRASOFT,3.0,76541000000,10.0,True,1,True
Ferrari,RAI,64,ULTRASOFT,3.0,75990000000,11.0,True,1,True
Ferrari,RAI,65,ULTRASOFT,3.0,76240000000,12.0,True,1,True
Ferrari,RAI,66,ULTRASOFT,3.0,76215000000,13.0,True,1,True
Ferrari,RAI,67,ULTRASOFT,3.0,76226000000,14.0,True,1,True
