['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,SIR,2,SOFT,1.0,82124000000,1.0,True,1,True
Williams,SIR,3,SOFT,1.0,82435000000,2.0,True,1,True
Williams,SIR,4,SOFT,1.0,80729000000,3.0,True,1,True
Williams,SIR,5,SOFT,1.0,80475000000,4.0,True,1,True
Williams,SIR,6,SOFT,1.0,81472000000,5.0,True,1,True
Williams,SIR,7,SOFT,1.0,80775000000,6.0,True,1,True
Williams,SIR,8,SOFT,1.0,80599000000,7.0,True,1,True
Williams,SIR,9,SOFT,1.0,81142000000,8.0,True,1,True
Williams,SIR,10,SOFT,1.0,81245000000,9.0,True,1,True
Williams,SIR,11,SOFT,1.0,80648000000,10.0,True,1,True
Williams,SIR,12,SOFT,1.0,80458000000,11.0,True,1,True
Williams,SIR,13,SOFT,1.0,80647000000,12.0,True,1,True
Williams,SIR,14,SOFT,1.0,80980000000,13.0,True,1,True
Williams,SIR,15,SOFT,1.0,81132000000,14.0,True,1,True
Williams,SIR,16,SOFT,1.0,80796000000,15.0,True,1,True
Williams,SIR,17,SOFT,1.0,80582000000,16.0,True,1,True
Williams,SIR,18,SOFT,1.0,80680000000,17.0,True,1,True
Williams,SIR,19,SOFT,1.0,81412000000,18.0,True,1,True
Williams,SIR,20,SOFT,1.0,81041000000,19.0,True,1,True
Williams,SIR,21,SOFT,1.0,80582000000,20.0,True,1,True
Williams,SIR,22,SOFT,1.0,80614000000,21.0,True,1,True
Williams,SIR,23,SOFT,1.0,80822000000,22.0,True,1,True
Williams,SIR,24,SOFT,1.0,82373000000,23.0,True,1,True
Williams,SIR,25,SOFT,1.0,82046000000,24.0,True,1,True
Williams,SIR,26,SOFT,1.0,82015000000,25.0,True,1,True
Williams,SIR,27,SOFT,1.0,80880000000,26.0,True,1,True
Williams,SIR,28,SOFT,1.0,84271000000,27.0,True,2,False
Williams,SIR,29,MEDIUM,2.0,99570000000,1.0,True,2,False
Williams,SIR,30,MEDIUM,2.0,79032000000,2.0,True,1,True
Williams,SIR,31,MEDIUM,2.0,79293000000,3.0,True,1,True
Williams,SIR,32,MEDIUM,2.0,80979000000,4.0,True,1,True
Williams,SIR,33,MEDIUM,2.0,80590000000,5.0,True,1,True
Williams,SIR,34,MEDIUM,2.0,79367000000,6.0,True,1,True
Williams,SIR,35,MEDIUM,2.0,79162000000,7.0,True,1,True
Williams,SIR,36,MEDIUM,2.0,78934000000,8.0,True,1,True
Williams,SIR,37,MEDIUM,2.0,78996000000,9.0,True,1,True
Williams,SIR,38,MEDIUM,2.0,79008000000,10.0,True,1,True
Williams,SIR,39,MEDIUM,2.0,79149000000,11.0,True,1,True
Williams,SIR,40,MEDIUM,2.0,79048000000,12.0,True,1,True
Williams,SIR,41,MEDIUM,2.0,79035000000,13.0,True,1,True
Williams,SIR,42,MEDIUM,2.0,78999000000,14.0,True,1,True
Williams,SIR,43,MEDIUM,2.0,79529000000,15.0,True,1,True
Williams,SIR,44,MEDIUM,2.0,80506000000,16.0,True,1,True
Williams,SIR,45,MEDIUM,2.0,83016000000,17.0,True,1,True
Williams,SIR,46,MEDIUM,2.0,81102000000,18.0,True,1,True
Williams,SIR,47,MEDIUM,2.0,82923000000,19.0,True,2,True
Williams,SIR,48,MEDIUM,2.0,82374000000,20.0,True,2,True
Williams,SIR,49,MEDIUM,2.0,87711000000,21.0,True,1,True
Williams,SIR,50,MEDIUM,2.0,95413000000,22.0,True,2,True
Williams,SIR,51,MEDIUM,2.0,111495000000,23.0,True,24,False
