['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,STR,2,SOFT,1.0,82720000000,1.0,True,1,True
Williams,STR,3,SOFT,1.0,81931000000,2.0,True,1,True
Williams,STR,4,SOFT,1.0,81053000000,3.0,True,1,True
Williams,STR,5,SOFT,1.0,81654000000,4.0,True,1,True
Williams,STR,6,SOFT,1.0,81253000000,5.0,True,1,True
Williams,STR,7,SOFT,1.0,80818000000,6.0,True,1,True
Williams,STR,8,SOFT,1.0,80987000000,7.0,True,1,True
Williams,STR,9,SOFT,1.0,80981000000,8.0,True,1,True
Williams,STR,10,SOFT,1.0,80970000000,9.0,True,1,True
Williams,STR,11,SOFT,1.0,80578000000,10.0,True,1,True
Williams,STR,12,SOFT,1.0,80472000000,11.0,True,1,True
Williams,STR,13,SOFT,1.0,80698000000,12.0,True,1,True
Williams,STR,14,SOFT,1.0,80550000000,13.0,True,1,True
Williams,STR,15,SOFT,1.0,81102000000,14.0,True,1,True
Williams,STR,16,SOFT,1.0,81405000000,15.0,True,1,True
Williams,STR,17,SOFT,1.0,80714000000,16.0,True,1,True
Williams,STR,18,SOFT,1.0,80655000000,17.0,True,1,True
Williams,STR,19,SOFT,1.0,80824000000,18.0,True,1,True
Williams,STR,20,SOFT,1.0,81073000000,19.0,True,1,True
Williams,STR,21,SOFT,1.0,80533000000,20.0,True,1,True
Williams,STR,22,SOFT,1.0,80779000000,21.0,True,1,True
Williams,STR,23,SOFT,1.0,81934000000,22.0,True,1,True
Williams,STR,24,SOFT,1.0,81860000000,23.0,True,1,True
Williams,STR,25,SOFT,1.0,81664000000,24.0,True,1,True
Williams,STR,26,SOFT,1.0,81779000000,25.0,True,1,True
Williams,STR,27,SOFT,1.0,84931000000,26.0,True,1,False
Williams,STR,28,MEDIUM,2.0,94608000000,1.0,True,2,False
Williams,STR,29,MEDIUM,2.0,79323000000,2.0,True,2,True
Williams,STR,30,MEDIUM,2.0,81271000000,3.0,True,1,True
Williams,STR,31,MEDIUM,2.0,79554000000,4.0,True,1,True
Williams,STR,32,MEDIUM,2.0,79155000000,5.0,True,1,True
Williams,STR,33,MEDIUM,2.0,80813000000,6.0,True,1,True
Williams,STR,34,MEDIUM,2.0,78987000000,7.0,True,1,True
Williams,STR,35,MEDIUM,2.0,78861000000,8.0,True,1,True
Williams,STR,36,MEDIUM,2.0,78891000000,9.0,True,1,True
Williams,STR,37,MEDIUM,2.0,79034000000,10.0,True,1,True
Williams,STR,38,MEDIUM,2.0,78968000000,11.0,True,1,True
Williams,STR,39,MEDIUM,2.0,78999000000,12.0,True,1,True
Williams,STR,40,MEDIUM,2.0,78967000000,13.0,True,1,True
Williams,STR,41,MEDIUM,2.0,79481000000,14.0,True,1,True
Williams,STR,42,MEDIUM,2.0,79452000000,15.0,True,1,True
Williams,STR,43,MEDIUM,2.0,80054000000,16.0,True,1,True
Williams,STR,44,MEDIUM,2.0,80675000000,17.0,True,1,True
Williams,STR,45,MEDIUM,2.0,83655000000,18.0,True,1,True
Williams,STR,46,MEDIUM,2.0,80683000000,19.0,True,1,True
Williams,STR,47,MEDIUM,2.0,79876000000,20.0,True,2,True
Williams,STR,48,MEDIUM,2.0,83691000000,21.0,True,2,True
Williams,STR,49,MEDIUM,2.0,88892000000,22.0,True,1,True
Williams,STR,50,MEDIUM,2.0,103645000000,23.0,True,2,False
Williams,STR,51,INTERMEDIATE,3.0,131411000000,1.0,True,24,False
Williams,STR,52,INTERMEDIATE,3.0,116449000000,2.0,True,4,False
Williams,STR,53,INTERMEDIATE,3.0,115402000000,3.0,True,4,False
