['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,VER,2,ULTRASOFT,1.0,78816000000,4.0,False,1,True
Red Bull Racing,VER,3,ULTRASOFT,1.0,78675000000,5.0,False,1,True
Red Bull Racing,VER,4,ULTRASOFT,1.0,78466000000,6.0,False,1,True
Red Bull Racing,VER,5,ULTRASOFT,1.0,78430000000,7.0,False,1,True
Red Bull Racing,VER,6,ULTRASOFT,1.0,78839000000,8.0,False,1,True
Red Bull Racing,VER,7,ULTRASOFT,1.0,78542000000,9.0,False,1,True
Red Bull Racing,VER,8,ULTRASOFT,1.0,79122000000,10.0,False,1,True
Red Bull Racing,VER,9,ULTRASOFT,1.0,78835000000,11.0,False,1,True
Red Bull Racing,VER,10,ULTRASOFT,1.0,78904000000,12.0,False,1,True
Red Bull Racing,VER,11,ULTRASOFT,1.0,78682000000,13.0,False,1,True
Red Bull Racing,VER,12,ULTRASOFT,1.0,78567000000,14.0,False,1,True
Red Bull Racing,VER,13,ULTRASOFT,1.0,78634000000,15.0,False,1,True
Red Bull Racing,VER,14,ULTRASOFT,1.0,78759000000,16.0,False,1,True
Red Bull Racing,VER,15,ULTRASOFT,1.0,78663000000,17.0,False,1,True
Red Bull Racing,VER,16,ULTRASOFT,1.0,78818000000,18.0,False,1,True
Red Bull Racing,VER,17,ULTRASOFT,1.0,78641000000,19.0,False,1,True
Red Bull Racing,VER,18,ULTRASOFT,1.0,78914000000,20.0,False,1,True
Red Bull Racing,VER,19,ULTRASOFT,1.0,79299000000,21.0,False,1,True
Red Bull Racing,VER,20,ULTRASOFT,1.0,78753000000,22.0,False,1,True
Red Bull Racing,VER,21,ULTRASOFT,1.0,78907000000,23.0,False,1,True
Red Bull Racing,VER,22,ULTRASOFT,1.0,78800000000,24.0,False,1,True
Red Bull Racing,VER,23,ULTRASOFT,1.0,79128000000,25.0,False,1,True
Red Bull Racing,VER,24,ULTRASOFT,1.0,78763000000,26.0,False,1,True
Red Bull Racing,VER,25,ULTRASOFT,1.0,78769000000,27.0,False,1,True
Red Bull Racing,VER,26,ULTRASOFT,1.0,78947000000,28.0,False,1,True
Red Bull Racing,VER,27,ULTRASOFT,1.0,78958000000,29.0,False,1,True
Red Bull Racing,VER,28,ULTRASOFT,1.0,79436000000,30.0,False,1,True
Red Bull Racing,VER,29,ULTRASOFT,1.0,83099000000,31.0,False,2,False
Red Bull Racing,VER,30,SOFT,2.0,92913000000,1.0,True,2,False
Red Bull Racing,VER,31,SOFT,2.0,77576000000,2.0,True,1,True
Red Bull Racing,VER,32,SOFT,2.0,77766000000,3.0,True,1,True
Red Bull Racing,VER,33,SOFT,2.0,77410000000,4.0,True,1,True
Red Bull Racing,VER,34,SOFT,2.0,77542000000,5.0,True,1,True
Red Bull Racing,VER,35,SOFT,2.0,77288000000,6.0,True,1,True
Red Bull Racing,VER,36,SOFT,2.0,77557000000,7.0,True,1,True
Red Bull Racing,VER,37,SOFT,2.0,77057000000,8.0,True,1,True
Red Bull Racing,VER,38,SOFT,2.0,77211000000,9.0,True,1,True
Red Bull Racing,VER,39,SOFT,2.0,77929000000,10.0,True,1,True
Red Bull Racing,VER,40,SOFT,2.0,78315000000,11.0,True,1,True
Red Bull Racing,VER,41,SOFT,2.0,77539000000,12.0,True,1,True
Red Bull Racing,VER,42,SOFT,2.0,77201000000,13.0,True,1,True
Red Bull Racing,VER,43,SOFT,2.0,77492000000,14.0,True,1,True
Red Bull Racing,VER,44,SOFT,2.0,77428000000,15.0,True,1,True
Red Bull Racing,VER,45,SOFT,2.0,79480000000,16.0,True,1,True
Red Bull Racing,VER,46,SOFT,2.0,85249000000,17.0,True,1,False
Red Bull Racing,VER,47,INTERMEDIATE,3.0,97005000000,1.0,True,1,False
Red Bull Racing,VER,48,INTERMEDIATE,3.0,90513000000,2.0,True,2,False
Red Bull Racing,VER,49,INTERMEDIATE,3.0,97374000000,3.0,True,2,False
Red Bull Racing,VER,50,INTERMEDIATE,3.0,88379000000,4.0,True,2,True
Red Bull Racing,VER,51,ULTRASOFT,4.0,92872000000,1.0,True,2,True
Red Bull Racing,VER,52,ULTRASOFT,4.0,117351000000,2.0,True,24,False
Red Bull Racing,VER,53,ULTRASOFT,4.0,117667000000,3.0,True,4,False
Red Bull Racing,VER,54,ULTRASOFT,4.0,89233000000,4.0,True,4,False
Red Bull Racing,VER,55,ULTRASOFT,4.0,118167000000,5.0,True,4,False
Red Bull Racing,VER,56,ULTRASOFT,4.0,129660000000,6.0,True,4,False
Red Bull Racing,VER,57,ULTRASOFT,4.0,115654000000,7.0,True,4,False
Red Bull Racing,VER,58,ULTRASOFT,4.0,77913000000,8.0,True,1,False
Red Bull Racing,VER,59,ULTRASOFT,4.0,77284000000,9.0,True,1,True
Red Bull Racing,VER,60,ULTRASOFT,4.0,76843000000,10.0,True,1,True
Red Bull Racing,VER,61,ULTRASOFT,4.0,77022000000,11.0,True,1,True
Red Bull Racing,VER,62,ULTRASOFT,4.0,76293000000,12.0,True,1,True
Red Bull Racing,VER,63,ULTRASOFT,4.0,76257000000,13.0,True,1,True
Red Bull Racing,VER,64,ULTRASOFT,4.0,76101000000,14.0,True,1,True
Red Bull Racing,VER,65,ULTRASOFT,4.0,75977000000,15.0,True,1,True
Red Bull Racing,VER,66,ULTRASOFT,4.0,75852000000,16.0,True,1,True
Red Bull Racing,VER,67,ULTRASOFT,4.0,75879000000,17.0,True,1,True
