['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Renault,HUL,2,ULTRASOFT,1.0,72267000000,4.0,False,2,True
Renault,HUL,3,ULTRASOFT,1.0,71460000000,5.0,False,1,True
Renault,HUL,4,ULTRASOFT,1.0,70707000000,6.0,False,1,True
Renault,HUL,5,ULTRASOFT,1.0,70757000000,7.0,False,1,True
Renault,HUL,6,ULTRASOFT,1.0,70728000000,8.0,False,1,True
Renault,HUL,7,ULTRASOFT,1.0,70380000000,9.0,False,1,True
Renault,HUL,8,ULTRASOFT,1.0,70631000000,10.0,False,1,True
Renault,HUL,9,ULTRASOFT,1.0,70386000000,11.0,False,1,True
Renault,HUL,10,ULTRASOFT,1.0,70579000000,12.0,False,1,True
Renault,HUL,11,ULTRASOFT,1.0,74107000000,13.0,False,1,True
