['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,MAG,2,ULTRASOFT,1.0,72319000000,4.0,False,2,True
Haas F1 Team,MAG,3,ULTRASOFT,1.0,71488000000,5.0,False,1,True
Haas F1 Team,MAG,4,ULTRASOFT,1.0,70836000000,6.0,False,1,True
Haas F1 Team,MAG,5,ULTRASOFT,1.0,70616000000,7.0,False,1,True
Haas F1 Team,MAG,6,ULTRASOFT,1.0,70637000000,8.0,False,1,True
Haas F1 Team,MAG,7,ULTRASOFT,1.0,70072000000,9.0,False,1,True
Haas F1 Team,MAG,8,ULTRASOFT,1.0,70422000000,10.0,False,1,True
Haas F1 Team,MAG,9,ULTRASOFT,1.0,70187000000,11.0,False,1,True
Haas F1 Team,MAG,10,ULTRASOFT,1.0,70345000000,12.0,False,1,True
Haas F1 Team,MAG,11,ULTRASOFT,1.0,70623000000,13.0,False,1,True
Haas F1 Team,MAG,12,ULTRASOFT,1.0,70545000000,14.0,False,2,True
Haas F1 Team,MAG,13,ULTRASOFT,1.0,70677000000,15.0,False,1,True
Haas F1 Team,MAG,14,ULTRASOFT,1.0,70444000000,16.0,False,2,True
Haas F1 Team,MAG,15,ULTRASOFT,1.0,94479000000,17.0,False,26,False
Haas F1 Team,MAG,16,ULTRASOFT,1.0,81372000000,18.0,False,67,False
Haas F1 Team,MAG,17,ULTRASOFT,1.0,69462000000,19.0,False,1,True
Haas F1 Team,MAG,18,ULTRASOFT,1.0,69723000000,20.0,False,1,True
Haas F1 Team,MAG,19,ULTRASOFT,1.0,69663000000,21.0,False,1,True
Haas F1 Team,MAG,20,ULTRASOFT,1.0,69673000000,22.0,False,1,True
Haas F1 Team,MAG,21,ULTRASOFT,1.0,69756000000,23.0,False,1,True
Haas F1 Team,MAG,22,ULTRASOFT,1.0,69864000000,24.0,False,1,True
Haas F1 Team,MAG,23,ULTRASOFT,1.0,69860000000,25.0,False,1,True
Haas F1 Team,MAG,24,ULTRASOFT,1.0,69518000000,26.0,False,1,True
Haas F1 Team,MAG,25,ULTRASOFT,1.0,69508000000,27.0,False,1,True
Haas F1 Team,MAG,26,ULTRASOFT,1.0,69349000000,28.0,False,1,True
Haas F1 Team,MAG,27,ULTRASOFT,1.0,69274000000,29.0,False,1,True
Haas F1 Team,MAG,28,ULTRASOFT,1.0,73016000000,30.0,False,1,False
Haas F1 Team,MAG,29,SOFT,2.0,86358000000,1.0,True,1,False
Haas F1 Team,MAG,30,SOFT,2.0,68531000000,2.0,True,1,True
Haas F1 Team,MAG,31,SOFT,2.0,69796000000,3.0,True,1,True
Haas F1 Team,MAG,32,SOFT,2.0,68867000000,4.0,True,1,True
Haas F1 Team,MAG,33,SOFT,2.0,69113000000,5.0,True,1,True
Haas F1 Team,MAG,34,SOFT,2.0,69230000000,6.0,True,1,True
Haas F1 Team,MAG,35,SOFT,2.0,69491000000,7.0,True,1,True
Haas F1 Team,MAG,36,SOFT,2.0,69596000000,8.0,True,1,True
Haas F1 Team,MAG,37,SOFT,2.0,69711000000,9.0,True,1,True
Haas F1 Team,MAG,38,SOFT,2.0,69665000000,10.0,True,1,True
Haas F1 Team,MAG,39,SOFT,2.0,69284000000,11.0,True,1,True
Haas F1 Team,MAG,40,SOFT,2.0,69490000000,12.0,True,1,True
Haas F1 Team,MAG,41,SOFT,2.0,69113000000,13.0,True,1,True
Haas F1 Team,MAG,42,SOFT,2.0,69133000000,14.0,True,1,True
Haas F1 Team,MAG,43,SOFT,2.0,69270000000,15.0,True,1,True
Haas F1 Team,MAG,44,SOFT,2.0,69454000000,16.0,True,1,True
Haas F1 Team,MAG,45,SOFT,2.0,69475000000,17.0,True,1,True
Haas F1 Team,MAG,46,SOFT,2.0,69095000000,18.0,True,1,True
Haas F1 Team,MAG,47,SOFT,2.0,69547000000,19.0,True,1,True
Haas F1 Team,MAG,48,SOFT,2.0,69046000000,20.0,True,1,True
Haas F1 Team,MAG,49,SOFT,2.0,69456000000,21.0,True,1,True
Haas F1 Team,MAG,50,SOFT,2.0,69446000000,22.0,True,1,True
Haas F1 Team,MAG,51,SOFT,2.0,69540000000,23.0,True,1,True
Haas F1 Team,MAG,52,SOFT,2.0,70053000000,24.0,True,1,True
Haas F1 Team,MAG,53,SOFT,2.0,71432000000,25.0,True,2,True
Haas F1 Team,MAG,54,SOFT,2.0,69701000000,26.0,True,2,True
Haas F1 Team,MAG,55,SOFT,2.0,69421000000,27.0,True,2,True
Haas F1 Team,MAG,56,SOFT,2.0,70868000000,28.0,True,2,True
Haas F1 Team,MAG,57,SOFT,2.0,70195000000,29.0,True,1,True
Haas F1 Team,MAG,58,SOFT,2.0,69465000000,30.0,True,1,True
Haas F1 Team,MAG,59,SOFT,2.0,69375000000,31.0,True,1,True
Haas F1 Team,MAG,60,SOFT,2.0,69360000000,32.0,True,1,True
Haas F1 Team,MAG,61,SOFT,2.0,68813000000,33.0,True,1,True
Haas F1 Team,MAG,62,SOFT,2.0,68802000000,34.0,True,2,True
Haas F1 Team,MAG,63,SOFT,2.0,69052000000,35.0,True,2,True
Haas F1 Team,MAG,64,SOFT,2.0,68627000000,36.0,True,2,True
Haas F1 Team,MAG,65,SOFT,2.0,68560000000,37.0,True,1,True
Haas F1 Team,MAG,66,SOFT,2.0,68537000000,38.0,True,1,True
Haas F1 Team,MAG,67,SOFT,2.0,68538000000,39.0,True,1,True
Haas F1 Team,MAG,68,SOFT,2.0,68566000000,40.0,True,1,True
Haas F1 Team,MAG,69,SOFT,2.0,68613000000,41.0,True,1,True
Haas F1 Team,MAG,70,SOFT,2.0,68476000000,42.0,True,1,True
