['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,RAI,2,ULTRASOFT,1.0,70489000000,4.0,False,2,True
Ferrari,RAI,3,ULTRASOFT,1.0,69891000000,5.0,False,1,True
Ferrari,RAI,4,ULTRASOFT,1.0,69837000000,6.0,False,1,True
Ferrari,RAI,5,ULTRASOFT,1.0,69969000000,7.0,False,1,True
Ferrari,RAI,6,ULTRASOFT,1.0,69848000000,8.0,False,1,True
Ferrari,RAI,7,ULTRASOFT,1.0,69928000000,9.0,False,1,True
Ferrari,RAI,8,ULTRASOFT,1.0,69890000000,10.0,False,1,True
Ferrari,RAI,9,ULTRASOFT,1.0,69465000000,11.0,False,1,True
Ferrari,RAI,10,ULTRASOFT,1.0,69582000000,12.0,False,1,True
Ferrari,RAI,11,ULTRASOFT,1.0,69438000000,13.0,False,1,True
Ferrari,RAI,12,ULTRASOFT,1.0,68954000000,14.0,False,2,True
Ferrari,RAI,13,ULTRASOFT,1.0,69874000000,15.0,False,2,True
Ferrari,RAI,14,ULTRASOFT,1.0,69238000000,16.0,False,2,True
Ferrari,RAI,15,ULTRASOFT,1.0,88350000000,17.0,False,26,False
Ferrari,RAI,16,SOFT,2.0,93640000000,1.0,True,67,False
Ferrari,RAI,17,SOFT,2.0,68274000000,2.0,True,1,True
Ferrari,RAI,18,SOFT,2.0,68409000000,3.0,True,1,True
Ferrari,RAI,19,SOFT,2.0,68465000000,4.0,True,1,True
Ferrari,RAI,20,SOFT,2.0,70439000000,5.0,True,1,True
Ferrari,RAI,21,SOFT,2.0,68859000000,6.0,True,1,True
Ferrari,RAI,22,SOFT,2.0,68784000000,7.0,True,1,True
Ferrari,RAI,23,SOFT,2.0,68779000000,8.0,True,1,True
Ferrari,RAI,24,SOFT,2.0,68548000000,9.0,True,1,True
Ferrari,RAI,25,SOFT,2.0,68581000000,10.0,True,1,True
Ferrari,RAI,26,SOFT,2.0,68607000000,11.0,True,1,True
Ferrari,RAI,27,SOFT,2.0,68582000000,12.0,True,1,True
Ferrari,RAI,28,SOFT,2.0,68501000000,13.0,True,1,True
Ferrari,RAI,29,SOFT,2.0,68496000000,14.0,True,1,True
Ferrari,RAI,30,SOFT,2.0,68440000000,15.0,True,1,True
Ferrari,RAI,31,SOFT,2.0,68694000000,16.0,True,1,True
Ferrari,RAI,32,SOFT,2.0,68591000000,17.0,True,1,True
Ferrari,RAI,33,SOFT,2.0,68734000000,18.0,True,1,True
Ferrari,RAI,34,SOFT,2.0,68852000000,19.0,True,1,True
Ferrari,RAI,35,SOFT,2.0,68884000000,20.0,True,1,True
Ferrari,RAI,36,SOFT,2.0,68689000000,21.0,True,1,True
Ferrari,RAI,37,SOFT,2.0,68801000000,22.0,True,1,True
Ferrari,RAI,38,SOFT,2.0,69072000000,23.0,True,1,True
Ferrari,RAI,39,SOFT,2.0,68546000000,24.0,True,1,True
Ferrari,RAI,40,SOFT,2.0,68395000000,25.0,True,1,True
Ferrari,RAI,41,SOFT,2.0,68820000000,26.0,True,1,True
Ferrari,RAI,42,SOFT,2.0,68585000000,27.0,True,1,True
Ferrari,RAI,43,SOFT,2.0,68348000000,28.0,True,1,True
Ferrari,RAI,44,SOFT,2.0,68543000000,29.0,True,1,True
Ferrari,RAI,45,SOFT,2.0,68215000000,30.0,True,1,True
Ferrari,RAI,46,SOFT,2.0,68248000000,31.0,True,1,True
Ferrari,RAI,47,SOFT,2.0,68569000000,32.0,True,1,True
Ferrari,RAI,48,SOFT,2.0,68374000000,33.0,True,1,True
Ferrari,RAI,49,SOFT,2.0,67871000000,34.0,True,1,True
Ferrari,RAI,50,SOFT,2.0,67696000000,35.0,True,1,True
Ferrari,RAI,51,SOFT,2.0,68263000000,36.0,True,1,True
Ferrari,RAI,52,SOFT,2.0,67799000000,37.0,True,1,True
Ferrari,RAI,53,SOFT,2.0,68019000000,38.0,True,1,True
Ferrari,RAI,54,SOFT,2.0,68084000000,39.0,True,2,True
Ferrari,RAI,55,SOFT,2.0,67991000000,40.0,True,2,True
Ferrari,RAI,56,SOFT,2.0,67782000000,41.0,True,2,True
Ferrari,RAI,57,SOFT,2.0,67896000000,42.0,True,2,True
Ferrari,RAI,58,SOFT,2.0,67390000000,43.0,True,1,True
Ferrari,RAI,59,SOFT,2.0,67743000000,44.0,True,1,True
Ferrari,RAI,60,SOFT,2.0,67443000000,45.0,True,1,True
Ferrari,RAI,61,SOFT,2.0,67649000000,46.0,True,1,True
Ferrari,RAI,62,SOFT,2.0,68252000000,47.0,True,1,True
Ferrari,RAI,63,SOFT,2.0,67724000000,48.0,True,2,True
Ferrari,RAI,64,SOFT,2.0,68071000000,49.0,True,2,True
Ferrari,RAI,65,SOFT,2.0,67802000000,50.0,True,2,True
Ferrari,RAI,66,SOFT,2.0,66975000000,51.0,True,1,True
Ferrari,RAI,67,SOFT,2.0,67471000000,52.0,True,1,True
Ferrari,RAI,68,SOFT,2.0,67286000000,53.0,True,1,True
Ferrari,RAI,69,SOFT,2.0,67293000000,54.0,True,1,True
Ferrari,RAI,70,SOFT,2.0,67217000000,55.0,True,1,True
Ferrari,RAI,71,SOFT,2.0,66957000000,56.0,True,1,True
