['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,GAS,2.0,ULTRASOFT,1.0,85662000000,1.0,True,1,True
Toro Rosso,GAS,3.0,ULTRASOFT,1.0,85128000000,2.0,True,1,True
Toro Rosso,GAS,4.0,ULTRASOFT,1.0,84880000000,3.0,True,1,True
Toro Rosso,GAS,5.0,ULTRASOFT,1.0,84742000000,4.0,True,1,True
Toro Rosso,GAS,6.0,ULTRASOFT,1.0,92283000000,5.0,True,26,False
Toro Rosso,GAS,7.0,ULTRASOFT,1.0,93230000000,6.0,True,67,False
Toro Rosso,GAS,8.0,ULTRASOFT,1.0,83917000000,7.0,True,1,True
Toro Rosso,GAS,9.0,ULTRASOFT,1.0,83911000000,8.0,True,1,False
Toro Rosso,GAS,10.0,ULTRASOFT,1.0,83990000000,9.0,True,1,True
Toro Rosso,GAS,11.0,ULTRASOFT,1.0,84302000000,10.0,True,1,True
Toro Rosso,GAS,12.0,ULTRASOFT,1.0,83845000000,11.0,True,1,True
Toro Rosso,GAS,13.0,ULTRASOFT,1.0,83943000000,12.0,True,1,True
Toro Rosso,GAS,14.0,ULTRASOFT,1.0,84092000000,13.0,True,1,True
Toro Rosso,GAS,15.0,ULTRASOFT,1.0,84134000000,14.0,True,1,True
Toro Rosso,GAS,16.0,ULTRASOFT,1.0,84062000000,15.0,True,1,True
Toro Rosso,GAS,17.0,ULTRASOFT,1.0,83961000000,16.0,True,1,True
Toro Rosso,GAS,18.0,ULTRASOFT,1.0,85660000000,17.0,True,1,True
Toro Rosso,GAS,19.0,ULTRASOFT,1.0,83981000000,18.0,True,1,True
Toro Rosso,GAS,20.0,ULTRASOFT,1.0,83903000000,19.0,True,1,True
Toro Rosso,GAS,21.0,ULTRASOFT,1.0,84155000000,20.0,True,1,True
Toro Rosso,GAS,22.0,ULTRASOFT,1.0,85940000000,21.0,True,1,True
Toro Rosso,GAS,23.0,ULTRASOFT,1.0,83929000000,22.0,True,1,True
Toro Rosso,GAS,24.0,ULTRASOFT,1.0,84179000000,23.0,True,1,True
Toro Rosso,GAS,25.0,ULTRASOFT,1.0,83800000000,24.0,True,1,True
Toro Rosso,GAS,26.0,ULTRASOFT,1.0,83759000000,25.0,True,1,True
Toro Rosso,GAS,27.0,ULTRASOFT,1.0,85130000000,26.0,True,1,True
Toro Rosso,GAS,28.0,ULTRASOFT,1.0,83861000000,27.0,True,1,True
Toro Rosso,GAS,29.0,ULTRASOFT,1.0,83752000000,28.0,True,1,True
Toro Rosso,GAS,30.0,ULTRASOFT,1.0,84056000000,29.0,True,1,True
Toro Rosso,GAS,31.0,ULTRASOFT,1.0,84125000000,30.0,True,1,True
Toro Rosso,GAS,32.0,ULTRASOFT,1.0,86145000000,31.0,True,1,False
Toro Rosso,GAS,33.0,SOFT,2.0,101209000000,1.0,True,1,False
Toro Rosso,GAS,34.0,SOFT,2.0,83145000000,2.0,True,1,True
Toro Rosso,GAS,35.0,SOFT,2.0,83417000000,3.0,True,1,True
Toro Rosso,GAS,36.0,SOFT,2.0,83137000000,4.0,True,1,True
Toro Rosso,GAS,37.0,SOFT,2.0,83142000000,5.0,True,1,True
Toro Rosso,GAS,38.0,SOFT,2.0,83130000000,6.0,True,1,True
