['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2.0,ULTRASOFT,1.0,87447000000,1.0,True,1,True
Haas F1 Team,GRO,3.0,ULTRASOFT,1.0,86907000000,2.0,True,1,True
Haas F1 Team,GRO,4.0,ULTRASOFT,1.0,86530000000,3.0,True,1,True
Haas F1 Team,GRO,5.0,ULTRASOFT,1.0,86706000000,4.0,True,1,True
Haas F1 Team,GRO,6.0,ULTRASOFT,1.0,97709000000,5.0,True,26,False
Haas F1 Team,GRO,7.0,ULTRASOFT,1.0,89544000000,6.0,True,67,False
Haas F1 Team,GRO,8.0,ULTRASOFT,1.0,85011000000,7.0,True,1,True
Haas F1 Team,GRO,9.0,ULTRASOFT,1.0,84949000000,8.0,True,1,True
Haas F1 Team,GRO,10.0,ULTRASOFT,1.0,84581000000,9.0,True,1,True
Haas F1 Team,GRO,11.0,ULTRASOFT,1.0,85656000000,10.0,True,1,True
Haas F1 Team,GRO,12.0,ULTRASOFT,1.0,84665000000,11.0,True,1,True
Haas F1 Team,GRO,13.0,ULTRASOFT,1.0,84553000000,12.0,True,1,True
Haas F1 Team,GRO,14.0,ULTRASOFT,1.0,84735000000,13.0,True,1,True
Haas F1 Team,GRO,15.0,ULTRASOFT,1.0,85044000000,14.0,True,1,True
Haas F1 Team,GRO,16.0,ULTRASOFT,1.0,84787000000,15.0,True,1,True
Haas F1 Team,GRO,17.0,ULTRASOFT,1.0,85155000000,16.0,True,1,True
Haas F1 Team,GRO,18.0,ULTRASOFT,1.0,85037000000,17.0,True,1,True
Haas F1 Team,GRO,19.0,ULTRASOFT,1.0,84723000000,18.0,True,1,True
Haas F1 Team,GRO,20.0,ULTRASOFT,1.0,84419000000,19.0,True,1,True
Haas F1 Team,GRO,21.0,ULTRASOFT,1.0,84588000000,20.0,True,1,True
Haas F1 Team,GRO,22.0,ULTRASOFT,1.0,84580000000,21.0,True,1,True
Haas F1 Team,GRO,23.0,ULTRASOFT,1.0,84431000000,22.0,True,1,True
Haas F1 Team,GRO,24.0,ULTRASOFT,1.0,83639000000,23.0,True,1,True
Haas F1 Team,GRO,25.0,ULTRASOFT,1.0,83281000000,24.0,True,1,True
Haas F1 Team,GRO,26.0,ULTRASOFT,1.0,83188000000,25.0,True,1,True
Haas F1 Team,GRO,27.0,ULTRASOFT,1.0,83567000000,26.0,True,1,True
Haas F1 Team,GRO,28.0,ULTRASOFT,1.0,83289000000,27.0,True,1,True
Haas F1 Team,GRO,29.0,ULTRASOFT,1.0,86287000000,28.0,True,1,False
Haas F1 Team,GRO,30.0,SOFT,2.0,101609000000,1.0,True,1,False
