['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,HAM,2.0,nan,nan,83184000000,nan,nan,1,True
Mercedes,HAM,3.0,ULTRASOFT,1.0,82893000000,1.0,True,1,True
Mercedes,HAM,4.0,ULTRASOFT,1.0,82951000000,2.0,True,1,True
Mercedes,HAM,5.0,ULTRASOFT,1.0,83643000000,3.0,True,1,True
Mercedes,HAM,6.0,ULTRASOFT,1.0,87374000000,4.0,True,26,False
Mercedes,HAM,7.0,ULTRASOFT,1.0,96189000000,5.0,True,67,False
Mercedes,HAM,8.0,ULTRASOFT,1.0,83317000000,6.0,True,1,True
Mercedes,HAM,9.0,ULTRASOFT,1.0,83567000000,7.0,True,1,True
Mercedes,HAM,10.0,ULTRASOFT,1.0,83264000000,8.0,True,1,True
Mercedes,HAM,11.0,ULTRASOFT,1.0,83066000000,9.0,True,1,True
Mercedes,HAM,12.0,ULTRASOFT,1.0,83291000000,10.0,True,1,True
Mercedes,HAM,13.0,ULTRASOFT,1.0,83056000000,11.0,True,1,True
Mercedes,HAM,14.0,ULTRASOFT,1.0,82783000000,12.0,True,1,True
Mercedes,HAM,15.0,ULTRASOFT,1.0,82539000000,13.0,True,1,True
Mercedes,HAM,16.0,ULTRASOFT,1.0,82402000000,14.0,True,1,True
Mercedes,HAM,17.0,ULTRASOFT,1.0,82461000000,15.0,True,1,True
Mercedes,HAM,18.0,ULTRASOFT,1.0,82423000000,16.0,True,1,True
Mercedes,HAM,19.0,ULTRASOFT,1.0,82317000000,17.0,True,1,True
Mercedes,HAM,20.0,ULTRASOFT,1.0,82600000000,18.0,True,1,True
Mercedes,HAM,21.0,ULTRASOFT,1.0,82700000000,19.0,True,1,True
Mercedes,HAM,22.0,ULTRASOFT,1.0,83760000000,20.0,True,1,True
Mercedes,HAM,23.0,ULTRASOFT,1.0,82851000000,21.0,True,1,True
Mercedes,HAM,24.0,ULTRASOFT,1.0,83634000000,22.0,True,1,True
Mercedes,HAM,25.0,ULTRASOFT,1.0,85095000000,23.0,True,1,False
Mercedes,HAM,26.0,SOFT,2.0,100241000000,1.0,True,1,False
Mercedes,HAM,27.0,SOFT,2.0,81968000000,2.0,True,1,True
Mercedes,HAM,28.0,SOFT,2.0,82965000000,3.0,True,1,True
Mercedes,HAM,29.0,SOFT,2.0,82887000000,4.0,True,1,True
Mercedes,HAM,30.0,SOFT,2.0,83702000000,5.0,True,1,True
Mercedes,HAM,31.0,SOFT,2.0,82798000000,6.0,True,1,True
Mercedes,HAM,32.0,SOFT,2.0,82920000000,7.0,True,1,True
Mercedes,HAM,33.0,SOFT,2.0,82377000000,8.0,True,1,True
Mercedes,HAM,34.0,SOFT,2.0,82343000000,9.0,True,1,True
Mercedes,HAM,35.0,SOFT,2.0,82712000000,10.0,True,1,True
Mercedes,HAM,36.0,SOFT,2.0,82373000000,11.0,True,1,True
Mercedes,HAM,37.0,SOFT,2.0,82499000000,12.0,True,1,True
Mercedes,HAM,38.0,SOFT,2.0,83301000000,13.0,True,1,True
Mercedes,HAM,39.0,SOFT,2.0,83111000000,14.0,True,1,True
Mercedes,HAM,40.0,SOFT,2.0,83679000000,15.0,True,1,True
Mercedes,HAM,41.0,SOFT,2.0,82672000000,16.0,True,1,True
Mercedes,HAM,42.0,SOFT,2.0,82728000000,17.0,True,1,True
Mercedes,HAM,43.0,SOFT,2.0,82486000000,18.0,True,1,True
Mercedes,HAM,44.0,SOFT,2.0,82412000000,19.0,True,1,True
Mercedes,HAM,45.0,SOFT,2.0,81808000000,20.0,True,1,True
Mercedes,HAM,46.0,SOFT,2.0,81536000000,21.0,True,1,True
Mercedes,HAM,47.0,SOFT,2.0,81781000000,22.0,True,1,True
Mercedes,HAM,48.0,SOFT,2.0,81794000000,23.0,True,1,True
Mercedes,HAM,49.0,SOFT,2.0,81936000000,24.0,True,1,True
Mercedes,HAM,50.0,SOFT,2.0,82201000000,25.0,True,1,True
Mercedes,HAM,51.0,SOFT,2.0,90824000000,26.0,True,26,False
Mercedes,HAM,52.0,SOFT,2.0,96702000000,27.0,True,67,False
Mercedes,HAM,53.0,SOFT,2.0,81190000000,28.0,True,1,True
Mercedes,HAM,54.0,SOFT,2.0,81270000000,29.0,True,1,True
Mercedes,HAM,55.0,SOFT,2.0,81383000000,30.0,True,1,True
Mercedes,HAM,56.0,SOFT,2.0,81918000000,31.0,True,1,True
Mercedes,HAM,57.0,SOFT,2.0,82105000000,32.0,True,1,True
Mercedes,HAM,58.0,SOFT,2.0,81269000000,33.0,True,1,True
Mercedes,HAM,59.0,SOFT,2.0,81271000000,34.0,True,1,True
Mercedes,HAM,60.0,SOFT,2.0,81642000000,35.0,True,1,True
Mercedes,HAM,61.0,SOFT,2.0,81511000000,36.0,True,1,True
Mercedes,HAM,62.0,SOFT,2.0,81493000000,37.0,True,1,True
Mercedes,HAM,63.0,SOFT,2.0,81107000000,38.0,True,1,True
Mercedes,HAM,64.0,SOFT,2.0,81417000000,39.0,True,1,True
Mercedes,HAM,65.0,SOFT,2.0,81736000000,40.0,True,1,True
Mercedes,HAM,66.0,SOFT,2.0,81617000000,41.0,True,1,True
Mercedes,HAM,67.0,SOFT,2.0,82286000000,42.0,True,1,True
Mercedes,HAM,68.0,SOFT,2.0,82444000000,43.0,True,1,True
Mercedes,HAM,69.0,SOFT,2.0,81857000000,44.0,True,1,True
Mercedes,HAM,70.0,SOFT,2.0,82090000000,45.0,True,1,True
