['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Renault,HUL,2.0,SOFT,1.0,86727000000,1.0,True,1,True
Renault,HUL,3.0,SOFT,1.0,86672000000,2.0,True,1,True
Renault,HUL,4.0,SOFT,1.0,86393000000,3.0,True,1,True
Renault,HUL,5.0,SOFT,1.0,85703000000,4.0,True,1,True
Renault,HUL,6.0,SOFT,1.0,96432000000,5.0,True,26,False
Renault,HUL,7.0,SOFT,1.0,90794000000,6.0,True,67,False
Renault,HUL,8.0,SOFT,1.0,85354000000,7.0,True,1,True
Renault,HUL,9.0,SOFT,1.0,84955000000,8.0,True,1,True
Renault,HUL,10.0,SOFT,1.0,85362000000,9.0,True,1,True
Renault,HUL,11.0,SOFT,1.0,85043000000,10.0,True,1,True
Renault,HUL,12.0,SOFT,1.0,85177000000,11.0,True,1,True
Renault,HUL,13.0,SOFT,1.0,85678000000,12.0,True,1,True
Renault,HUL,14.0,SOFT,1.0,85048000000,13.0,True,1,True
Renault,HUL,15.0,SOFT,1.0,85060000000,14.0,True,1,True
Renault,HUL,16.0,SOFT,1.0,84997000000,15.0,True,1,True
Renault,HUL,17.0,SOFT,1.0,85104000000,16.0,True,1,True
Renault,HUL,18.0,SOFT,1.0,85028000000,17.0,True,1,True
Renault,HUL,19.0,SOFT,1.0,84540000000,18.0,True,1,True
Renault,HUL,20.0,SOFT,1.0,84282000000,19.0,True,1,True
Renault,HUL,21.0,SOFT,1.0,84481000000,20.0,True,1,True
Renault,HUL,22.0,SOFT,1.0,84685000000,21.0,True,1,True
Renault,HUL,23.0,SOFT,1.0,86677000000,22.0,True,1,False
Renault,HUL,24.0,MEDIUM,2.0,101024000000,1.0,True,1,False
Renault,HUL,25.0,MEDIUM,2.0,84979000000,2.0,True,1,True
Renault,HUL,26.0,MEDIUM,2.0,84756000000,3.0,True,1,True
Renault,HUL,27.0,MEDIUM,2.0,83801000000,4.0,True,1,True
Renault,HUL,28.0,MEDIUM,2.0,83758000000,5.0,True,1,True
Renault,HUL,29.0,MEDIUM,2.0,84227000000,6.0,True,1,True
Renault,HUL,30.0,MEDIUM,2.0,85003000000,7.0,True,1,True
Renault,HUL,31.0,MEDIUM,2.0,86679000000,8.0,True,1,True
Renault,HUL,32.0,MEDIUM,2.0,84250000000,9.0,True,1,True
Renault,HUL,33.0,MEDIUM,2.0,84542000000,10.0,True,1,True
Renault,HUL,34.0,MEDIUM,2.0,84533000000,11.0,True,1,True
Renault,HUL,35.0,MEDIUM,2.0,84440000000,12.0,True,1,True
Renault,HUL,36.0,MEDIUM,2.0,84316000000,13.0,True,1,True
Renault,HUL,37.0,MEDIUM,2.0,84209000000,14.0,True,1,True
Renault,HUL,38.0,MEDIUM,2.0,86220000000,15.0,True,1,True
Renault,HUL,39.0,MEDIUM,2.0,84644000000,16.0,True,1,True
Renault,HUL,40.0,MEDIUM,2.0,84820000000,17.0,True,1,True
Renault,HUL,41.0,MEDIUM,2.0,84899000000,18.0,True,1,True
Renault,HUL,42.0,MEDIUM,2.0,87027000000,19.0,True,1,True
Renault,HUL,43.0,MEDIUM,2.0,84563000000,20.0,True,1,True
Renault,HUL,44.0,MEDIUM,2.0,84127000000,21.0,True,1,True
Renault,HUL,45.0,MEDIUM,2.0,84088000000,22.0,True,1,True
Renault,HUL,46.0,MEDIUM,2.0,84359000000,23.0,True,1,True
Renault,HUL,47.0,MEDIUM,2.0,83979000000,24.0,True,1,True
Renault,HUL,48.0,MEDIUM,2.0,86031000000,25.0,True,1,True
Renault,HUL,49.0,MEDIUM,2.0,83741000000,26.0,True,1,True
Renault,HUL,50.0,MEDIUM,2.0,101926000000,27.0,True,267,False
Renault,HUL,51.0,ULTRASOFT,3.0,102149000000,1.0,True,7,False
Renault,HUL,52.0,ULTRASOFT,3.0,82423000000,2.0,True,1,True
Renault,HUL,53.0,ULTRASOFT,3.0,82761000000,3.0,True,1,True
Renault,HUL,54.0,ULTRASOFT,3.0,81685000000,4.0,True,1,True
Renault,HUL,55.0,ULTRASOFT,3.0,82384000000,5.0,True,1,True
Renault,HUL,56.0,ULTRASOFT,3.0,83029000000,6.0,True,1,True
Renault,HUL,57.0,ULTRASOFT,3.0,83038000000,7.0,True,1,True
Renault,HUL,58.0,ULTRASOFT,3.0,83440000000,8.0,True,1,True
Renault,HUL,59.0,ULTRASOFT,3.0,84695000000,9.0,True,1,True
Renault,HUL,60.0,ULTRASOFT,3.0,83671000000,10.0,True,1,True
Renault,HUL,61.0,ULTRASOFT,3.0,82466000000,11.0,True,1,True
Renault,HUL,62.0,ULTRASOFT,3.0,82137000000,12.0,True,1,True
Renault,HUL,63.0,ULTRASOFT,3.0,82664000000,13.0,True,1,True
Renault,HUL,64.0,ULTRASOFT,3.0,83180000000,14.0,True,1,True
Renault,HUL,65.0,ULTRASOFT,3.0,83764000000,15.0,True,1,True
Renault,HUL,66.0,ULTRASOFT,3.0,81361000000,16.0,True,1,True
Renault,HUL,67.0,ULTRASOFT,3.0,81340000000,17.0,True,1,True
Renault,HUL,68.0,ULTRASOFT,3.0,81428000000,18.0,True,1,True
Renault,HUL,69.0,ULTRASOFT,3.0,81261000000,19.0,True,1,True
