['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Force India,OCO,2.0,SOFT,1.0,87796000000,1.0,True,1,True
Force India,OCO,3.0,SOFT,1.0,87147000000,2.0,True,1,True
Force India,OCO,4.0,SOFT,1.0,87296000000,3.0,True,1,True
Force India,OCO,5.0,SOFT,1.0,86650000000,4.0,True,1,True
Force India,OCO,6.0,SOFT,1.0,98739000000,5.0,True,26,False
Force India,OCO,7.0,SOFT,1.0,90179000000,6.0,True,67,False
Force India,OCO,8.0,SOFT,1.0,86358000000,7.0,True,1,True
Force India,OCO,9.0,SOFT,1.0,85863000000,8.0,True,1,True
Force India,OCO,10.0,SOFT,1.0,86049000000,9.0,True,1,True
Force India,OCO,11.0,SOFT,1.0,85720000000,10.0,True,1,True
Force India,OCO,12.0,SOFT,1.0,85281000000,11.0,True,1,True
Force India,OCO,13.0,SOFT,1.0,85056000000,12.0,True,1,True
Force India,OCO,14.0,SOFT,1.0,85273000000,13.0,True,1,True
Force India,OCO,15.0,SOFT,1.0,84962000000,14.0,True,1,True
Force India,OCO,16.0,SOFT,1.0,85135000000,15.0,True,1,True
Force India,OCO,17.0,SOFT,1.0,85010000000,16.0,True,1,True
Force India,OCO,18.0,SOFT,1.0,85014000000,17.0,True,1,True
Force India,OCO,19.0,SOFT,1.0,84750000000,18.0,True,1,True
Force India,OCO,20.0,SOFT,1.0,84526000000,19.0,True,1,True
Force India,OCO,21.0,SOFT,1.0,84775000000,20.0,True,1,True
Force India,OCO,22.0,SOFT,1.0,84755000000,21.0,True,1,True
Force India,OCO,23.0,SOFT,1.0,84719000000,22.0,True,1,True
Force India,OCO,24.0,SOFT,1.0,84606000000,23.0,True,1,True
Force India,OCO,25.0,SOFT,1.0,84675000000,24.0,True,1,True
Force India,OCO,26.0,SOFT,1.0,84494000000,25.0,True,1,True
Force India,OCO,27.0,SOFT,1.0,84522000000,26.0,True,1,True
Force India,OCO,28.0,SOFT,1.0,84264000000,27.0,True,1,True
Force India,OCO,29.0,SOFT,1.0,84766000000,28.0,True,1,True
Force India,OCO,30.0,SOFT,1.0,84330000000,29.0,True,1,True
Force India,OCO,31.0,SOFT,1.0,84543000000,30.0,True,1,True
Force India,OCO,32.0,SOFT,1.0,84696000000,31.0,True,1,True
Force India,OCO,33.0,SOFT,1.0,84654000000,32.0,True,1,True
Force India,OCO,34.0,SOFT,1.0,84775000000,33.0,True,1,True
Force India,OCO,35.0,SOFT,1.0,84868000000,34.0,True,1,True
Force India,OCO,36.0,SOFT,1.0,84616000000,35.0,True,1,True
Force India,OCO,37.0,SOFT,1.0,86185000000,36.0,True,1,True
Force India,OCO,38.0,SOFT,1.0,85478000000,37.0,True,1,True
Force India,OCO,39.0,SOFT,1.0,88220000000,38.0,True,1,False
Force India,OCO,40.0,ULTRASOFT,2.0,102945000000,1.0,True,1,False
Force India,OCO,41.0,ULTRASOFT,2.0,84504000000,2.0,True,1,True
Force India,OCO,42.0,ULTRASOFT,2.0,83707000000,3.0,True,1,True
Force India,OCO,43.0,ULTRASOFT,2.0,83925000000,4.0,True,1,True
Force India,OCO,44.0,ULTRASOFT,2.0,85703000000,5.0,True,1,True
Force India,OCO,45.0,ULTRASOFT,2.0,83923000000,6.0,True,1,True
Force India,OCO,46.0,ULTRASOFT,2.0,83997000000,7.0,True,1,True
Force India,OCO,47.0,ULTRASOFT,2.0,83457000000,8.0,True,1,True
Force India,OCO,48.0,ULTRASOFT,2.0,83387000000,9.0,True,1,True
Force India,OCO,49.0,ULTRASOFT,2.0,83489000000,10.0,True,1,True
Force India,OCO,50.0,ULTRASOFT,2.0,106822000000,11.0,True,267,False
Force India,OCO,51.0,ULTRASOFT,2.0,84112000000,12.0,True,7,False
Force India,OCO,52.0,ULTRASOFT,2.0,83184000000,13.0,True,1,True
Force India,OCO,53.0,ULTRASOFT,2.0,83113000000,14.0,True,1,True
Force India,OCO,54.0,ULTRASOFT,2.0,83316000000,15.0,True,1,True
Force India,OCO,55.0,ULTRASOFT,2.0,83133000000,16.0,True,1,True
Force India,OCO,56.0,ULTRASOFT,2.0,83141000000,17.0,True,1,True
Force India,OCO,57.0,ULTRASOFT,2.0,83058000000,18.0,True,1,True
Force India,OCO,58.0,ULTRASOFT,2.0,83225000000,19.0,True,1,True
Force India,OCO,59.0,ULTRASOFT,2.0,83350000000,20.0,True,1,True
Force India,OCO,60.0,ULTRASOFT,2.0,83305000000,21.0,True,1,True
Force India,OCO,61.0,ULTRASOFT,2.0,83231000000,22.0,True,1,True
Force India,OCO,62.0,ULTRASOFT,2.0,83099000000,23.0,True,1,True
Force India,OCO,63.0,ULTRASOFT,2.0,82876000000,24.0,True,1,True
Force India,OCO,64.0,ULTRASOFT,2.0,83187000000,25.0,True,1,True
Force India,OCO,65.0,ULTRASOFT,2.0,83829000000,26.0,True,1,True
Force India,OCO,66.0,ULTRASOFT,2.0,84467000000,27.0,True,1,True
Force India,OCO,67.0,ULTRASOFT,2.0,83399000000,28.0,True,1,True
Force India,OCO,68.0,ULTRASOFT,2.0,83260000000,29.0,True,1,True
Force India,OCO,69.0,ULTRASOFT,2.0,83160000000,30.0,True,1,True
