['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,RIC,2.0,SOFT,1.0,87650000000,1.0,True,1,True
Red Bull Racing,RIC,3.0,SOFT,1.0,86612000000,2.0,True,1,True
Red Bull Racing,RIC,4.0,SOFT,1.0,85779000000,3.0,True,1,True
Red Bull Racing,RIC,5.0,SOFT,1.0,86692000000,4.0,True,1,True
Red Bull Racing,RIC,6.0,SOFT,1.0,97472000000,5.0,True,26,False
Red Bull Racing,RIC,7.0,SOFT,1.0,90637000000,6.0,True,67,False
Red Bull Racing,RIC,8.0,SOFT,1.0,85607000000,7.0,True,1,True
Red Bull Racing,RIC,9.0,SOFT,1.0,83159000000,8.0,True,1,True
Red Bull Racing,RIC,10.0,SOFT,1.0,84078000000,9.0,True,1,True
Red Bull Racing,RIC,11.0,SOFT,1.0,82988000000,10.0,True,1,True
Red Bull Racing,RIC,12.0,SOFT,1.0,84792000000,11.0,True,1,True
Red Bull Racing,RIC,13.0,SOFT,1.0,83821000000,12.0,True,1,True
Red Bull Racing,RIC,14.0,SOFT,1.0,83017000000,13.0,True,1,True
Red Bull Racing,RIC,15.0,SOFT,1.0,84350000000,14.0,True,1,True
Red Bull Racing,RIC,16.0,SOFT,1.0,82397000000,15.0,True,1,True
Red Bull Racing,RIC,17.0,SOFT,1.0,82598000000,16.0,True,1,True
Red Bull Racing,RIC,18.0,SOFT,1.0,83088000000,17.0,True,1,True
Red Bull Racing,RIC,19.0,SOFT,1.0,83994000000,18.0,True,1,True
Red Bull Racing,RIC,20.0,SOFT,1.0,84582000000,19.0,True,1,True
Red Bull Racing,RIC,21.0,SOFT,1.0,82624000000,20.0,True,1,True
Red Bull Racing,RIC,22.0,SOFT,1.0,82323000000,21.0,True,1,True
Red Bull Racing,RIC,23.0,SOFT,1.0,82395000000,22.0,True,1,True
Red Bull Racing,RIC,24.0,SOFT,1.0,82601000000,23.0,True,1,True
Red Bull Racing,RIC,25.0,SOFT,1.0,83144000000,24.0,True,1,True
Red Bull Racing,RIC,26.0,SOFT,1.0,83320000000,25.0,True,1,True
Red Bull Racing,RIC,27.0,SOFT,1.0,81977000000,26.0,True,1,True
Red Bull Racing,RIC,28.0,SOFT,1.0,82216000000,27.0,True,1,True
Red Bull Racing,RIC,29.0,SOFT,1.0,82180000000,28.0,True,1,True
Red Bull Racing,RIC,30.0,SOFT,1.0,82367000000,29.0,True,1,True
Red Bull Racing,RIC,31.0,SOFT,1.0,82641000000,30.0,True,1,True
Red Bull Racing,RIC,32.0,SOFT,1.0,82573000000,31.0,True,1,True
Red Bull Racing,RIC,33.0,SOFT,1.0,82709000000,32.0,True,1,True
Red Bull Racing,RIC,34.0,SOFT,1.0,84141000000,33.0,True,1,True
Red Bull Racing,RIC,35.0,SOFT,1.0,82912000000,34.0,True,1,True
Red Bull Racing,RIC,36.0,SOFT,1.0,82634000000,35.0,True,1,True
Red Bull Racing,RIC,37.0,SOFT,1.0,82222000000,36.0,True,1,True
Red Bull Racing,RIC,38.0,SOFT,1.0,82933000000,37.0,True,1,True
Red Bull Racing,RIC,39.0,SOFT,1.0,83126000000,38.0,True,1,True
Red Bull Racing,RIC,40.0,SOFT,1.0,83404000000,39.0,True,1,True
Red Bull Racing,RIC,41.0,SOFT,1.0,83417000000,40.0,True,1,True
Red Bull Racing,RIC,42.0,SOFT,1.0,82924000000,41.0,True,1,True
Red Bull Racing,RIC,43.0,SOFT,1.0,82750000000,42.0,True,1,True
Red Bull Racing,RIC,44.0,SOFT,1.0,85206000000,43.0,True,1,False
Red Bull Racing,RIC,45.0,ULTRASOFT,2.0,100548000000,1.0,True,1,False
Red Bull Racing,RIC,46.0,ULTRASOFT,2.0,80012000000,2.0,True,1,True
Red Bull Racing,RIC,47.0,ULTRASOFT,2.0,81585000000,3.0,True,1,True
Red Bull Racing,RIC,48.0,ULTRASOFT,2.0,81383000000,4.0,True,1,True
Red Bull Racing,RIC,49.0,ULTRASOFT,2.0,82024000000,5.0,True,1,True
Red Bull Racing,RIC,50.0,ULTRASOFT,2.0,81636000000,6.0,True,1,True
Red Bull Racing,RIC,51.0,ULTRASOFT,2.0,104904000000,7.0,True,267,False
Red Bull Racing,RIC,52.0,ULTRASOFT,2.0,82005000000,8.0,True,7,False
Red Bull Racing,RIC,53.0,ULTRASOFT,2.0,80819000000,9.0,True,1,True
Red Bull Racing,RIC,54.0,ULTRASOFT,2.0,81082000000,10.0,True,1,True
Red Bull Racing,RIC,55.0,ULTRASOFT,2.0,81606000000,11.0,True,1,True
Red Bull Racing,RIC,56.0,ULTRASOFT,2.0,81911000000,12.0,True,1,True
Red Bull Racing,RIC,57.0,ULTRASOFT,2.0,82042000000,13.0,True,1,True
Red Bull Racing,RIC,58.0,ULTRASOFT,2.0,81656000000,14.0,True,1,True
Red Bull Racing,RIC,59.0,ULTRASOFT,2.0,81511000000,15.0,True,1,True
Red Bull Racing,RIC,60.0,ULTRASOFT,2.0,81719000000,16.0,True,1,True
Red Bull Racing,RIC,61.0,ULTRASOFT,2.0,81862000000,17.0,True,1,True
Red Bull Racing,RIC,62.0,ULTRASOFT,2.0,80039000000,18.0,True,1,True
Red Bull Racing,RIC,63.0,ULTRASOFT,2.0,80036000000,19.0,True,1,True
Red Bull Racing,RIC,64.0,ULTRASOFT,2.0,81153000000,20.0,True,1,True
Red Bull Racing,RIC,65.0,ULTRASOFT,2.0,81098000000,21.0,True,1,True
Red Bull Racing,RIC,66.0,ULTRASOFT,2.0,81646000000,22.0,True,1,True
Red Bull Racing,RIC,67.0,ULTRASOFT,2.0,83808000000,23.0,True,1,True
Red Bull Racing,RIC,68.0,ULTRASOFT,2.0,88112000000,24.0,True,1,True
Red Bull Racing,RIC,69.0,ULTRASOFT,2.0,85068000000,25.0,True,1,True
Red Bull Racing,RIC,70.0,ULTRASOFT,2.0,83359000000,26.0,True,1,True
