['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Renault,SAI,2.0,SOFT,1.0,86480000000,1.0,True,1,True
Renault,SAI,3.0,SOFT,1.0,86336000000,2.0,True,1,True
Renault,SAI,4.0,SOFT,1.0,85863000000,3.0,True,1,True
Renault,SAI,5.0,SOFT,1.0,85753000000,4.0,True,1,True
Renault,SAI,6.0,SOFT,1.0,94839000000,5.0,True,26,False
Renault,SAI,7.0,SOFT,1.0,91103000000,6.0,True,67,False
Renault,SAI,8.0,SOFT,1.0,85271000000,7.0,True,1,True
Renault,SAI,9.0,SOFT,1.0,85270000000,8.0,True,1,True
Renault,SAI,10.0,SOFT,1.0,85218000000,9.0,True,1,True
Renault,SAI,11.0,SOFT,1.0,85405000000,10.0,True,1,True
Renault,SAI,12.0,SOFT,1.0,85260000000,11.0,True,1,True
Renault,SAI,13.0,SOFT,1.0,84661000000,12.0,True,1,True
Renault,SAI,14.0,SOFT,1.0,84410000000,13.0,True,1,True
Renault,SAI,15.0,SOFT,1.0,85094000000,14.0,True,1,True
Renault,SAI,16.0,SOFT,1.0,86454000000,15.0,True,1,True
Renault,SAI,17.0,SOFT,1.0,84730000000,16.0,True,1,True
Renault,SAI,18.0,SOFT,1.0,84461000000,17.0,True,1,True
Renault,SAI,19.0,SOFT,1.0,84520000000,18.0,True,1,True
Renault,SAI,20.0,SOFT,1.0,84410000000,19.0,True,1,True
Renault,SAI,21.0,SOFT,1.0,84240000000,20.0,True,1,True
Renault,SAI,22.0,SOFT,1.0,84066000000,21.0,True,1,True
Renault,SAI,23.0,SOFT,1.0,84323000000,22.0,True,1,True
Renault,SAI,24.0,SOFT,1.0,84108000000,23.0,True,1,True
Renault,SAI,25.0,SOFT,1.0,86626000000,24.0,True,1,False
Renault,SAI,26.0,MEDIUM,2.0,102309000000,1.0,True,1,False
Renault,SAI,27.0,MEDIUM,2.0,83853000000,2.0,True,1,True
Renault,SAI,28.0,MEDIUM,2.0,84150000000,3.0,True,1,True
Renault,SAI,29.0,MEDIUM,2.0,84196000000,4.0,True,1,True
Renault,SAI,30.0,MEDIUM,2.0,84414000000,5.0,True,1,True
Renault,SAI,31.0,MEDIUM,2.0,84284000000,6.0,True,1,True
Renault,SAI,32.0,MEDIUM,2.0,84471000000,7.0,True,1,True
Renault,SAI,33.0,MEDIUM,2.0,84851000000,8.0,True,1,True
Renault,SAI,34.0,MEDIUM,2.0,84487000000,9.0,True,1,True
Renault,SAI,35.0,MEDIUM,2.0,86548000000,10.0,True,1,True
Renault,SAI,36.0,MEDIUM,2.0,84300000000,11.0,True,1,True
Renault,SAI,37.0,MEDIUM,2.0,84699000000,12.0,True,1,True
Renault,SAI,38.0,MEDIUM,2.0,85230000000,13.0,True,1,True
Renault,SAI,39.0,MEDIUM,2.0,86221000000,14.0,True,1,True
Renault,SAI,40.0,MEDIUM,2.0,83232000000,15.0,True,1,True
Renault,SAI,41.0,MEDIUM,2.0,86114000000,16.0,True,1,True
Renault,SAI,42.0,MEDIUM,2.0,83866000000,17.0,True,1,True
Renault,SAI,43.0,MEDIUM,2.0,83797000000,18.0,True,1,True
Renault,SAI,44.0,MEDIUM,2.0,84092000000,19.0,True,1,True
Renault,SAI,45.0,MEDIUM,2.0,86287000000,20.0,True,1,True
Renault,SAI,46.0,MEDIUM,2.0,85356000000,21.0,True,1,True
Renault,SAI,47.0,MEDIUM,2.0,83656000000,22.0,True,1,True
Renault,SAI,48.0,MEDIUM,2.0,83669000000,23.0,True,1,True
Renault,SAI,49.0,MEDIUM,2.0,83465000000,24.0,True,1,True
Renault,SAI,50.0,MEDIUM,2.0,101746000000,25.0,True,26,False
Renault,SAI,51.0,MEDIUM,2.0,86874000000,26.0,True,67,False
Renault,SAI,52.0,MEDIUM,2.0,84906000000,27.0,True,1,True
Renault,SAI,53.0,MEDIUM,2.0,83283000000,28.0,True,1,True
Renault,SAI,54.0,MEDIUM,2.0,83070000000,29.0,True,1,True
Renault,SAI,55.0,MEDIUM,2.0,82992000000,30.0,True,1,True
Renault,SAI,56.0,MEDIUM,2.0,83052000000,31.0,True,1,True
Renault,SAI,57.0,MEDIUM,2.0,83020000000,32.0,True,1,True
Renault,SAI,58.0,MEDIUM,2.0,82774000000,33.0,True,1,True
Renault,SAI,59.0,MEDIUM,2.0,82986000000,34.0,True,1,True
Renault,SAI,60.0,MEDIUM,2.0,85388000000,35.0,True,1,True
Renault,SAI,61.0,MEDIUM,2.0,83050000000,36.0,True,1,True
Renault,SAI,62.0,MEDIUM,2.0,82817000000,37.0,True,1,True
Renault,SAI,63.0,MEDIUM,2.0,83178000000,38.0,True,1,True
Renault,SAI,64.0,MEDIUM,2.0,83276000000,39.0,True,1,True
Renault,SAI,65.0,MEDIUM,2.0,83028000000,40.0,True,1,True
Renault,SAI,66.0,MEDIUM,2.0,83245000000,41.0,True,1,True
Renault,SAI,67.0,MEDIUM,2.0,83955000000,42.0,True,1,True
Renault,SAI,68.0,MEDIUM,2.0,83860000000,43.0,True,1,True
Renault,SAI,69.0,MEDIUM,2.0,84255000000,44.0,True,1,True
