['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,STR,2.0,MEDIUM,1.0,88049000000,1.0,True,1,True
Williams,STR,3.0,MEDIUM,1.0,87949000000,2.0,True,1,True
Williams,STR,4.0,MEDIUM,1.0,87530000000,3.0,True,1,True
Williams,STR,5.0,MEDIUM,1.0,86809000000,4.0,True,1,True
Williams,STR,6.0,MEDIUM,1.0,99897000000,5.0,True,267,False
Williams,STR,7.0,MEDIUM,1.0,87984000000,6.0,True,7,False
Williams,STR,8.0,MEDIUM,1.0,86753000000,7.0,True,1,True
Williams,STR,9.0,MEDIUM,1.0,86685000000,8.0,True,1,True
Williams,STR,10.0,MEDIUM,1.0,86472000000,9.0,True,1,True
Williams,STR,11.0,MEDIUM,1.0,86359000000,10.0,True,1,True
Williams,STR,12.0,MEDIUM,1.0,85946000000,11.0,True,1,True
Williams,STR,13.0,MEDIUM,1.0,85738000000,12.0,True,1,True
Williams,STR,14.0,MEDIUM,1.0,85993000000,13.0,True,1,True
Williams,STR,15.0,MEDIUM,1.0,85771000000,14.0,True,1,True
Williams,STR,16.0,MEDIUM,1.0,85560000000,15.0,True,1,True
Williams,STR,17.0,MEDIUM,1.0,85810000000,16.0,True,1,True
Williams,STR,18.0,MEDIUM,1.0,85503000000,17.0,True,1,True
Williams,STR,19.0,MEDIUM,1.0,85708000000,18.0,True,1,True
Williams,STR,20.0,MEDIUM,1.0,85793000000,19.0,True,1,True
Williams,STR,21.0,MEDIUM,1.0,85748000000,20.0,True,1,True
Williams,STR,22.0,MEDIUM,1.0,85300000000,21.0,True,1,True
Williams,STR,23.0,MEDIUM,1.0,87876000000,22.0,True,1,True
Williams,STR,24.0,MEDIUM,1.0,85387000000,23.0,True,1,True
Williams,STR,25.0,MEDIUM,1.0,87637000000,24.0,True,1,True
Williams,STR,26.0,MEDIUM,1.0,85221000000,25.0,True,1,True
Williams,STR,27.0,MEDIUM,1.0,85211000000,26.0,True,1,True
Williams,STR,28.0,MEDIUM,1.0,85321000000,27.0,True,1,True
Williams,STR,29.0,MEDIUM,1.0,86908000000,28.0,True,1,True
Williams,STR,30.0,MEDIUM,1.0,86888000000,29.0,True,1,True
Williams,STR,31.0,MEDIUM,1.0,85445000000,30.0,True,1,True
Williams,STR,32.0,MEDIUM,1.0,85108000000,31.0,True,1,True
Williams,STR,33.0,MEDIUM,1.0,88669000000,32.0,True,1,True
Williams,STR,34.0,MEDIUM,1.0,87480000000,33.0,True,1,True
Williams,STR,35.0,MEDIUM,1.0,85304000000,34.0,True,1,True
Williams,STR,36.0,MEDIUM,1.0,85292000000,35.0,True,1,True
Williams,STR,37.0,MEDIUM,1.0,85515000000,36.0,True,1,True
Williams,STR,38.0,MEDIUM,1.0,85203000000,37.0,True,1,True
Williams,STR,39.0,MEDIUM,1.0,87079000000,38.0,True,1,True
Williams,STR,40.0,MEDIUM,1.0,85170000000,39.0,True,1,True
Williams,STR,41.0,MEDIUM,1.0,85142000000,40.0,True,1,True
Williams,STR,42.0,MEDIUM,1.0,85185000000,41.0,True,1,True
Williams,STR,43.0,MEDIUM,1.0,85144000000,42.0,True,1,True
Williams,STR,44.0,MEDIUM,1.0,85823000000,43.0,True,1,True
Williams,STR,45.0,MEDIUM,1.0,85462000000,44.0,True,1,True
Williams,STR,46.0,MEDIUM,1.0,85241000000,45.0,True,1,True
Williams,STR,47.0,MEDIUM,1.0,88356000000,46.0,True,1,False
Williams,STR,48.0,ULTRASOFT,2.0,102679000000,1.0,True,1,False
Williams,STR,49.0,ULTRASOFT,2.0,92137000000,2.0,True,26,False
Williams,STR,50.0,ULTRASOFT,2.0,97834000000,3.0,True,67,False
Williams,STR,51.0,ULTRASOFT,2.0,82660000000,4.0,True,1,True
Williams,STR,52.0,ULTRASOFT,2.0,83065000000,5.0,True,1,True
Williams,STR,53.0,ULTRASOFT,2.0,83569000000,6.0,True,1,True
Williams,STR,54.0,ULTRASOFT,2.0,83483000000,7.0,True,1,True
Williams,STR,55.0,ULTRASOFT,2.0,83518000000,8.0,True,1,True
Williams,STR,56.0,ULTRASOFT,2.0,83653000000,9.0,True,1,True
Williams,STR,57.0,ULTRASOFT,2.0,88342000000,10.0,True,1,True
Williams,STR,58.0,ULTRASOFT,2.0,86779000000,11.0,True,1,True
Williams,STR,59.0,ULTRASOFT,2.0,84449000000,12.0,True,1,True
Williams,STR,60.0,ULTRASOFT,2.0,83570000000,13.0,True,1,True
Williams,STR,61.0,ULTRASOFT,2.0,83010000000,14.0,True,1,True
Williams,STR,62.0,ULTRASOFT,2.0,85373000000,15.0,True,1,True
Williams,STR,63.0,ULTRASOFT,2.0,83453000000,16.0,True,1,True
Williams,STR,64.0,ULTRASOFT,2.0,83345000000,17.0,True,1,True
Williams,STR,65.0,ULTRASOFT,2.0,83354000000,18.0,True,1,True
Williams,STR,66.0,ULTRASOFT,2.0,84648000000,19.0,True,1,True
Williams,STR,67.0,ULTRASOFT,2.0,84513000000,20.0,True,1,True
Williams,STR,68.0,ULTRASOFT,2.0,85916000000,21.0,True,1,True
