['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,BOT,2.0,SUPERSOFT,1.0,137044000000,4.0,False,674,False
Mercedes,BOT,3.0,SUPERSOFT,1.0,126167000000,5.0,False,4,False
Mercedes,BOT,4.0,SUPERSOFT,1.0,86776000000,6.0,False,1,False
Mercedes,BOT,5.0,SUPERSOFT,1.0,85763000000,7.0,False,1,True
Mercedes,BOT,6.0,SUPERSOFT,1.0,85538000000,8.0,False,1,True
Mercedes,BOT,7.0,SUPERSOFT,1.0,84981000000,9.0,False,1,True
Mercedes,BOT,8.0,SUPERSOFT,1.0,85070000000,10.0,False,1,True
Mercedes,BOT,9.0,SUPERSOFT,1.0,85163000000,11.0,False,1,True
Mercedes,BOT,10.0,SUPERSOFT,1.0,85176000000,12.0,False,1,True
Mercedes,BOT,11.0,SUPERSOFT,1.0,85203000000,13.0,False,1,True
Mercedes,BOT,12.0,SUPERSOFT,1.0,85065000000,14.0,False,1,True
Mercedes,BOT,13.0,SUPERSOFT,1.0,85224000000,15.0,False,1,True
Mercedes,BOT,14.0,SUPERSOFT,1.0,85024000000,16.0,False,1,True
Mercedes,BOT,15.0,SUPERSOFT,1.0,85284000000,17.0,False,1,True
Mercedes,BOT,16.0,SUPERSOFT,1.0,85014000000,18.0,False,1,True
Mercedes,BOT,17.0,SUPERSOFT,1.0,84915000000,19.0,False,1,True
Mercedes,BOT,18.0,SUPERSOFT,1.0,84582000000,20.0,False,1,True
Mercedes,BOT,19.0,SUPERSOFT,1.0,85291000000,21.0,False,1,True
Mercedes,BOT,20.0,SUPERSOFT,1.0,85080000000,22.0,False,1,True
Mercedes,BOT,21.0,SUPERSOFT,1.0,85169000000,23.0,False,1,True
Mercedes,BOT,22.0,SUPERSOFT,1.0,85271000000,24.0,False,1,True
Mercedes,BOT,23.0,SUPERSOFT,1.0,85325000000,25.0,False,1,True
Mercedes,BOT,24.0,SUPERSOFT,1.0,85076000000,26.0,False,2,True
Mercedes,BOT,25.0,SUPERSOFT,1.0,86181000000,27.0,False,2,True
Mercedes,BOT,26.0,SUPERSOFT,1.0,85473000000,28.0,False,2,True
Mercedes,BOT,27.0,SUPERSOFT,1.0,84199000000,29.0,False,1,True
Mercedes,BOT,28.0,SUPERSOFT,1.0,84359000000,30.0,False,1,True
Mercedes,BOT,29.0,SUPERSOFT,1.0,84551000000,31.0,False,1,True
Mercedes,BOT,30.0,SUPERSOFT,1.0,84370000000,32.0,False,1,True
Mercedes,BOT,31.0,SUPERSOFT,1.0,83847000000,33.0,False,1,True
Mercedes,BOT,32.0,SUPERSOFT,1.0,84157000000,34.0,False,1,True
Mercedes,BOT,33.0,SUPERSOFT,1.0,84762000000,35.0,False,1,True
Mercedes,BOT,34.0,SUPERSOFT,1.0,84560000000,36.0,False,1,True
Mercedes,BOT,35.0,SUPERSOFT,1.0,84090000000,37.0,False,1,True
Mercedes,BOT,36.0,SUPERSOFT,1.0,88735000000,38.0,False,1,False
Mercedes,BOT,37.0,SOFT,2.0,102981000000,1.0,True,1,False
Mercedes,BOT,38.0,SOFT,2.0,83062000000,2.0,True,1,True
Mercedes,BOT,39.0,SOFT,2.0,82907000000,3.0,True,1,True
Mercedes,BOT,40.0,SOFT,2.0,83082000000,4.0,True,1,True
Mercedes,BOT,41.0,SOFT,2.0,83038000000,5.0,True,1,True
Mercedes,BOT,42.0,SOFT,2.0,84116000000,6.0,True,1,True
Mercedes,BOT,43.0,SOFT,2.0,87893000000,7.0,True,1,True
Mercedes,BOT,44.0,SOFT,2.0,83260000000,8.0,True,1,True
Mercedes,BOT,45.0,SOFT,2.0,83174000000,9.0,True,1,True
Mercedes,BOT,46.0,SOFT,2.0,83042000000,10.0,True,1,True
Mercedes,BOT,47.0,SOFT,2.0,83525000000,11.0,True,1,True
Mercedes,BOT,48.0,SOFT,2.0,83908000000,12.0,True,1,True
Mercedes,BOT,49.0,SOFT,2.0,84545000000,13.0,True,1,True
Mercedes,BOT,50.0,SOFT,2.0,83665000000,14.0,True,1,True
Mercedes,BOT,51.0,SOFT,2.0,83734000000,15.0,True,1,True
Mercedes,BOT,52.0,SOFT,2.0,83637000000,16.0,True,1,True
Mercedes,BOT,53.0,SOFT,2.0,84256000000,17.0,True,1,True
