['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2.0,SUPERSOFT,1.0,137281000000,4.0,False,674,False
Haas F1 Team,GRO,3.0,SUPERSOFT,1.0,125602000000,5.0,False,4,False
Haas F1 Team,GRO,4.0,SUPERSOFT,1.0,87285000000,6.0,False,1,False
Haas F1 Team,GRO,5.0,SUPERSOFT,1.0,86163000000,7.0,False,1,True
Haas F1 Team,GRO,6.0,SUPERSOFT,1.0,86251000000,8.0,False,1,True
Haas F1 Team,GRO,7.0,SUPERSOFT,1.0,85981000000,9.0,False,1,True
Haas F1 Team,GRO,8.0,SUPERSOFT,1.0,85982000000,10.0,False,1,True
Haas F1 Team,GRO,9.0,SUPERSOFT,1.0,85955000000,11.0,False,1,True
Haas F1 Team,GRO,10.0,SUPERSOFT,1.0,86249000000,12.0,False,1,True
Haas F1 Team,GRO,11.0,SUPERSOFT,1.0,85985000000,13.0,False,1,True
Haas F1 Team,GRO,12.0,SUPERSOFT,1.0,85920000000,14.0,False,1,True
Haas F1 Team,GRO,13.0,SUPERSOFT,1.0,86028000000,15.0,False,1,True
Haas F1 Team,GRO,14.0,SUPERSOFT,1.0,85949000000,16.0,False,1,True
Haas F1 Team,GRO,15.0,SUPERSOFT,1.0,85976000000,17.0,False,1,True
Haas F1 Team,GRO,16.0,SUPERSOFT,1.0,85919000000,18.0,False,1,True
Haas F1 Team,GRO,17.0,SUPERSOFT,1.0,85921000000,19.0,False,1,True
Haas F1 Team,GRO,18.0,SUPERSOFT,1.0,85956000000,20.0,False,1,True
Haas F1 Team,GRO,19.0,SUPERSOFT,1.0,85803000000,21.0,False,1,True
Haas F1 Team,GRO,20.0,SUPERSOFT,1.0,85763000000,22.0,False,1,True
Haas F1 Team,GRO,21.0,SUPERSOFT,1.0,86097000000,23.0,False,1,True
Haas F1 Team,GRO,22.0,SUPERSOFT,1.0,85604000000,24.0,False,1,True
Haas F1 Team,GRO,23.0,SUPERSOFT,1.0,90276000000,25.0,False,1,False
Haas F1 Team,GRO,24.0,SOFT,2.0,106129000000,1.0,True,2,False
Haas F1 Team,GRO,25.0,SOFT,2.0,85732000000,2.0,True,2,True
Haas F1 Team,GRO,26.0,SOFT,2.0,84998000000,3.0,True,2,True
Haas F1 Team,GRO,27.0,SOFT,2.0,85026000000,4.0,True,1,True
Haas F1 Team,GRO,28.0,SOFT,2.0,85132000000,5.0,True,1,True
Haas F1 Team,GRO,29.0,SOFT,2.0,85110000000,6.0,True,1,True
Haas F1 Team,GRO,30.0,SOFT,2.0,85406000000,7.0,True,1,True
Haas F1 Team,GRO,31.0,SOFT,2.0,85103000000,8.0,True,1,True
Haas F1 Team,GRO,32.0,SOFT,2.0,84836000000,9.0,True,1,True
Haas F1 Team,GRO,33.0,SOFT,2.0,85605000000,10.0,True,1,True
Haas F1 Team,GRO,34.0,SOFT,2.0,86238000000,11.0,True,1,True
Haas F1 Team,GRO,35.0,SOFT,2.0,85779000000,12.0,True,1,True
Haas F1 Team,GRO,36.0,SOFT,2.0,84947000000,13.0,True,1,True
Haas F1 Team,GRO,37.0,SOFT,2.0,85204000000,14.0,True,1,True
Haas F1 Team,GRO,38.0,SOFT,2.0,84874000000,15.0,True,1,True
Haas F1 Team,GRO,39.0,SOFT,2.0,84898000000,16.0,True,1,True
Haas F1 Team,GRO,40.0,SOFT,2.0,85047000000,17.0,True,1,True
Haas F1 Team,GRO,41.0,SOFT,2.0,84926000000,18.0,True,1,True
Haas F1 Team,GRO,42.0,SOFT,2.0,84902000000,19.0,True,1,True
Haas F1 Team,GRO,43.0,SOFT,2.0,84656000000,20.0,True,1,True
Haas F1 Team,GRO,44.0,SOFT,2.0,84623000000,21.0,True,1,True
Haas F1 Team,GRO,45.0,SOFT,2.0,84568000000,22.0,True,1,True
Haas F1 Team,GRO,46.0,SOFT,2.0,84421000000,23.0,True,1,True
Haas F1 Team,GRO,47.0,SOFT,2.0,84559000000,24.0,True,1,True
Haas F1 Team,GRO,48.0,SOFT,2.0,84243000000,25.0,True,1,True
Haas F1 Team,GRO,49.0,SOFT,2.0,84745000000,26.0,True,1,True
Haas F1 Team,GRO,50.0,SOFT,2.0,84436000000,27.0,True,1,True
Haas F1 Team,GRO,51.0,SOFT,2.0,84765000000,28.0,True,1,True
Haas F1 Team,GRO,52.0,SOFT,2.0,84244000000,29.0,True,1,True
Haas F1 Team,GRO,53.0,SOFT,2.0,84313000000,30.0,True,1,True
