['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,HAM,2.0,SUPERSOFT,1.0,135751000000,4.0,False,67,False
Mercedes,HAM,3.0,SUPERSOFT,1.0,127904000000,5.0,False,74,False
Mercedes,HAM,4.0,SUPERSOFT,1.0,86009000000,6.0,False,1,True
Mercedes,HAM,5.0,SUPERSOFT,1.0,85027000000,7.0,False,1,True
Mercedes,HAM,6.0,SUPERSOFT,1.0,84827000000,8.0,False,1,True
Mercedes,HAM,7.0,SUPERSOFT,1.0,84751000000,9.0,False,1,True
Mercedes,HAM,8.0,SUPERSOFT,1.0,84557000000,10.0,False,1,True
Mercedes,HAM,9.0,SUPERSOFT,1.0,84349000000,11.0,False,1,True
Mercedes,HAM,10.0,SUPERSOFT,1.0,84918000000,12.0,False,1,True
Mercedes,HAM,11.0,SUPERSOFT,1.0,84823000000,13.0,False,1,True
Mercedes,HAM,12.0,SUPERSOFT,1.0,84839000000,14.0,False,1,True
Mercedes,HAM,13.0,SUPERSOFT,1.0,84709000000,15.0,False,1,True
Mercedes,HAM,14.0,SUPERSOFT,1.0,84666000000,16.0,False,1,True
Mercedes,HAM,15.0,SUPERSOFT,1.0,84747000000,17.0,False,1,True
Mercedes,HAM,16.0,SUPERSOFT,1.0,84674000000,18.0,False,1,True
Mercedes,HAM,17.0,SUPERSOFT,1.0,84545000000,19.0,False,1,True
Mercedes,HAM,18.0,SUPERSOFT,1.0,84825000000,20.0,False,1,True
Mercedes,HAM,19.0,SUPERSOFT,1.0,84560000000,21.0,False,1,True
Mercedes,HAM,20.0,SUPERSOFT,1.0,84448000000,22.0,False,1,True
Mercedes,HAM,21.0,SUPERSOFT,1.0,83611000000,23.0,False,1,True
Mercedes,HAM,22.0,SUPERSOFT,1.0,83996000000,24.0,False,1,True
Mercedes,HAM,23.0,SUPERSOFT,1.0,83974000000,25.0,False,1,True
Mercedes,HAM,24.0,SUPERSOFT,1.0,84847000000,26.0,False,1,True
Mercedes,HAM,25.0,SUPERSOFT,1.0,84634000000,27.0,False,2,True
Mercedes,HAM,26.0,SUPERSOFT,1.0,84892000000,28.0,False,2,True
Mercedes,HAM,27.0,SUPERSOFT,1.0,84272000000,29.0,False,1,True
Mercedes,HAM,28.0,SUPERSOFT,1.0,88176000000,30.0,False,1,False
Mercedes,HAM,29.0,SOFT,2.0,102820000000,1.0,True,1,False
Mercedes,HAM,30.0,SOFT,2.0,82497000000,2.0,True,1,True
Mercedes,HAM,31.0,SOFT,2.0,82718000000,3.0,True,1,True
Mercedes,HAM,32.0,SOFT,2.0,82839000000,4.0,True,1,True
Mercedes,HAM,33.0,SOFT,2.0,83807000000,5.0,True,1,True
Mercedes,HAM,34.0,SOFT,2.0,84755000000,6.0,True,1,True
Mercedes,HAM,35.0,SOFT,2.0,84456000000,7.0,True,1,True
Mercedes,HAM,36.0,SOFT,2.0,84322000000,8.0,True,1,True
Mercedes,HAM,37.0,SOFT,2.0,84240000000,9.0,True,1,True
Mercedes,HAM,38.0,SOFT,2.0,83894000000,10.0,True,1,True
Mercedes,HAM,39.0,SOFT,2.0,83757000000,11.0,True,1,True
Mercedes,HAM,40.0,SOFT,2.0,84116000000,12.0,True,1,True
Mercedes,HAM,41.0,SOFT,2.0,83768000000,13.0,True,1,True
Mercedes,HAM,42.0,SOFT,2.0,84423000000,14.0,True,1,True
Mercedes,HAM,43.0,SOFT,2.0,84310000000,15.0,True,1,True
Mercedes,HAM,44.0,SOFT,2.0,84392000000,16.0,True,1,True
Mercedes,HAM,45.0,SOFT,2.0,83711000000,17.0,True,1,False
Mercedes,HAM,46.0,SOFT,2.0,83512000000,18.0,True,1,True
Mercedes,HAM,47.0,SOFT,2.0,83759000000,19.0,True,1,True
Mercedes,HAM,48.0,SOFT,2.0,83776000000,20.0,True,1,True
Mercedes,HAM,49.0,SOFT,2.0,84251000000,21.0,True,1,True
Mercedes,HAM,50.0,SOFT,2.0,84534000000,22.0,True,1,True
Mercedes,HAM,51.0,SOFT,2.0,84525000000,23.0,True,1,True
Mercedes,HAM,52.0,SOFT,2.0,85368000000,24.0,True,1,True
Mercedes,HAM,53.0,SOFT,2.0,86125000000,25.0,True,1,True
