['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,MAG,2.0,SOFT,1.0,137918000000,1.0,True,674,False
Haas F1 Team,MAG,3.0,SOFT,1.0,120736000000,2.0,True,4,False
Haas F1 Team,MAG,4.0,SOFT,1.0,96469000000,3.0,True,1,False
Haas F1 Team,MAG,5.0,MEDIUM,2.0,122479000000,2.0,False,1,False
Haas F1 Team,MAG,6.0,MEDIUM,2.0,87155000000,3.0,False,1,True
Haas F1 Team,MAG,7.0,MEDIUM,2.0,87942000000,4.0,False,1,True
Haas F1 Team,MAG,8.0,MEDIUM,2.0,87028000000,5.0,False,1,True
Haas F1 Team,MAG,9.0,MEDIUM,2.0,88106000000,6.0,False,1,True
Haas F1 Team,MAG,10.0,MEDIUM,2.0,87163000000,7.0,False,1,True
Haas F1 Team,MAG,11.0,MEDIUM,2.0,88595000000,8.0,False,1,True
Haas F1 Team,MAG,12.0,MEDIUM,2.0,87199000000,9.0,False,1,True
Haas F1 Team,MAG,13.0,MEDIUM,2.0,87242000000,10.0,False,1,True
Haas F1 Team,MAG,14.0,MEDIUM,2.0,87099000000,11.0,False,1,True
Haas F1 Team,MAG,15.0,MEDIUM,2.0,86764000000,12.0,False,1,True
Haas F1 Team,MAG,16.0,MEDIUM,2.0,86659000000,13.0,False,1,True
Haas F1 Team,MAG,17.0,MEDIUM,2.0,89016000000,14.0,False,1,True
Haas F1 Team,MAG,18.0,MEDIUM,2.0,87097000000,15.0,False,1,True
Haas F1 Team,MAG,19.0,MEDIUM,2.0,86995000000,16.0,False,1,True
Haas F1 Team,MAG,20.0,MEDIUM,2.0,89218000000,17.0,False,1,True
Haas F1 Team,MAG,21.0,MEDIUM,2.0,86733000000,18.0,False,1,True
Haas F1 Team,MAG,22.0,MEDIUM,2.0,86569000000,19.0,False,1,True
Haas F1 Team,MAG,23.0,MEDIUM,2.0,86917000000,20.0,False,2,True
Haas F1 Team,MAG,24.0,MEDIUM,2.0,88159000000,21.0,False,2,True
Haas F1 Team,MAG,25.0,MEDIUM,2.0,87071000000,22.0,False,2,True
Haas F1 Team,MAG,26.0,MEDIUM,2.0,86818000000,23.0,False,1,True
Haas F1 Team,MAG,27.0,MEDIUM,2.0,86761000000,24.0,False,1,True
Haas F1 Team,MAG,28.0,MEDIUM,2.0,88453000000,25.0,False,1,True
Haas F1 Team,MAG,29.0,MEDIUM,2.0,88097000000,26.0,False,1,True
Haas F1 Team,MAG,30.0,MEDIUM,2.0,88032000000,27.0,False,1,True
Haas F1 Team,MAG,31.0,MEDIUM,2.0,86999000000,28.0,False,1,True
Haas F1 Team,MAG,32.0,MEDIUM,2.0,87615000000,29.0,False,1,True
Haas F1 Team,MAG,33.0,MEDIUM,2.0,86882000000,30.0,False,1,True
Haas F1 Team,MAG,34.0,MEDIUM,2.0,87700000000,31.0,False,1,True
Haas F1 Team,MAG,35.0,MEDIUM,2.0,86356000000,32.0,False,1,True
Haas F1 Team,MAG,36.0,MEDIUM,2.0,86285000000,33.0,False,1,True
Haas F1 Team,MAG,37.0,MEDIUM,2.0,86235000000,34.0,False,1,True
Haas F1 Team,MAG,38.0,MEDIUM,2.0,89379000000,35.0,False,1,True
Haas F1 Team,MAG,39.0,MEDIUM,2.0,86532000000,36.0,False,1,True
Haas F1 Team,MAG,40.0,MEDIUM,2.0,90857000000,37.0,False,1,True
Haas F1 Team,MAG,41.0,MEDIUM,2.0,86425000000,38.0,False,1,True
Haas F1 Team,MAG,42.0,MEDIUM,2.0,87235000000,39.0,False,1,True
Haas F1 Team,MAG,43.0,MEDIUM,2.0,85919000000,40.0,False,1,True
Haas F1 Team,MAG,44.0,MEDIUM,2.0,85805000000,41.0,False,1,True
Haas F1 Team,MAG,45.0,MEDIUM,2.0,85738000000,42.0,False,1,True
Haas F1 Team,MAG,46.0,MEDIUM,2.0,85692000000,43.0,False,1,True
Haas F1 Team,MAG,47.0,MEDIUM,2.0,85903000000,44.0,False,1,True
Haas F1 Team,MAG,48.0,MEDIUM,2.0,85938000000,45.0,False,1,True
Haas F1 Team,MAG,49.0,MEDIUM,2.0,86795000000,46.0,False,1,True
Haas F1 Team,MAG,50.0,MEDIUM,2.0,86587000000,47.0,False,1,True
Haas F1 Team,MAG,51.0,MEDIUM,2.0,88017000000,48.0,False,1,True
Haas F1 Team,MAG,52.0,MEDIUM,2.0,87303000000,49.0,False,1,True
