['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Racing Point,OCO,2.0,SUPERSOFT,1.0,137300000000,4.0,False,674,False
Racing Point,OCO,3.0,SUPERSOFT,1.0,123928000000,5.0,False,4,False
Racing Point,OCO,4.0,SUPERSOFT,1.0,87876000000,6.0,False,1,False
Racing Point,OCO,5.0,SUPERSOFT,1.0,86967000000,7.0,False,1,True
Racing Point,OCO,6.0,SUPERSOFT,1.0,86198000000,8.0,False,1,True
Racing Point,OCO,7.0,SUPERSOFT,1.0,86151000000,9.0,False,1,True
Racing Point,OCO,8.0,SUPERSOFT,1.0,86071000000,10.0,False,1,True
Racing Point,OCO,9.0,SUPERSOFT,1.0,86046000000,11.0,False,1,True
Racing Point,OCO,10.0,SUPERSOFT,1.0,86076000000,12.0,False,1,True
Racing Point,OCO,11.0,SUPERSOFT,1.0,86310000000,13.0,False,1,True
Racing Point,OCO,12.0,SUPERSOFT,1.0,86096000000,14.0,False,1,True
Racing Point,OCO,13.0,SUPERSOFT,1.0,86448000000,15.0,False,1,True
Racing Point,OCO,14.0,SUPERSOFT,1.0,85598000000,16.0,False,1,True
Racing Point,OCO,15.0,SUPERSOFT,1.0,85613000000,17.0,False,1,True
Racing Point,OCO,16.0,SUPERSOFT,1.0,85387000000,18.0,False,1,True
Racing Point,OCO,17.0,SUPERSOFT,1.0,85777000000,19.0,False,1,True
Racing Point,OCO,18.0,SUPERSOFT,1.0,85800000000,20.0,False,1,True
Racing Point,OCO,19.0,SUPERSOFT,1.0,85930000000,21.0,False,1,True
Racing Point,OCO,20.0,SUPERSOFT,1.0,85649000000,22.0,False,1,True
Racing Point,OCO,21.0,SUPERSOFT,1.0,85886000000,23.0,False,1,True
Racing Point,OCO,22.0,SUPERSOFT,1.0,85708000000,24.0,False,1,True
Racing Point,OCO,23.0,SUPERSOFT,1.0,85505000000,25.0,False,1,True
Racing Point,OCO,24.0,SUPERSOFT,1.0,86964000000,26.0,False,2,True
Racing Point,OCO,25.0,SUPERSOFT,1.0,85891000000,27.0,False,2,True
Racing Point,OCO,26.0,SUPERSOFT,1.0,85604000000,28.0,False,2,True
Racing Point,OCO,27.0,SUPERSOFT,1.0,85312000000,29.0,False,1,True
Racing Point,OCO,28.0,SUPERSOFT,1.0,85317000000,30.0,False,1,True
Racing Point,OCO,29.0,SUPERSOFT,1.0,86373000000,31.0,False,1,True
Racing Point,OCO,30.0,SUPERSOFT,1.0,85438000000,32.0,False,1,True
Racing Point,OCO,31.0,SUPERSOFT,1.0,85301000000,33.0,False,1,True
Racing Point,OCO,32.0,SUPERSOFT,1.0,85137000000,34.0,False,1,True
Racing Point,OCO,33.0,SUPERSOFT,1.0,85592000000,35.0,False,1,True
Racing Point,OCO,34.0,SUPERSOFT,1.0,85125000000,36.0,False,1,True
Racing Point,OCO,35.0,SUPERSOFT,1.0,85270000000,37.0,False,1,True
Racing Point,OCO,36.0,SUPERSOFT,1.0,85200000000,38.0,False,1,True
Racing Point,OCO,37.0,SUPERSOFT,1.0,85273000000,39.0,False,1,True
Racing Point,OCO,38.0,SUPERSOFT,1.0,89408000000,40.0,False,1,False
Racing Point,OCO,39.0,SOFT,2.0,104944000000,1.0,True,1,False
Racing Point,OCO,40.0,SOFT,2.0,84438000000,2.0,True,1,True
Racing Point,OCO,41.0,SOFT,2.0,84469000000,3.0,True,1,True
Racing Point,OCO,42.0,SOFT,2.0,84416000000,4.0,True,1,True
Racing Point,OCO,43.0,SOFT,2.0,84338000000,5.0,True,1,True
Racing Point,OCO,44.0,SOFT,2.0,84179000000,6.0,True,1,True
Racing Point,OCO,45.0,SOFT,2.0,84313000000,7.0,True,1,True
Racing Point,OCO,46.0,SOFT,2.0,84411000000,8.0,True,1,True
Racing Point,OCO,47.0,SOFT,2.0,84472000000,9.0,True,1,True
Racing Point,OCO,48.0,SOFT,2.0,84305000000,10.0,True,1,True
Racing Point,OCO,49.0,SOFT,2.0,84461000000,11.0,True,1,True
Racing Point,OCO,50.0,SOFT,2.0,84258000000,12.0,True,1,True
Racing Point,OCO,51.0,SOFT,2.0,84870000000,13.0,True,1,True
Racing Point,OCO,52.0,SOFT,2.0,84444000000,14.0,True,1,True
Racing Point,OCO,53.0,SOFT,2.0,84676000000,15.0,True,1,True
