['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Racing Point,PER,2.0,SUPERSOFT,1.0,138145000000,1.0,True,674,False
Racing Point,PER,3.0,SUPERSOFT,1.0,120366000000,2.0,True,4,False
Racing Point,PER,4.0,SUPERSOFT,1.0,87999000000,3.0,True,1,False
Racing Point,PER,5.0,SUPERSOFT,1.0,86712000000,4.0,True,1,True
Racing Point,PER,6.0,SUPERSOFT,1.0,86526000000,5.0,True,1,True
Racing Point,PER,7.0,SUPERSOFT,1.0,88130000000,6.0,True,1,True
Racing Point,PER,8.0,SUPERSOFT,1.0,85642000000,7.0,True,1,True
Racing Point,PER,9.0,SUPERSOFT,1.0,85514000000,8.0,True,1,True
Racing Point,PER,10.0,SUPERSOFT,1.0,85635000000,9.0,True,1,True
Racing Point,PER,11.0,SUPERSOFT,1.0,85482000000,10.0,True,1,True
Racing Point,PER,12.0,SUPERSOFT,1.0,86249000000,11.0,True,1,True
Racing Point,PER,13.0,SUPERSOFT,1.0,85943000000,12.0,True,1,True
Racing Point,PER,14.0,SUPERSOFT,1.0,86015000000,13.0,True,1,True
Racing Point,PER,15.0,SUPERSOFT,1.0,85966000000,14.0,True,1,True
Racing Point,PER,16.0,SUPERSOFT,1.0,86031000000,15.0,True,1,True
Racing Point,PER,17.0,SUPERSOFT,1.0,85939000000,16.0,True,1,True
Racing Point,PER,18.0,SUPERSOFT,1.0,86802000000,17.0,True,1,True
Racing Point,PER,19.0,SUPERSOFT,1.0,85750000000,18.0,True,1,True
Racing Point,PER,20.0,SUPERSOFT,1.0,85638000000,19.0,True,1,True
Racing Point,PER,21.0,SUPERSOFT,1.0,85876000000,20.0,True,1,True
Racing Point,PER,22.0,SUPERSOFT,1.0,85564000000,21.0,True,1,True
Racing Point,PER,23.0,SUPERSOFT,1.0,86496000000,22.0,True,1,True
Racing Point,PER,24.0,SUPERSOFT,1.0,85753000000,23.0,True,2,True
Racing Point,PER,25.0,SUPERSOFT,1.0,85910000000,24.0,True,2,True
Racing Point,PER,26.0,SUPERSOFT,1.0,85579000000,25.0,True,2,True
Racing Point,PER,27.0,SUPERSOFT,1.0,85551000000,26.0,True,1,True
Racing Point,PER,28.0,SUPERSOFT,1.0,85185000000,27.0,True,1,True
Racing Point,PER,29.0,SUPERSOFT,1.0,85378000000,28.0,True,1,True
Racing Point,PER,30.0,SUPERSOFT,1.0,85031000000,29.0,True,1,True
Racing Point,PER,31.0,SUPERSOFT,1.0,85249000000,30.0,True,1,True
Racing Point,PER,32.0,SUPERSOFT,1.0,85036000000,31.0,True,1,True
Racing Point,PER,33.0,SUPERSOFT,1.0,85184000000,32.0,True,1,True
Racing Point,PER,34.0,SUPERSOFT,1.0,85018000000,33.0,True,1,True
Racing Point,PER,35.0,SUPERSOFT,1.0,85008000000,34.0,True,1,True
Racing Point,PER,36.0,SUPERSOFT,1.0,84875000000,35.0,True,1,True
Racing Point,PER,37.0,SUPERSOFT,1.0,85039000000,36.0,True,1,True
Racing Point,PER,38.0,SUPERSOFT,1.0,86205000000,37.0,True,1,True
Racing Point,PER,39.0,SUPERSOFT,1.0,89927000000,38.0,True,1,False
Racing Point,PER,40.0,SOFT,2.0,105488000000,1.0,True,1,False
Racing Point,PER,41.0,SOFT,2.0,83704000000,2.0,True,1,True
Racing Point,PER,42.0,SOFT,2.0,83738000000,3.0,True,1,True
Racing Point,PER,43.0,SOFT,2.0,83529000000,4.0,True,1,True
Racing Point,PER,44.0,SOFT,2.0,83656000000,5.0,True,1,True
Racing Point,PER,45.0,SOFT,2.0,83946000000,6.0,True,1,True
Racing Point,PER,46.0,SOFT,2.0,83810000000,7.0,True,1,True
Racing Point,PER,47.0,SOFT,2.0,83861000000,8.0,True,1,True
Racing Point,PER,48.0,SOFT,2.0,84212000000,9.0,True,1,True
Racing Point,PER,49.0,SOFT,2.0,84499000000,10.0,True,1,True
Racing Point,PER,50.0,SOFT,2.0,84476000000,11.0,True,1,True
Racing Point,PER,51.0,SOFT,2.0,84407000000,12.0,True,1,True
Racing Point,PER,52.0,SOFT,2.0,84511000000,13.0,True,1,True
Racing Point,PER,53.0,SOFT,2.0,84625000000,14.0,True,1,True
