['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,RIC,2.0,SUPERSOFT,4.0,138448000000,1.0,True,674,False
Red Bull Racing,RIC,3.0,SUPERSOFT,4.0,118235000000,2.0,True,4,False
Red Bull Racing,RIC,4.0,SUPERSOFT,4.0,86824000000,3.0,True,1,False
Red Bull Racing,RIC,5.0,SUPERSOFT,4.0,86771000000,4.0,True,1,True
Red Bull Racing,RIC,6.0,SUPERSOFT,4.0,85598000000,5.0,True,1,True
Red Bull Racing,RIC,7.0,SUPERSOFT,4.0,86484000000,6.0,True,1,True
Red Bull Racing,RIC,8.0,SUPERSOFT,4.0,88186000000,7.0,True,1,True
Red Bull Racing,RIC,9.0,SUPERSOFT,4.0,88696000000,8.0,True,1,True
Red Bull Racing,RIC,10.0,SUPERSOFT,4.0,85767000000,9.0,True,1,True
Red Bull Racing,RIC,11.0,SUPERSOFT,4.0,87703000000,10.0,True,1,True
Red Bull Racing,RIC,12.0,SUPERSOFT,4.0,85760000000,11.0,True,1,True
Red Bull Racing,RIC,13.0,SUPERSOFT,4.0,85930000000,12.0,True,1,True
Red Bull Racing,RIC,14.0,SUPERSOFT,4.0,85729000000,13.0,True,1,True
Red Bull Racing,RIC,15.0,SUPERSOFT,4.0,85640000000,14.0,True,1,True
Red Bull Racing,RIC,16.0,SUPERSOFT,4.0,85424000000,15.0,True,1,True
Red Bull Racing,RIC,17.0,SUPERSOFT,4.0,85276000000,16.0,True,1,True
Red Bull Racing,RIC,18.0,SUPERSOFT,4.0,85229000000,17.0,True,1,True
Red Bull Racing,RIC,19.0,SUPERSOFT,4.0,85732000000,18.0,True,1,True
Red Bull Racing,RIC,20.0,SUPERSOFT,4.0,85399000000,19.0,True,1,True
Red Bull Racing,RIC,21.0,SUPERSOFT,4.0,85844000000,20.0,True,1,True
Red Bull Racing,RIC,22.0,SUPERSOFT,4.0,85301000000,21.0,True,1,True
Red Bull Racing,RIC,23.0,SUPERSOFT,4.0,86235000000,22.0,True,1,True
