['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,SIR,2.0,SUPERSOFT,1.0,137479000000,1.0,True,674,False
Williams,SIR,3.0,SUPERSOFT,1.0,122900000000,2.0,True,4,False
Williams,SIR,4.0,SUPERSOFT,1.0,88099000000,3.0,True,1,False
Williams,SIR,5.0,SUPERSOFT,1.0,87234000000,4.0,True,1,True
Williams,SIR,6.0,SUPERSOFT,1.0,86800000000,5.0,True,1,True
Williams,SIR,7.0,SUPERSOFT,1.0,86539000000,6.0,True,1,True
Williams,SIR,8.0,SUPERSOFT,1.0,86509000000,7.0,True,1,True
Williams,SIR,9.0,SUPERSOFT,1.0,86537000000,8.0,True,1,True
Williams,SIR,10.0,SUPERSOFT,1.0,86261000000,9.0,True,1,True
Williams,SIR,11.0,SUPERSOFT,1.0,86262000000,10.0,True,1,True
Williams,SIR,12.0,SUPERSOFT,1.0,86078000000,11.0,True,1,True
Williams,SIR,13.0,SUPERSOFT,1.0,87427000000,12.0,True,1,True
Williams,SIR,14.0,SUPERSOFT,1.0,87396000000,13.0,True,1,True
Williams,SIR,15.0,SUPERSOFT,1.0,86506000000,14.0,True,1,True
Williams,SIR,16.0,SUPERSOFT,1.0,86004000000,15.0,True,1,True
Williams,SIR,17.0,SUPERSOFT,1.0,86244000000,16.0,True,1,True
Williams,SIR,18.0,SUPERSOFT,1.0,86342000000,17.0,True,1,True
Williams,SIR,19.0,SUPERSOFT,1.0,86272000000,18.0,True,1,True
Williams,SIR,20.0,SUPERSOFT,1.0,86162000000,19.0,True,1,True
Williams,SIR,21.0,SUPERSOFT,1.0,86365000000,20.0,True,1,True
Williams,SIR,22.0,SUPERSOFT,1.0,87244000000,21.0,True,1,True
Williams,SIR,23.0,SUPERSOFT,1.0,86515000000,22.0,True,1,True
Williams,SIR,24.0,SUPERSOFT,1.0,86666000000,23.0,True,2,True
Williams,SIR,25.0,SUPERSOFT,1.0,86983000000,24.0,True,2,True
Williams,SIR,26.0,SUPERSOFT,1.0,86212000000,25.0,True,2,True
Williams,SIR,27.0,SUPERSOFT,1.0,86122000000,26.0,True,1,True
Williams,SIR,28.0,SUPERSOFT,1.0,None,27.0,True,1,False
Williams,SIR,29.0,SUPERSOFT,1.0,86148000000,28.0,True,1,True
Williams,SIR,30.0,SUPERSOFT,1.0,86283000000,29.0,True,1,True
Williams,SIR,31.0,SUPERSOFT,1.0,86973000000,30.0,True,1,True
Williams,SIR,32.0,SUPERSOFT,1.0,85803000000,31.0,True,1,True
Williams,SIR,33.0,SUPERSOFT,1.0,85866000000,32.0,True,1,True
Williams,SIR,34.0,SUPERSOFT,1.0,86132000000,33.0,True,1,True
Williams,SIR,35.0,SUPERSOFT,1.0,86134000000,34.0,True,1,True
Williams,SIR,36.0,SUPERSOFT,1.0,87066000000,35.0,True,1,True
Williams,SIR,37.0,SUPERSOFT,1.0,90478000000,36.0,True,1,False
Williams,SIR,38.0,SOFT,2.0,105918000000,1.0,True,1,False
Williams,SIR,39.0,SOFT,2.0,84788000000,2.0,True,1,True
Williams,SIR,40.0,SOFT,2.0,84693000000,3.0,True,1,True
Williams,SIR,41.0,SOFT,2.0,85792000000,4.0,True,1,True
Williams,SIR,42.0,SOFT,2.0,87108000000,5.0,True,1,True
Williams,SIR,43.0,SOFT,2.0,84734000000,6.0,True,1,True
Williams,SIR,44.0,SOFT,2.0,84909000000,7.0,True,1,True
Williams,SIR,45.0,SOFT,2.0,84790000000,8.0,True,1,True
Williams,SIR,46.0,SOFT,2.0,84708000000,9.0,True,1,True
Williams,SIR,47.0,SOFT,2.0,84679000000,10.0,True,1,True
Williams,SIR,48.0,SOFT,2.0,85053000000,11.0,True,1,True
Williams,SIR,49.0,SOFT,2.0,85438000000,12.0,True,1,True
Williams,SIR,50.0,SOFT,2.0,84899000000,13.0,True,1,True
Williams,SIR,51.0,SOFT,2.0,85762000000,14.0,True,1,True
Williams,SIR,52.0,SOFT,2.0,83768000000,15.0,True,1,True
