['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,VAN,2.0,SUPERSOFT,1.0,138314000000,1.0,True,674,False
McLaren,VAN,3.0,SUPERSOFT,1.0,118785000000,2.0,True,4,False
McLaren,VAN,4.0,SUPERSOFT,1.0,87761000000,3.0,True,1,False
McLaren,VAN,5.0,SUPERSOFT,1.0,89445000000,4.0,True,1,True
McLaren,VAN,6.0,SUPERSOFT,1.0,86808000000,5.0,True,1,True
McLaren,VAN,7.0,SUPERSOFT,1.0,86851000000,6.0,True,1,True
McLaren,VAN,8.0,SUPERSOFT,1.0,87104000000,7.0,True,1,True
McLaren,VAN,9.0,SUPERSOFT,1.0,87809000000,8.0,True,1,True
McLaren,VAN,10.0,SUPERSOFT,1.0,87347000000,9.0,True,1,True
McLaren,VAN,11.0,SUPERSOFT,1.0,87123000000,10.0,True,1,True
McLaren,VAN,12.0,SUPERSOFT,1.0,87179000000,11.0,True,1,True
McLaren,VAN,13.0,SUPERSOFT,1.0,87006000000,12.0,True,1,True
McLaren,VAN,14.0,SUPERSOFT,1.0,87370000000,13.0,True,1,True
McLaren,VAN,15.0,SUPERSOFT,1.0,87079000000,14.0,True,1,True
McLaren,VAN,16.0,SUPERSOFT,1.0,86972000000,15.0,True,1,True
McLaren,VAN,17.0,SUPERSOFT,1.0,86812000000,16.0,True,1,True
McLaren,VAN,18.0,SUPERSOFT,1.0,86613000000,17.0,True,1,True
McLaren,VAN,19.0,SUPERSOFT,1.0,86825000000,18.0,True,1,True
McLaren,VAN,20.0,SUPERSOFT,1.0,86708000000,19.0,True,1,True
McLaren,VAN,21.0,SUPERSOFT,1.0,86586000000,20.0,True,1,True
McLaren,VAN,22.0,SUPERSOFT,1.0,86920000000,21.0,True,1,True
McLaren,VAN,23.0,SUPERSOFT,1.0,86669000000,22.0,True,1,True
McLaren,VAN,24.0,SUPERSOFT,1.0,91036000000,23.0,True,2,False
McLaren,VAN,25.0,SOFT,2.0,106180000000,1.0,True,2,False
McLaren,VAN,26.0,SOFT,2.0,85598000000,2.0,True,1,True
McLaren,VAN,27.0,SOFT,2.0,85830000000,3.0,True,1,True
McLaren,VAN,28.0,SOFT,2.0,86105000000,4.0,True,1,True
McLaren,VAN,29.0,SOFT,2.0,85959000000,5.0,True,1,True
McLaren,VAN,30.0,SOFT,2.0,85944000000,6.0,True,1,True
McLaren,VAN,31.0,SOFT,2.0,85977000000,7.0,True,1,True
McLaren,VAN,32.0,SOFT,2.0,85790000000,8.0,True,1,True
McLaren,VAN,33.0,SOFT,2.0,85537000000,9.0,True,1,True
McLaren,VAN,34.0,SOFT,2.0,88726000000,10.0,True,1,True
McLaren,VAN,35.0,SOFT,2.0,85629000000,11.0,True,1,True
McLaren,VAN,36.0,SOFT,2.0,86879000000,12.0,True,1,True
McLaren,VAN,37.0,SOFT,2.0,85437000000,13.0,True,1,True
McLaren,VAN,38.0,SOFT,2.0,85132000000,14.0,True,1,True
McLaren,VAN,39.0,SOFT,2.0,85361000000,15.0,True,1,True
McLaren,VAN,40.0,SOFT,2.0,85377000000,16.0,True,1,True
McLaren,VAN,41.0,SOFT,2.0,85371000000,17.0,True,1,True
McLaren,VAN,42.0,SOFT,2.0,85192000000,18.0,True,1,True
McLaren,VAN,43.0,SOFT,2.0,85172000000,19.0,True,1,True
McLaren,VAN,44.0,SOFT,2.0,85234000000,20.0,True,1,True
McLaren,VAN,45.0,SOFT,2.0,85352000000,21.0,True,1,True
McLaren,VAN,46.0,SOFT,2.0,87209000000,22.0,True,1,True
McLaren,VAN,47.0,SOFT,2.0,84772000000,23.0,True,1,True
McLaren,VAN,48.0,SOFT,2.0,85061000000,24.0,True,1,True
McLaren,VAN,49.0,SOFT,2.0,84954000000,25.0,True,1,True
McLaren,VAN,50.0,SOFT,2.0,85777000000,26.0,True,1,True
McLaren,VAN,51.0,SOFT,2.0,84873000000,27.0,True,1,True
McLaren,VAN,52.0,SOFT,2.0,84899000000,28.0,True,1,True
