['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,VER,2.0,SUPERSOFT,1.0,136204000000,4.0,False,674,False
Red Bull Racing,VER,3.0,SUPERSOFT,1.0,127530000000,5.0,False,4,False
Red Bull Racing,VER,4.0,SUPERSOFT,1.0,86555000000,6.0,False,1,False
Red Bull Racing,VER,5.0,SUPERSOFT,1.0,85615000000,7.0,False,1,True
Red Bull Racing,VER,6.0,SUPERSOFT,1.0,85475000000,8.0,False,1,True
Red Bull Racing,VER,7.0,SUPERSOFT,1.0,85116000000,9.0,False,1,True
Red Bull Racing,VER,8.0,SUPERSOFT,1.0,84976000000,10.0,False,1,True
Red Bull Racing,VER,9.0,SUPERSOFT,1.0,85145000000,11.0,False,1,True
Red Bull Racing,VER,10.0,SUPERSOFT,1.0,85040000000,12.0,False,1,True
Red Bull Racing,VER,11.0,SUPERSOFT,1.0,85295000000,13.0,False,1,True
Red Bull Racing,VER,12.0,SUPERSOFT,1.0,85189000000,14.0,False,1,True
Red Bull Racing,VER,13.0,SUPERSOFT,1.0,85210000000,15.0,False,1,True
Red Bull Racing,VER,14.0,SUPERSOFT,1.0,85135000000,16.0,False,1,True
Red Bull Racing,VER,15.0,SUPERSOFT,1.0,85080000000,17.0,False,1,True
Red Bull Racing,VER,16.0,SUPERSOFT,1.0,84966000000,18.0,False,1,True
Red Bull Racing,VER,17.0,SUPERSOFT,1.0,84904000000,19.0,False,1,True
Red Bull Racing,VER,18.0,SUPERSOFT,1.0,84980000000,20.0,False,1,True
Red Bull Racing,VER,19.0,SUPERSOFT,1.0,85159000000,21.0,False,1,True
Red Bull Racing,VER,20.0,SUPERSOFT,1.0,85356000000,22.0,False,1,True
Red Bull Racing,VER,21.0,SUPERSOFT,1.0,85027000000,23.0,False,1,True
Red Bull Racing,VER,22.0,SUPERSOFT,1.0,85310000000,24.0,False,1,True
Red Bull Racing,VER,23.0,SUPERSOFT,1.0,85021000000,25.0,False,1,True
Red Bull Racing,VER,24.0,SUPERSOFT,1.0,85018000000,26.0,False,2,True
Red Bull Racing,VER,25.0,SUPERSOFT,1.0,85718000000,27.0,False,2,True
Red Bull Racing,VER,26.0,SUPERSOFT,1.0,89839000000,28.0,False,2,False
Red Bull Racing,VER,27.0,SOFT,2.0,103711000000,1.0,True,1,False
Red Bull Racing,VER,28.0,SOFT,2.0,83930000000,2.0,True,1,True
Red Bull Racing,VER,29.0,SOFT,2.0,83682000000,3.0,True,1,True
Red Bull Racing,VER,30.0,SOFT,2.0,84414000000,4.0,True,1,True
Red Bull Racing,VER,31.0,SOFT,2.0,84174000000,5.0,True,1,True
Red Bull Racing,VER,32.0,SOFT,2.0,84058000000,6.0,True,1,True
Red Bull Racing,VER,33.0,SOFT,2.0,84266000000,7.0,True,1,True
Red Bull Racing,VER,34.0,SOFT,2.0,84103000000,8.0,True,1,True
Red Bull Racing,VER,35.0,SOFT,2.0,84242000000,9.0,True,1,True
Red Bull Racing,VER,36.0,SOFT,2.0,83888000000,10.0,True,1,True
Red Bull Racing,VER,37.0,SOFT,2.0,84084000000,11.0,True,1,True
Red Bull Racing,VER,38.0,SOFT,2.0,83781000000,12.0,True,1,True
Red Bull Racing,VER,39.0,SOFT,2.0,83633000000,13.0,True,1,True
Red Bull Racing,VER,40.0,SOFT,2.0,83691000000,14.0,True,1,True
Red Bull Racing,VER,41.0,SOFT,2.0,83609000000,15.0,True,1,True
Red Bull Racing,VER,42.0,SOFT,2.0,84171000000,16.0,True,1,True
Red Bull Racing,VER,43.0,SOFT,2.0,84083000000,17.0,True,1,True
Red Bull Racing,VER,44.0,SOFT,2.0,83762000000,18.0,True,1,True
Red Bull Racing,VER,45.0,SOFT,2.0,84774000000,19.0,True,1,True
Red Bull Racing,VER,46.0,SOFT,2.0,84297000000,20.0,True,1,True
Red Bull Racing,VER,47.0,SOFT,2.0,83927000000,21.0,True,1,True
Red Bull Racing,VER,48.0,SOFT,2.0,83982000000,22.0,True,1,True
Red Bull Racing,VER,49.0,SOFT,2.0,84337000000,23.0,True,1,True
Red Bull Racing,VER,50.0,SOFT,2.0,83705000000,24.0,True,1,True
Red Bull Racing,VER,51.0,SOFT,2.0,83767000000,25.0,True,1,True
Red Bull Racing,VER,52.0,SOFT,2.0,83836000000,26.0,True,1,True
Red Bull Racing,VER,53.0,SOFT,2.0,83881000000,27.0,True,1,True
