['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,VET,2.0,SOFT,2.0,137828000000,1.0,True,674,False
Ferrari,VET,3.0,SOFT,2.0,119157000000,2.0,True,4,False
Ferrari,VET,4.0,SOFT,2.0,85442000000,3.0,True,1,False
Ferrari,VET,5.0,SOFT,2.0,86672000000,4.0,True,1,True
Ferrari,VET,6.0,SOFT,2.0,86288000000,5.0,True,1,True
Ferrari,VET,7.0,SOFT,2.0,85975000000,6.0,True,1,True
Ferrari,VET,8.0,SOFT,2.0,87526000000,7.0,True,1,True
Ferrari,VET,9.0,SOFT,2.0,86853000000,8.0,True,1,True
Ferrari,VET,10.0,SOFT,2.0,85463000000,9.0,True,1,True
Ferrari,VET,11.0,SOFT,2.0,84933000000,10.0,True,1,True
Ferrari,VET,12.0,SOFT,2.0,84854000000,11.0,True,1,True
Ferrari,VET,13.0,SOFT,2.0,85088000000,12.0,True,1,True
Ferrari,VET,14.0,SOFT,2.0,85551000000,13.0,True,1,True
Ferrari,VET,15.0,SOFT,2.0,85738000000,14.0,True,1,True
Ferrari,VET,16.0,SOFT,2.0,85257000000,15.0,True,1,True
Ferrari,VET,17.0,SOFT,2.0,85979000000,16.0,True,1,True
Ferrari,VET,18.0,SOFT,2.0,84954000000,17.0,True,1,True
Ferrari,VET,19.0,SOFT,2.0,85340000000,18.0,True,1,True
Ferrari,VET,20.0,SOFT,2.0,84564000000,19.0,True,1,True
Ferrari,VET,21.0,SOFT,2.0,84905000000,20.0,True,1,True
Ferrari,VET,22.0,SOFT,2.0,84566000000,21.0,True,1,True
Ferrari,VET,23.0,SOFT,2.0,85055000000,22.0,True,1,True
Ferrari,VET,24.0,SOFT,2.0,84794000000,23.0,True,2,True
Ferrari,VET,25.0,SOFT,2.0,85296000000,24.0,True,2,True
Ferrari,VET,26.0,SOFT,2.0,85108000000,25.0,True,2,True
Ferrari,VET,27.0,SOFT,2.0,84566000000,26.0,True,1,True
Ferrari,VET,28.0,SOFT,2.0,84470000000,27.0,True,1,True
Ferrari,VET,29.0,SOFT,2.0,89444000000,28.0,True,1,False
Ferrari,VET,30.0,SUPERSOFT,3.0,104145000000,4.0,False,1,False
Ferrari,VET,31.0,SUPERSOFT,3.0,83663000000,5.0,False,1,True
Ferrari,VET,32.0,SUPERSOFT,3.0,83068000000,6.0,False,1,True
Ferrari,VET,33.0,SUPERSOFT,3.0,83472000000,7.0,False,1,True
Ferrari,VET,34.0,SUPERSOFT,3.0,83199000000,8.0,False,1,True
Ferrari,VET,35.0,SUPERSOFT,3.0,83538000000,9.0,False,1,True
Ferrari,VET,36.0,SUPERSOFT,3.0,83255000000,10.0,False,1,True
Ferrari,VET,37.0,SUPERSOFT,3.0,82952000000,11.0,False,1,True
Ferrari,VET,38.0,SUPERSOFT,3.0,84271000000,12.0,False,1,True
Ferrari,VET,39.0,SUPERSOFT,3.0,83600000000,13.0,False,1,True
Ferrari,VET,40.0,SUPERSOFT,3.0,83473000000,14.0,False,1,True
Ferrari,VET,41.0,SUPERSOFT,3.0,83174000000,15.0,False,1,True
Ferrari,VET,42.0,SUPERSOFT,3.0,83542000000,16.0,False,1,True
Ferrari,VET,43.0,SUPERSOFT,3.0,83270000000,17.0,False,1,True
Ferrari,VET,44.0,SUPERSOFT,3.0,83311000000,18.0,False,1,True
Ferrari,VET,45.0,SUPERSOFT,3.0,82884000000,19.0,False,1,True
Ferrari,VET,46.0,SUPERSOFT,3.0,82927000000,20.0,False,1,True
Ferrari,VET,47.0,SUPERSOFT,3.0,82702000000,21.0,False,1,True
Ferrari,VET,48.0,SUPERSOFT,3.0,82828000000,22.0,False,1,True
Ferrari,VET,49.0,SUPERSOFT,3.0,83405000000,23.0,False,1,True
Ferrari,VET,50.0,SUPERSOFT,3.0,83187000000,24.0,False,1,True
Ferrari,VET,51.0,SUPERSOFT,3.0,82505000000,25.0,False,1,True
Ferrari,VET,52.0,SUPERSOFT,3.0,83116000000,26.0,False,1,True
Ferrari,VET,53.0,SUPERSOFT,3.0,82914000000,27.0,False,1,True
