['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,ERI,2,SOFT,1.0,99295000000,1.0,True,1,True
Sauber,ERI,3,SOFT,1.0,98659000000,2.0,True,1,True
Sauber,ERI,4,SOFT,1.0,136190000000,3.0,True,4,False
Sauber,ERI,5,SOFT,1.0,139079000000,4.0,True,4,False
Sauber,ERI,6,MEDIUM,2.0,None,1.0,True,4,False
Sauber,ERI,7,MEDIUM,2.0,136526000000,2.0,True,4,False
Sauber,ERI,8,MEDIUM,2.0,96294000000,3.0,True,2,False
Sauber,ERI,9,MEDIUM,2.0,98864000000,4.0,True,1,True
Sauber,ERI,10,MEDIUM,2.0,98635000000,5.0,True,1,True
Sauber,ERI,11,MEDIUM,2.0,99514000000,6.0,True,1,True
Sauber,ERI,12,MEDIUM,2.0,98726000000,7.0,True,1,True
Sauber,ERI,13,MEDIUM,2.0,98617000000,8.0,True,1,True
Sauber,ERI,14,MEDIUM,2.0,97364000000,9.0,True,1,True
Sauber,ERI,15,MEDIUM,2.0,96869000000,10.0,True,1,True
Sauber,ERI,16,MEDIUM,2.0,97393000000,11.0,True,1,True
Sauber,ERI,17,MEDIUM,2.0,97757000000,12.0,True,1,True
Sauber,ERI,18,MEDIUM,2.0,97710000000,13.0,True,1,True
Sauber,ERI,19,MEDIUM,2.0,97510000000,14.0,True,1,True
Sauber,ERI,20,MEDIUM,2.0,97523000000,15.0,True,1,True
Sauber,ERI,21,MEDIUM,2.0,97485000000,16.0,True,1,True
Sauber,ERI,22,MEDIUM,2.0,97273000000,17.0,True,1,True
Sauber,ERI,23,MEDIUM,2.0,97524000000,18.0,True,1,True
Sauber,ERI,24,MEDIUM,2.0,97486000000,19.0,True,1,True
Sauber,ERI,25,MEDIUM,2.0,97566000000,20.0,True,1,True
Sauber,ERI,26,MEDIUM,2.0,97718000000,21.0,True,1,True
Sauber,ERI,27,MEDIUM,2.0,97608000000,22.0,True,1,True
Sauber,ERI,28,MEDIUM,2.0,98144000000,23.0,True,1,True
Sauber,ERI,29,MEDIUM,2.0,99358000000,24.0,True,1,True
Sauber,ERI,30,MEDIUM,2.0,97964000000,25.0,True,1,True
Sauber,ERI,31,MEDIUM,2.0,97152000000,26.0,True,1,True
Sauber,ERI,32,MEDIUM,2.0,97010000000,27.0,True,1,True
Sauber,ERI,33,MEDIUM,2.0,97542000000,28.0,True,1,True
Sauber,ERI,34,MEDIUM,2.0,96825000000,29.0,True,1,True
Sauber,ERI,35,MEDIUM,2.0,97954000000,30.0,True,1,True
Sauber,ERI,36,MEDIUM,2.0,96399000000,31.0,True,1,True
Sauber,ERI,37,MEDIUM,2.0,96503000000,32.0,True,1,True
Sauber,ERI,38,MEDIUM,2.0,96873000000,33.0,True,1,True
Sauber,ERI,39,MEDIUM,2.0,96754000000,34.0,True,2,True
Sauber,ERI,40,MEDIUM,2.0,109213000000,35.0,True,26,False
Sauber,ERI,41,MEDIUM,2.0,102828000000,36.0,True,67,False
Sauber,ERI,42,MEDIUM,2.0,97519000000,37.0,True,1,True
Sauber,ERI,43,MEDIUM,2.0,96678000000,38.0,True,1,True
Sauber,ERI,44,MEDIUM,2.0,99413000000,39.0,True,1,True
Sauber,ERI,45,MEDIUM,2.0,97438000000,40.0,True,1,True
Sauber,ERI,46,MEDIUM,2.0,98685000000,41.0,True,1,True
Sauber,ERI,47,MEDIUM,2.0,97249000000,42.0,True,1,True
Sauber,ERI,48,MEDIUM,2.0,97203000000,43.0,True,1,True
Sauber,ERI,49,MEDIUM,2.0,97075000000,44.0,True,1,True
Sauber,ERI,50,MEDIUM,2.0,97255000000,45.0,True,1,True
Sauber,ERI,51,MEDIUM,2.0,97145000000,46.0,True,1,True
Sauber,ERI,52,MEDIUM,2.0,97500000000,47.0,True,1,True
