['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,HAR,2,SUPERSOFT,1.0,98547000000,4.0,False,1,True
Toro Rosso,HAR,3,SUPERSOFT,1.0,99011000000,5.0,False,1,True
Toro Rosso,HAR,4,SUPERSOFT,1.0,134922000000,6.0,False,4,False
Toro Rosso,HAR,5,SUPERSOFT,1.0,138779000000,7.0,False,4,False
Toro Rosso,HAR,6,SUPERSOFT,1.0,149148000000,8.0,False,4,False
Toro Rosso,HAR,7,SUPERSOFT,1.0,140416000000,9.0,False,4,False
Toro Rosso,HAR,8,SUPERSOFT,1.0,99964000000,10.0,False,2,False
Toro Rosso,HAR,9,SUPERSOFT,1.0,98409000000,11.0,False,1,True
Toro Rosso,HAR,10,SUPERSOFT,1.0,97982000000,12.0,False,1,True
Toro Rosso,HAR,11,SUPERSOFT,1.0,98129000000,13.0,False,1,True
Toro Rosso,HAR,12,SUPERSOFT,1.0,97437000000,14.0,False,1,True
Toro Rosso,HAR,13,SUPERSOFT,1.0,97819000000,15.0,False,1,True
Toro Rosso,HAR,14,SUPERSOFT,1.0,97955000000,16.0,False,1,True
Toro Rosso,HAR,15,SUPERSOFT,1.0,97429000000,17.0,False,1,True
Toro Rosso,HAR,16,SUPERSOFT,1.0,97253000000,18.0,False,1,True
Toro Rosso,HAR,17,SUPERSOFT,1.0,97555000000,19.0,False,1,True
Toro Rosso,HAR,18,SUPERSOFT,1.0,97973000000,20.0,False,1,True
Toro Rosso,HAR,19,SUPERSOFT,1.0,97274000000,21.0,False,1,True
Toro Rosso,HAR,20,SUPERSOFT,1.0,97131000000,22.0,False,1,True
Toro Rosso,HAR,21,SUPERSOFT,1.0,98888000000,23.0,False,1,True
Toro Rosso,HAR,22,SUPERSOFT,1.0,97458000000,24.0,False,1,True
Toro Rosso,HAR,23,SUPERSOFT,1.0,97295000000,25.0,False,1,True
Toro Rosso,HAR,24,SUPERSOFT,1.0,97238000000,26.0,False,1,True
Toro Rosso,HAR,25,SUPERSOFT,1.0,97324000000,27.0,False,1,True
Toro Rosso,HAR,26,SUPERSOFT,1.0,97311000000,28.0,False,1,True
Toro Rosso,HAR,27,SUPERSOFT,1.0,97326000000,29.0,False,1,True
Toro Rosso,HAR,28,SUPERSOFT,1.0,99688000000,30.0,False,1,False
Toro Rosso,HAR,29,SOFT,2.0,115417000000,1.0,True,1,False
Toro Rosso,HAR,30,SOFT,2.0,94857000000,2.0,True,1,True
Toro Rosso,HAR,31,SOFT,2.0,96216000000,3.0,True,1,True
Toro Rosso,HAR,32,SOFT,2.0,97572000000,4.0,True,1,True
Toro Rosso,HAR,33,SOFT,2.0,97651000000,5.0,True,1,True
Toro Rosso,HAR,34,SOFT,2.0,97196000000,6.0,True,1,True
Toro Rosso,HAR,35,SOFT,2.0,96305000000,7.0,True,1,True
Toro Rosso,HAR,36,SOFT,2.0,95074000000,8.0,True,1,True
Toro Rosso,HAR,37,SOFT,2.0,95424000000,9.0,True,1,True
Toro Rosso,HAR,38,SOFT,2.0,96021000000,10.0,True,1,True
Toro Rosso,HAR,39,SOFT,2.0,96313000000,11.0,True,2,True
Toro Rosso,HAR,40,SOFT,2.0,109386000000,12.0,True,26,False
Toro Rosso,HAR,41,SOFT,2.0,101985000000,13.0,True,67,False
Toro Rosso,HAR,42,SOFT,2.0,97368000000,14.0,True,1,True
Toro Rosso,HAR,43,SOFT,2.0,96674000000,15.0,True,1,True
Toro Rosso,HAR,44,SOFT,2.0,99979000000,16.0,True,1,True
Toro Rosso,HAR,45,SOFT,2.0,97313000000,17.0,True,1,True
Toro Rosso,HAR,46,SOFT,2.0,98304000000,18.0,True,1,True
Toro Rosso,HAR,47,SOFT,2.0,97453000000,19.0,True,1,True
Toro Rosso,HAR,48,SOFT,2.0,96993000000,20.0,True,1,True
Toro Rosso,HAR,49,SOFT,2.0,96982000000,21.0,True,1,True
Toro Rosso,HAR,50,SOFT,2.0,97504000000,22.0,True,1,True
Toro Rosso,HAR,51,SOFT,2.0,96982000000,23.0,True,1,True
Toro Rosso,HAR,52,SOFT,2.0,97537000000,24.0,True,1,True
