['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,LEC,2,SOFT,1.0,99605000000,1.0,True,1,True
Sauber,LEC,3,SOFT,1.0,98366000000,2.0,True,1,True
Sauber,LEC,4,SOFT,1.0,132639000000,3.0,True,4,False
Sauber,LEC,5,MEDIUM,2.0,None,1.0,True,4,False
Sauber,LEC,6,MEDIUM,2.0,142021000000,2.0,True,4,False
Sauber,LEC,7,MEDIUM,2.0,134120000000,3.0,True,4,False
Sauber,LEC,8,MEDIUM,2.0,98639000000,4.0,True,2,False
Sauber,LEC,9,MEDIUM,2.0,99583000000,5.0,True,1,True
Sauber,LEC,10,MEDIUM,2.0,98865000000,6.0,True,1,True
Sauber,LEC,11,MEDIUM,2.0,98261000000,7.0,True,1,True
Sauber,LEC,12,MEDIUM,2.0,98180000000,8.0,True,1,True
Sauber,LEC,13,MEDIUM,2.0,97194000000,9.0,True,1,True
Sauber,LEC,14,MEDIUM,2.0,97556000000,10.0,True,1,True
Sauber,LEC,15,MEDIUM,2.0,98620000000,11.0,True,1,True
Sauber,LEC,16,MEDIUM,2.0,97870000000,12.0,True,1,True
Sauber,LEC,17,MEDIUM,2.0,97968000000,13.0,True,1,True
Sauber,LEC,18,MEDIUM,2.0,97689000000,14.0,True,1,True
Sauber,LEC,19,MEDIUM,2.0,97220000000,15.0,True,1,True
Sauber,LEC,20,MEDIUM,2.0,97649000000,16.0,True,1,True
Sauber,LEC,21,MEDIUM,2.0,97251000000,17.0,True,1,True
Sauber,LEC,22,MEDIUM,2.0,97391000000,18.0,True,1,True
Sauber,LEC,23,MEDIUM,2.0,97711000000,19.0,True,1,True
Sauber,LEC,24,MEDIUM,2.0,97460000000,20.0,True,1,True
Sauber,LEC,25,MEDIUM,2.0,97919000000,21.0,True,1,True
Sauber,LEC,26,MEDIUM,2.0,97804000000,22.0,True,1,True
Sauber,LEC,27,MEDIUM,2.0,97704000000,23.0,True,1,True
Sauber,LEC,28,MEDIUM,2.0,97567000000,24.0,True,1,True
Sauber,LEC,29,MEDIUM,2.0,96440000000,25.0,True,1,True
Sauber,LEC,30,MEDIUM,2.0,98600000000,26.0,True,1,True
Sauber,LEC,31,MEDIUM,2.0,98915000000,27.0,True,1,True
Sauber,LEC,32,MEDIUM,2.0,96962000000,28.0,True,1,True
Sauber,LEC,33,MEDIUM,2.0,96704000000,29.0,True,1,True
Sauber,LEC,34,MEDIUM,2.0,98134000000,30.0,True,1,True
Sauber,LEC,35,MEDIUM,2.0,100241000000,31.0,True,1,False
Sauber,LEC,36,SOFT,3.0,119058000000,5.0,False,1,False
Sauber,LEC,37,SOFT,3.0,94515000000,6.0,False,1,True
Sauber,LEC,38,SOFT,3.0,94990000000,7.0,False,1,True
