['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Racing Point,OCO,2,SUPERSOFT,1.0,98350000000,4.0,False,1,True
Racing Point,OCO,3,SUPERSOFT,1.0,98059000000,5.0,False,1,True
Racing Point,OCO,4,SUPERSOFT,1.0,131087000000,6.0,False,4,False
Racing Point,OCO,5,SUPERSOFT,1.0,142231000000,7.0,False,4,False
Racing Point,OCO,6,SUPERSOFT,1.0,148601000000,8.0,False,4,False
Racing Point,OCO,7,SUPERSOFT,1.0,142196000000,9.0,False,4,False
Racing Point,OCO,8,SUPERSOFT,1.0,98626000000,10.0,False,2,False
Racing Point,OCO,9,SUPERSOFT,1.0,98102000000,11.0,False,1,True
Racing Point,OCO,10,SUPERSOFT,1.0,97246000000,12.0,False,1,True
Racing Point,OCO,11,SUPERSOFT,1.0,97402000000,13.0,False,1,True
Racing Point,OCO,12,SUPERSOFT,1.0,97475000000,14.0,False,1,True
Racing Point,OCO,13,SUPERSOFT,1.0,97564000000,15.0,False,1,True
Racing Point,OCO,14,SUPERSOFT,1.0,97148000000,16.0,False,1,True
Racing Point,OCO,15,SUPERSOFT,1.0,97225000000,17.0,False,1,True
Racing Point,OCO,16,SUPERSOFT,1.0,97448000000,18.0,False,1,True
Racing Point,OCO,17,SUPERSOFT,1.0,97316000000,19.0,False,1,True
Racing Point,OCO,18,SUPERSOFT,1.0,96618000000,20.0,False,1,True
Racing Point,OCO,19,SUPERSOFT,1.0,96574000000,21.0,False,1,True
Racing Point,OCO,20,SUPERSOFT,1.0,97825000000,22.0,False,1,True
Racing Point,OCO,21,SUPERSOFT,1.0,97182000000,23.0,False,1,True
Racing Point,OCO,22,SUPERSOFT,1.0,97612000000,24.0,False,1,True
Racing Point,OCO,23,SUPERSOFT,1.0,97239000000,25.0,False,1,True
Racing Point,OCO,24,SUPERSOFT,1.0,97358000000,26.0,False,1,True
Racing Point,OCO,25,SUPERSOFT,1.0,96748000000,27.0,False,1,True
Racing Point,OCO,26,SUPERSOFT,1.0,99970000000,28.0,False,1,False
Racing Point,OCO,27,MEDIUM,2.0,114663000000,1.0,True,1,False
Racing Point,OCO,28,MEDIUM,2.0,95193000000,2.0,True,1,True
Racing Point,OCO,29,MEDIUM,2.0,95981000000,3.0,True,1,True
Racing Point,OCO,30,MEDIUM,2.0,97728000000,4.0,True,1,True
Racing Point,OCO,31,MEDIUM,2.0,96566000000,5.0,True,1,True
Racing Point,OCO,32,MEDIUM,2.0,95044000000,6.0,True,1,True
Racing Point,OCO,33,MEDIUM,2.0,95258000000,7.0,True,1,True
Racing Point,OCO,34,MEDIUM,2.0,95269000000,8.0,True,1,True
Racing Point,OCO,35,MEDIUM,2.0,94901000000,9.0,True,1,True
Racing Point,OCO,36,MEDIUM,2.0,95148000000,10.0,True,1,True
Racing Point,OCO,37,MEDIUM,2.0,95049000000,11.0,True,1,True
Racing Point,OCO,38,MEDIUM,2.0,95093000000,12.0,True,1,True
Racing Point,OCO,39,MEDIUM,2.0,95066000000,13.0,True,2,True
Racing Point,OCO,40,MEDIUM,2.0,102658000000,14.0,True,26,False
Racing Point,OCO,41,MEDIUM,2.0,107004000000,15.0,True,67,False
Racing Point,OCO,42,MEDIUM,2.0,95042000000,16.0,True,1,True
Racing Point,OCO,43,MEDIUM,2.0,95030000000,17.0,True,1,True
Racing Point,OCO,44,MEDIUM,2.0,94870000000,18.0,True,1,True
Racing Point,OCO,45,MEDIUM,2.0,94802000000,19.0,True,1,True
Racing Point,OCO,46,MEDIUM,2.0,94887000000,20.0,True,1,True
Racing Point,OCO,47,MEDIUM,2.0,95140000000,21.0,True,1,True
Racing Point,OCO,48,MEDIUM,2.0,95273000000,22.0,True,1,True
Racing Point,OCO,49,MEDIUM,2.0,94950000000,23.0,True,1,True
Racing Point,OCO,50,MEDIUM,2.0,94670000000,24.0,True,1,True
Racing Point,OCO,51,MEDIUM,2.0,94673000000,25.0,True,1,True
Racing Point,OCO,52,MEDIUM,2.0,94728000000,26.0,True,1,True
Racing Point,OCO,53,MEDIUM,2.0,95256000000,27.0,True,1,True
