['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,RAI,2,SUPERSOFT,1.0,96500000000,4.0,False,1,True
Ferrari,RAI,3,SUPERSOFT,1.0,96221000000,5.0,False,1,True
Ferrari,RAI,4,SUPERSOFT,1.0,131617000000,6.0,False,4,False
Ferrari,RAI,5,SUPERSOFT,1.0,142182000000,7.0,False,4,False
Ferrari,RAI,6,SUPERSOFT,1.0,148347000000,8.0,False,4,False
Ferrari,RAI,7,SUPERSOFT,1.0,146258000000,9.0,False,4,False
Ferrari,RAI,8,SUPERSOFT,1.0,96540000000,10.0,False,2,False
Ferrari,RAI,9,SUPERSOFT,1.0,96309000000,11.0,False,1,True
Ferrari,RAI,10,SUPERSOFT,1.0,95475000000,12.0,False,1,True
Ferrari,RAI,11,SUPERSOFT,1.0,95604000000,13.0,False,1,True
Ferrari,RAI,12,SUPERSOFT,1.0,95748000000,14.0,False,1,True
Ferrari,RAI,13,SUPERSOFT,1.0,95707000000,15.0,False,1,True
Ferrari,RAI,14,SUPERSOFT,1.0,95784000000,16.0,False,1,True
Ferrari,RAI,15,SUPERSOFT,1.0,96134000000,17.0,False,1,True
Ferrari,RAI,16,SUPERSOFT,1.0,96388000000,18.0,False,1,True
Ferrari,RAI,17,SUPERSOFT,1.0,98452000000,19.0,False,1,False
Ferrari,RAI,18,MEDIUM,2.0,113751000000,1.0,True,1,False
Ferrari,RAI,19,MEDIUM,2.0,94991000000,2.0,True,1,True
Ferrari,RAI,20,MEDIUM,2.0,95419000000,3.0,True,1,True
Ferrari,RAI,21,MEDIUM,2.0,96707000000,4.0,True,1,True
Ferrari,RAI,22,MEDIUM,2.0,95207000000,5.0,True,1,True
Ferrari,RAI,23,MEDIUM,2.0,96145000000,6.0,True,1,True
Ferrari,RAI,24,MEDIUM,2.0,94638000000,7.0,True,1,True
Ferrari,RAI,25,MEDIUM,2.0,94852000000,8.0,True,1,True
Ferrari,RAI,26,MEDIUM,2.0,94469000000,9.0,True,1,True
Ferrari,RAI,27,MEDIUM,2.0,94262000000,10.0,True,1,True
Ferrari,RAI,28,MEDIUM,2.0,94223000000,11.0,True,1,True
Ferrari,RAI,29,MEDIUM,2.0,94230000000,12.0,True,1,True
Ferrari,RAI,30,MEDIUM,2.0,94392000000,13.0,True,1,True
Ferrari,RAI,31,MEDIUM,2.0,94279000000,14.0,True,1,True
Ferrari,RAI,32,MEDIUM,2.0,94348000000,15.0,True,1,True
Ferrari,RAI,33,MEDIUM,2.0,94405000000,16.0,True,1,True
Ferrari,RAI,34,MEDIUM,2.0,94310000000,17.0,True,1,True
Ferrari,RAI,35,MEDIUM,2.0,94365000000,18.0,True,1,True
Ferrari,RAI,36,MEDIUM,2.0,94636000000,19.0,True,1,True
Ferrari,RAI,37,MEDIUM,2.0,94507000000,20.0,True,1,True
Ferrari,RAI,38,MEDIUM,2.0,94670000000,21.0,True,1,True
Ferrari,RAI,39,MEDIUM,2.0,94468000000,22.0,True,1,True
Ferrari,RAI,40,MEDIUM,2.0,95116000000,23.0,True,2,False
Ferrari,RAI,41,MEDIUM,2.0,113420000000,24.0,True,267,False
Ferrari,RAI,42,MEDIUM,2.0,94591000000,25.0,True,1,True
Ferrari,RAI,43,MEDIUM,2.0,95027000000,26.0,True,1,True
Ferrari,RAI,44,MEDIUM,2.0,95453000000,27.0,True,1,True
Ferrari,RAI,45,MEDIUM,2.0,95666000000,28.0,True,1,True
Ferrari,RAI,46,MEDIUM,2.0,95635000000,29.0,True,1,True
Ferrari,RAI,47,MEDIUM,2.0,95857000000,30.0,True,1,True
Ferrari,RAI,48,MEDIUM,2.0,96166000000,31.0,True,1,True
Ferrari,RAI,49,MEDIUM,2.0,None,32.0,True,1,False
Ferrari,RAI,50,MEDIUM,2.0,96401000000,33.0,True,1,True
Ferrari,RAI,51,MEDIUM,2.0,97115000000,34.0,True,1,True
Ferrari,RAI,52,MEDIUM,2.0,96954000000,35.0,True,1,True
Ferrari,RAI,53,MEDIUM,2.0,98406000000,36.0,True,1,True
