['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,RIC,2,SOFT,1.0,97527000000,1.0,True,1,True
Red Bull Racing,RIC,3,SOFT,1.0,97516000000,2.0,True,1,True
Red Bull Racing,RIC,4,SOFT,1.0,131695000000,3.0,True,4,False
Red Bull Racing,RIC,5,SOFT,1.0,141810000000,4.0,True,4,False
Red Bull Racing,RIC,6,SOFT,1.0,149106000000,5.0,True,4,False
Red Bull Racing,RIC,7,SOFT,1.0,141070000000,6.0,True,4,False
Red Bull Racing,RIC,8,SOFT,1.0,98473000000,7.0,True,2,False
Red Bull Racing,RIC,9,SOFT,1.0,96753000000,8.0,True,1,True
Red Bull Racing,RIC,10,SOFT,1.0,96810000000,9.0,True,1,True
Red Bull Racing,RIC,11,SOFT,1.0,96883000000,10.0,True,1,True
Red Bull Racing,RIC,12,SOFT,1.0,96362000000,11.0,True,1,True
Red Bull Racing,RIC,13,SOFT,1.0,95632000000,12.0,True,1,True
Red Bull Racing,RIC,14,SOFT,1.0,94754000000,13.0,True,1,True
Red Bull Racing,RIC,15,SOFT,1.0,95220000000,14.0,True,1,True
Red Bull Racing,RIC,16,SOFT,1.0,95160000000,15.0,True,1,True
Red Bull Racing,RIC,17,SOFT,1.0,95208000000,16.0,True,1,True
Red Bull Racing,RIC,18,SOFT,1.0,94891000000,17.0,True,1,True
Red Bull Racing,RIC,19,SOFT,1.0,94448000000,18.0,True,1,True
Red Bull Racing,RIC,20,SOFT,1.0,94506000000,19.0,True,1,True
Red Bull Racing,RIC,21,SOFT,1.0,94517000000,20.0,True,1,True
Red Bull Racing,RIC,22,SOFT,1.0,94498000000,21.0,True,1,True
Red Bull Racing,RIC,23,SOFT,1.0,96816000000,22.0,True,1,False
Red Bull Racing,RIC,24,MEDIUM,2.0,112534000000,1.0,True,1,False
Red Bull Racing,RIC,25,MEDIUM,2.0,93618000000,2.0,True,1,True
Red Bull Racing,RIC,26,MEDIUM,2.0,93619000000,3.0,True,1,True
Red Bull Racing,RIC,27,MEDIUM,2.0,94229000000,4.0,True,1,True
Red Bull Racing,RIC,28,MEDIUM,2.0,94658000000,5.0,True,1,True
Red Bull Racing,RIC,29,MEDIUM,2.0,94775000000,6.0,True,1,True
Red Bull Racing,RIC,30,MEDIUM,2.0,94546000000,7.0,True,1,True
Red Bull Racing,RIC,31,MEDIUM,2.0,93971000000,8.0,True,1,True
Red Bull Racing,RIC,32,MEDIUM,2.0,93783000000,9.0,True,1,True
Red Bull Racing,RIC,33,MEDIUM,2.0,94144000000,10.0,True,1,True
Red Bull Racing,RIC,34,MEDIUM,2.0,93683000000,11.0,True,1,True
Red Bull Racing,RIC,35,MEDIUM,2.0,93745000000,12.0,True,1,True
Red Bull Racing,RIC,36,MEDIUM,2.0,93735000000,13.0,True,1,True
Red Bull Racing,RIC,37,MEDIUM,2.0,94726000000,14.0,True,1,True
Red Bull Racing,RIC,38,MEDIUM,2.0,94356000000,15.0,True,1,True
Red Bull Racing,RIC,39,MEDIUM,2.0,94558000000,16.0,True,1,True
Red Bull Racing,RIC,40,MEDIUM,2.0,95049000000,17.0,True,2,True
Red Bull Racing,RIC,41,MEDIUM,2.0,114695000000,18.0,True,267,False
Red Bull Racing,RIC,42,MEDIUM,2.0,93236000000,19.0,True,1,True
Red Bull Racing,RIC,43,MEDIUM,2.0,93624000000,20.0,True,1,True
Red Bull Racing,RIC,44,MEDIUM,2.0,94230000000,21.0,True,1,True
Red Bull Racing,RIC,45,MEDIUM,2.0,94821000000,22.0,True,1,True
Red Bull Racing,RIC,46,MEDIUM,2.0,95567000000,23.0,True,1,True
Red Bull Racing,RIC,47,MEDIUM,2.0,95143000000,24.0,True,1,True
Red Bull Racing,RIC,48,MEDIUM,2.0,93695000000,25.0,True,1,True
Red Bull Racing,RIC,49,MEDIUM,2.0,93516000000,26.0,True,1,True
Red Bull Racing,RIC,50,MEDIUM,2.0,93187000000,27.0,True,1,True
Red Bull Racing,RIC,51,MEDIUM,2.0,93395000000,28.0,True,1,True
Red Bull Racing,RIC,52,MEDIUM,2.0,93285000000,29.0,True,1,True
Red Bull Racing,RIC,53,MEDIUM,2.0,94619000000,30.0,True,1,True
