['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,VAN,2,SOFT,1.0,100995000000,1.0,True,1,True
McLaren,VAN,3,SOFT,1.0,99101000000,2.0,True,1,True
McLaren,VAN,4,SOFT,1.0,135186000000,3.0,True,4,False
McLaren,VAN,5,SOFT,1.0,137327000000,4.0,True,4,False
McLaren,VAN,6,SOFT,1.0,149516000000,5.0,True,4,False
McLaren,VAN,7,SOFT,1.0,136111000000,6.0,True,4,False
McLaren,VAN,8,SOFT,1.0,101039000000,7.0,True,2,False
McLaren,VAN,9,SOFT,1.0,100396000000,8.0,True,1,True
McLaren,VAN,10,SOFT,1.0,99661000000,9.0,True,1,True
McLaren,VAN,11,SOFT,1.0,98679000000,10.0,True,1,True
McLaren,VAN,12,SOFT,1.0,99198000000,11.0,True,1,True
McLaren,VAN,13,SOFT,1.0,98811000000,12.0,True,1,True
McLaren,VAN,14,SOFT,1.0,98717000000,13.0,True,1,True
McLaren,VAN,15,SOFT,1.0,98114000000,14.0,True,1,True
McLaren,VAN,16,SOFT,1.0,97758000000,15.0,True,1,True
McLaren,VAN,17,SOFT,1.0,97774000000,16.0,True,1,True
McLaren,VAN,18,SOFT,1.0,97537000000,17.0,True,1,True
McLaren,VAN,19,SOFT,1.0,97460000000,18.0,True,1,True
McLaren,VAN,20,SOFT,1.0,97763000000,19.0,True,1,True
McLaren,VAN,21,SOFT,1.0,97594000000,20.0,True,1,True
McLaren,VAN,22,SOFT,1.0,97314000000,21.0,True,1,True
McLaren,VAN,23,SOFT,1.0,100586000000,22.0,True,1,False
McLaren,VAN,24,MEDIUM,2.0,114697000000,1.0,True,1,False
McLaren,VAN,25,MEDIUM,2.0,95023000000,2.0,True,1,True
McLaren,VAN,26,MEDIUM,2.0,95519000000,3.0,True,1,True
McLaren,VAN,27,MEDIUM,2.0,96036000000,4.0,True,1,True
McLaren,VAN,28,MEDIUM,2.0,97006000000,5.0,True,1,True
McLaren,VAN,29,MEDIUM,2.0,96339000000,6.0,True,1,True
McLaren,VAN,30,MEDIUM,2.0,96133000000,7.0,True,1,True
McLaren,VAN,31,MEDIUM,2.0,96368000000,8.0,True,1,True
McLaren,VAN,32,MEDIUM,2.0,95968000000,9.0,True,1,True
McLaren,VAN,33,MEDIUM,2.0,96475000000,10.0,True,1,True
McLaren,VAN,34,MEDIUM,2.0,96443000000,11.0,True,1,True
McLaren,VAN,35,MEDIUM,2.0,97225000000,12.0,True,1,True
McLaren,VAN,36,MEDIUM,2.0,97540000000,13.0,True,1,True
McLaren,VAN,37,MEDIUM,2.0,99336000000,14.0,True,1,True
McLaren,VAN,38,MEDIUM,2.0,98185000000,15.0,True,1,True
McLaren,VAN,39,MEDIUM,2.0,100250000000,16.0,True,2,True
McLaren,VAN,40,MEDIUM,2.0,116887000000,17.0,True,267,False
McLaren,VAN,41,MEDIUM,2.0,95755000000,18.0,True,1,True
McLaren,VAN,42,MEDIUM,2.0,95423000000,19.0,True,1,True
McLaren,VAN,43,MEDIUM,2.0,95599000000,20.0,True,1,True
McLaren,VAN,44,MEDIUM,2.0,95701000000,21.0,True,1,True
McLaren,VAN,45,MEDIUM,2.0,95591000000,22.0,True,1,True
McLaren,VAN,46,MEDIUM,2.0,95622000000,23.0,True,1,True
McLaren,VAN,47,MEDIUM,2.0,95635000000,24.0,True,1,True
McLaren,VAN,48,MEDIUM,2.0,95975000000,25.0,True,1,True
McLaren,VAN,49,MEDIUM,2.0,96171000000,26.0,True,1,True
McLaren,VAN,50,MEDIUM,2.0,97210000000,27.0,True,1,True
McLaren,VAN,51,MEDIUM,2.0,96784000000,28.0,True,1,True
McLaren,VAN,52,MEDIUM,2.0,96978000000,29.0,True,1,True
