['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,VET,2,SUPERSOFT,1.0,95751000000,4.0,False,1,True
Ferrari,VET,3,SUPERSOFT,1.0,95415000000,5.0,False,1,True
Ferrari,VET,4,SUPERSOFT,1.0,133087000000,6.0,False,4,False
Ferrari,VET,5,SUPERSOFT,1.0,141661000000,7.0,False,4,False
Ferrari,VET,6,SUPERSOFT,1.0,147986000000,8.0,False,4,False
Ferrari,VET,7,SUPERSOFT,1.0,147375000000,9.0,False,4,False
Ferrari,VET,8,SUPERSOFT,1.0,110674000000,10.0,False,2,False
Ferrari,VET,9,SUPERSOFT,1.0,96393000000,11.0,False,1,True
Ferrari,VET,10,SUPERSOFT,1.0,97984000000,12.0,False,1,True
Ferrari,VET,11,SUPERSOFT,1.0,99305000000,13.0,False,1,True
Ferrari,VET,12,SUPERSOFT,1.0,97044000000,14.0,False,1,True
Ferrari,VET,13,SUPERSOFT,1.0,97531000000,15.0,False,1,True
Ferrari,VET,14,SUPERSOFT,1.0,96294000000,16.0,False,1,True
Ferrari,VET,15,SUPERSOFT,1.0,97087000000,17.0,False,1,True
Ferrari,VET,16,SUPERSOFT,1.0,97268000000,18.0,False,1,True
Ferrari,VET,17,SUPERSOFT,1.0,96700000000,19.0,False,1,True
Ferrari,VET,18,SUPERSOFT,1.0,96859000000,20.0,False,1,True
Ferrari,VET,19,SUPERSOFT,1.0,96250000000,21.0,False,1,True
Ferrari,VET,20,SUPERSOFT,1.0,96705000000,22.0,False,1,True
Ferrari,VET,21,SUPERSOFT,1.0,95284000000,23.0,False,1,True
Ferrari,VET,22,SUPERSOFT,1.0,96190000000,24.0,False,1,True
Ferrari,VET,23,SUPERSOFT,1.0,96515000000,25.0,False,1,True
Ferrari,VET,24,SUPERSOFT,1.0,97049000000,26.0,False,1,True
Ferrari,VET,25,SUPERSOFT,1.0,97025000000,27.0,False,1,True
Ferrari,VET,26,SUPERSOFT,1.0,100213000000,28.0,False,1,False
Ferrari,VET,27,SOFT,2.0,111858000000,1.0,True,1,False
Ferrari,VET,28,SOFT,2.0,96431000000,2.0,True,1,True
Ferrari,VET,29,SOFT,2.0,95314000000,3.0,True,1,True
Ferrari,VET,30,SOFT,2.0,96106000000,4.0,True,1,True
Ferrari,VET,31,SOFT,2.0,93649000000,5.0,True,1,True
Ferrari,VET,32,SOFT,2.0,94513000000,6.0,True,1,True
Ferrari,VET,33,SOFT,2.0,93243000000,7.0,True,1,True
Ferrari,VET,34,SOFT,2.0,94424000000,8.0,True,1,True
Ferrari,VET,35,SOFT,2.0,93789000000,9.0,True,1,True
Ferrari,VET,36,SOFT,2.0,94409000000,10.0,True,1,True
Ferrari,VET,37,SOFT,2.0,94648000000,11.0,True,1,True
Ferrari,VET,38,SOFT,2.0,95136000000,12.0,True,1,True
Ferrari,VET,39,SOFT,2.0,94901000000,13.0,True,2,True
Ferrari,VET,40,SOFT,2.0,97034000000,14.0,True,26,False
Ferrari,VET,41,SOFT,2.0,112151000000,15.0,True,67,False
Ferrari,VET,42,SOFT,2.0,94495000000,16.0,True,1,True
Ferrari,VET,43,SOFT,2.0,94868000000,17.0,True,1,True
Ferrari,VET,44,SOFT,2.0,95046000000,18.0,True,1,True
Ferrari,VET,45,SOFT,2.0,94654000000,19.0,True,1,True
Ferrari,VET,46,SOFT,2.0,94647000000,20.0,True,1,True
Ferrari,VET,47,SOFT,2.0,94591000000,21.0,True,1,True
Ferrari,VET,48,SOFT,2.0,94415000000,22.0,True,1,True
Ferrari,VET,49,SOFT,2.0,94259000000,23.0,True,1,True
Ferrari,VET,50,SOFT,2.0,94458000000,24.0,True,1,True
Ferrari,VET,51,SOFT,2.0,94284000000,25.0,True,1,True
Ferrari,VET,52,SOFT,2.0,92670000000,26.0,True,1,True
Ferrari,VET,53,SOFT,2.0,92318000000,27.0,True,1,True
