['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,ERI,2,HYPERSOFT,1,84159000000,5.0,False,1,True
Sauber,ERI,3,HYPERSOFT,1,84123000000,6.0,False,1,True
Sauber,ERI,4,HYPERSOFT,1,83708000000,7.0,False,2,True
Sauber,ERI,5,HYPERSOFT,1,100775000000,8.0,False,267,False
Sauber,ERI,6,HYPERSOFT,1,83925000000,9.0,False,1,True
Sauber,ERI,7,HYPERSOFT,1,84167000000,10.0,False,1,True
Sauber,ERI,8,HYPERSOFT,1,84898000000,11.0,False,1,True
Sauber,ERI,9,HYPERSOFT,1,84855000000,12.0,False,1,True
Sauber,ERI,10,HYPERSOFT,1,85817000000,13.0,False,1,True
Sauber,ERI,11,HYPERSOFT,1,87202000000,14.0,False,1,True
Sauber,ERI,12,HYPERSOFT,1,86626000000,15.0,False,1,True
Sauber,ERI,13,HYPERSOFT,1,86561000000,16.0,False,1,True
Sauber,ERI,14,HYPERSOFT,1,86826000000,17.0,False,1,True
Sauber,ERI,15,HYPERSOFT,1,86754000000,18.0,False,1,True
Sauber,ERI,16,HYPERSOFT,1,90320000000,19.0,False,1,False
Sauber,ERI,17,SUPERSOFT,2,109978000000,1.0,True,1,False
Sauber,ERI,18,SUPERSOFT,2,82440000000,2.0,True,1,True
Sauber,ERI,19,SUPERSOFT,2,84597000000,3.0,True,1,True
Sauber,ERI,20,SUPERSOFT,2,83468000000,4.0,True,1,True
Sauber,ERI,21,SUPERSOFT,2,82891000000,5.0,True,1,True
Sauber,ERI,22,SUPERSOFT,2,83535000000,6.0,True,1,True
Sauber,ERI,23,SUPERSOFT,2,83763000000,7.0,True,1,True
Sauber,ERI,24,SUPERSOFT,2,87166000000,8.0,True,1,True
Sauber,ERI,25,SUPERSOFT,2,83461000000,9.0,True,1,True
Sauber,ERI,26,SUPERSOFT,2,83879000000,10.0,True,1,True
Sauber,ERI,27,SUPERSOFT,2,85643000000,11.0,True,1,True
Sauber,ERI,28,SUPERSOFT,2,83624000000,12.0,True,1,True
Sauber,ERI,29,SUPERSOFT,2,88789000000,13.0,True,26,False
Sauber,ERI,30,SUPERSOFT,2,109910000000,14.0,True,6,False
Sauber,ERI,31,SUPERSOFT,2,99231000000,15.0,True,67,False
Sauber,ERI,32,SUPERSOFT,2,85545000000,16.0,True,1,True
Sauber,ERI,33,SUPERSOFT,2,83724000000,17.0,True,1,True
Sauber,ERI,34,SUPERSOFT,2,84279000000,18.0,True,1,True
Sauber,ERI,35,SUPERSOFT,2,83683000000,19.0,True,1,True
Sauber,ERI,36,SUPERSOFT,2,84351000000,20.0,True,1,True
Sauber,ERI,37,SUPERSOFT,2,84412000000,21.0,True,1,True
Sauber,ERI,38,SUPERSOFT,2,86516000000,22.0,True,1,True
Sauber,ERI,39,SUPERSOFT,2,84293000000,23.0,True,1,True
Sauber,ERI,40,SUPERSOFT,2,84514000000,24.0,True,1,True
Sauber,ERI,41,SUPERSOFT,2,84597000000,25.0,True,1,True
Sauber,ERI,42,SUPERSOFT,2,84688000000,26.0,True,1,True
Sauber,ERI,43,SUPERSOFT,2,84555000000,27.0,True,1,True
Sauber,ERI,44,SUPERSOFT,2,84085000000,28.0,True,1,True
Sauber,ERI,45,SUPERSOFT,2,84545000000,29.0,True,1,True
Sauber,ERI,46,SUPERSOFT,2,84463000000,30.0,True,1,True
Sauber,ERI,47,SUPERSOFT,2,84478000000,31.0,True,1,True
Sauber,ERI,48,SUPERSOFT,2,84230000000,32.0,True,1,True
Sauber,ERI,49,SUPERSOFT,2,84414000000,33.0,True,1,True
Sauber,ERI,50,SUPERSOFT,2,84177000000,34.0,True,1,True
Sauber,ERI,51,SUPERSOFT,2,84350000000,35.0,True,1,True
Sauber,ERI,52,SUPERSOFT,2,84786000000,36.0,True,1,True
Sauber,ERI,53,SUPERSOFT,2,85209000000,37.0,True,1,True
Sauber,ERI,54,SUPERSOFT,2,84466000000,38.0,True,1,True
Sauber,ERI,55,SUPERSOFT,2,85675000000,39.0,True,1,True
Sauber,ERI,56,SUPERSOFT,2,84560000000,40.0,True,1,True
Sauber,ERI,57,SUPERSOFT,2,84501000000,41.0,True,1,True
Sauber,ERI,58,SUPERSOFT,2,84804000000,42.0,True,1,True
Sauber,ERI,59,SUPERSOFT,2,85498000000,43.0,True,1,True
Sauber,ERI,60,SUPERSOFT,2,106430000000,44.0,True,26,False
Sauber,ERI,61,SUPERSOFT,2,103467000000,45.0,True,67,False
Sauber,ERI,62,SUPERSOFT,2,84187000000,46.0,True,1,True
Sauber,ERI,63,SUPERSOFT,2,83194000000,47.0,True,1,True
Sauber,ERI,64,SUPERSOFT,2,83002000000,48.0,True,1,True
Sauber,ERI,65,SUPERSOFT,2,83364000000,49.0,True,1,True
Sauber,ERI,66,SUPERSOFT,2,83355000000,50.0,True,1,True
Sauber,ERI,67,SUPERSOFT,2,83097000000,51.0,True,1,True
Sauber,ERI,68,SUPERSOFT,2,82823000000,52.0,True,1,True
Sauber,ERI,69,SUPERSOFT,2,82895000000,53.0,True,1,True
